master_id,year,volume,author,subject,title,year_start,year_end,notes,In PDF?
MASTER_00355,1914,NS 45,"Stanley, A.",minor arts,Chinese wood carving *,1914,1914,,
MASTER_00356,1914,NS 45,"Reymond, C. du Bois",arts and archaeology,"Chinese sun - dial, A *",1914,1914,,
MASTER_00357,1914,NS 45,""" Ardsheal "" Sections i - xix *",literature and language,Reminiscenes of a Chinese Viceroy's secretary,1914,1914,,
MASTER_00358,1914,NS 45,"Lobingier, C. S.",law,"Bibliographical introduction to the study of Chinese law, A",1914,1914,,
MASTER_00359,1914,NS 45,"Moule, A. C.",chronology,"Table of the Emperors of the Yuan Dynasty, A",1914,1914,,
MASTER_00360,1915,NS 46,"Stanley, A.","arts, archaeology, Buddhism and music",Putoshan *,1915,1915,,
MASTER_00361,1915,NS 46,"Moule, A. C.",Christianity,Notices of Christianity in China. Extracted from Marco Polo *,1915,1915,,
MASTER_00362,1915,NS 46,"Bradley, C. B.",literature and language,"Tone - accents of two Chinese dialects, The *",1915,1915,,
MASTER_00363,1915,NS 46,"Couling, S.",architecture,Chinese pagodas,1915,1915,,
MASTER_00364,1915,NS 46,"Hodous, L.",social customs,"Ch'ing Ming Festival, The",1915,1915,,
MASTER_00365,1915,NS 46,"Translated by "" Ardsheal "" Sections",literature and language,Reminiscenes of a Chinese Viceroy's secretary,1915,1915,,
MASTER_00366,1915,NS 46,"Warren, G. G.",inscriptions,The Wu Pan tablet,1915,1915,,
MASTER_00367,1915,NS 46,"Tyler, W. F.",astronomy,"On a large meteorite February 13, 1915 *",1915,1915,,
MASTER_00368,1916,NS 47,"Ferguson, J. C.",bronze,Early Chinese bronzes *,1916,1916,,
MASTER_00369,1916,NS 47,"Warren, G. G.",literature and language,M.Chavannes ' editions of Ssu - ma Chien,1916,1916,,
MASTER_00370,1916,NS 47,"Ward, F. K.",botany,Notes on the flora of the W. Ssuch ' uan Mountains,1916,1916,,
MASTER_00371,1916,NS 47,"Annandale, N.",zoology,"Freshwater sponges from the T'ai Hu (Great Lake) of the Kiangsu Province, China",1916,1916,,
MASTER_00372,1916,NS 47,"Sowerby, A. de C.",zoology,Recent research upon the mammalia of North China,1916,1916,,
MASTER_00373,1916,NS 47,"Stanley, A.",zoology,Two new species of Chinese snakes *,1916,1916,,
MASTER_00374,1916,NS 47,"Parker, A. P.",history and mythology,Some notes on the history and folk lore of old Shanghai,1916,1916,,
MASTER_00375,1916,NS 47,"Latourette, K. S.",history,Survey of the work by Western students of Chinese history,1916,1916,,
MASTER_00376,1917,NS 48,"Inglis, J. W.",Buddhism,"Vows of Amida, The",1917,1917,,
MASTER_00377,1917,NS 48,"Inglis, J. W.",Buddhism,"Nestorian share in Buddhist translation, The",1917,1917,,
MASTER_00378,1917,NS 48,"Chatley, H.",religion,Magical practice in China,1917,1917,,
MASTER_00379,1917,NS 48,"Hodous, L.",mythology,"Dragon, The",1917,1917,,
MASTER_00380,1917,NS 48,"Edgar, J. H.",ethnology and anthropology,"Country and some customs of the Szechwan Mantze, The",1917,1917,,
MASTER_00381,1917,NS 48,"Ayscough, F. W.",religion,Shrines of History. Peak of the East T'ai Shan *,1917,1917,,
MASTER_00382,1917,NS 48,"Laver, H. E.",zoology,Land birds and others met with at sea off the coast of China in 1915,1917,1917,,
MASTER_00383,1917,NS 48,"Stanley, A.",arts and archaeology,"Method of making ink rubbings, The *",1917,1917,,
MASTER_00384,1917,NS 48,"Edgar, J. H.",archaeology,Stone implements on the Upper Yangtze and Min Rivers *,1917,1917,,
MASTER_00385,1917,NS 48,"Couling, S.",literature and language,"Morrison Library, The G. E.",1917,1917,,
MASTER_00386,1917,NS 48,"Lanning, G.",literature and language,"Kinship of the English and Chinese languages, The",1917,1917,,
MASTER_00387,1917,NS 48,,Buddhism,Introduction to the Buddhist library of Huen chwang by the Emperor Tai Tsung,1917,1917,,
MASTER_00388,1917,NS 48,"Ros, G.",coinage,Coins of the Republic of China *,1917,1917,,
MASTER_00389,1917,NS 48,"Segalen, V.",sculpture,Recent discoveries in ancient Chinese sculpture *,1917,1917,,
MASTER_00390,1917,NS 48,"Ferguson, J. C.",bronze,Four examples of Chinese bronze statuary *,1917,1917,,
MASTER_00391,1917,NS 48,"Wright, H. K.",religion,"Religious element in the Tso Chuan, The",1917,1917,,
MASTER_00392,1917,NS 48,"Ferguson, J. C.",painting,""" Ink Remains "" by An I - chou, See also N. Q.",1917,1917,,
MASTER_00393,1918,NS 49,"Chatley, H.",hydrology,River problems in China *,1918,1918,,
MASTER_00394,1918,NS 49,"Laver, H. E.",zoology,"Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916",1918,1918,,
MASTER_00395,1918,NS 49,"Zwemer, S. M.",Mohammedanism,Animistic elements in Moslem prayer,1918,1918,,
MASTER_00396,1918,NS 49,"Ling, P. C.",Taoism,"Eight Immortals of the Taoist religion, The",1918,1918,,
MASTER_00397,1918,NS 49,"Hodous, L.",social customs,"Kite Festival in Foochow, China, The",1918,1918,"FOOCHOW, Fuzhou, 福州市",
