model,K,topic_id,rank,word,word_type
stm,10,8,10,dialects,frex
stm,10,8,11,lunar,frex
stm,10,8,12,language,frex
stm,10,8,13,bithe,frex
stm,10,8,14,clan,frex
stm,10,8,15,library,frex
stm,10,8,16,vols,frex
stm,10,8,17,aryan,frex
stm,10,8,18,civilization,frex
stm,10,8,19,student,frex
stm,10,8,20,culture,frex
stm,10,9,1,river,prob
stm,10,9,2,feet,prob
stm,10,9,3,miles,prob
stm,10,9,4,city,prob
stm,10,9,5,shan,prob
stm,10,9,6,hills,prob
stm,10,9,7,bank,prob
stm,10,9,8,temple,prob
stm,10,9,9,island,prob
stm,10,9,10,journey,prob
stm,10,9,11,mountain,prob
stm,10,9,12,wall,prob
stm,10,9,13,sea,prob
stm,10,9,14,district,prob
stm,10,9,15,village,prob
stm,10,9,16,stone,prob
stm,10,9,17,road,prob
stm,10,9,18,stream,prob
stm,10,9,19,distance,prob
stm,10,9,20,built,prob
stm,10,9,1,pagoda,frex
stm,10,9,2,village,frex
stm,10,9,3,mile,frex
stm,10,9,4,channel,frex
stm,10,9,5,limestone,frex
stm,10,9,6,miles,frex
stm,10,9,7,left_bank,frex
stm,10,9,8,feet_high,frex
stm,10,9,9,gorge,frex
stm,10,9,10,bed,frex
stm,10,9,11,coal,frex
stm,10,9,12,right_bank,frex
stm,10,9,13,rock,frex
stm,10,9,14,rocks,frex
stm,10,9,15,keang,frex
stm,10,9,16,sandstone,frex
stm,10,9,17,yards,frex
stm,10,9,18,journey,frex
stm,10,9,19,summit,frex
stm,10,9,20,pih,frex
