master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
MASTER_00374,1917_14.txt,Coins of the Republic of China *,"Ros, G.",1917,1910,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1917_14.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1917_14.txt,analysis_text,975,263,9.23306169486369e-5,1.4129029373601324e-5,3.4930125606016336e-7,1.068795659271181e-4,0.0018269621899865294,5.319201994628038e-5,1.9467811181647823e-6,1.8526448685928493e-6,4.3319967489998227e-7,3.805589004404427e-5,2.6540033685202767e-6,0.003285521778005996,2.18990965740378e-5,2.3510369139806238e-4,2.7974203710458164e-6,6.381661894790323e-6,0.0010082462982777694,1.6432486938373772e-4,2.7716977384821317e-4,9.512209676942203e-4,6.200764026817274e-7,4.79771520396404e-4,3.92418990046777e-5,1.949818546015445e-4,7.596373118099453e-5,2.0113345949538137e-4,5.18845381218639e-5,0.0012580677808612403,0.9889042462524502,7.026380875244717e-4
MASTER_00374,1917_15.txt,Coins of the Republic of China *,"Ros, G.",1917,1910,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1917_15.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1917_15.txt,analysis_text,15513,4534,6.677418031086837e-6,2.608466376872987e-6,1.0686694854152363e-8,9.992499381894532e-6,1.2637338486201093e-4,1.6165579966788878e-6,4.6048087103090283e-8,1.8156310505414713e-8,9.581291232705863e-9,1.8277789319110746e-6,4.227969508432187e-8,9.726393651848728e-5,6.424708524106467e-7,1.708583241354277e-5,2.7123039177717154e-7,3.910614544480818e-7,2.8363980196208982e-5,9.456988507663462e-6,2.148348490769753e-5,8.859235352104976e-5,5.275723955269995e-8,4.461228772674925e-5,9.400740507698113e-7,2.3543830687966135e-5,7.797057003546167e-6,8.779641350215967e-6,2.225049889708336e-6,4.6492701770312185e-5,0.9994261830212372,2.6599382620682503e-5
MASTER_00385,1917_16.txt,Recent discoveries in ancient Chinese sculpture *,"Segalen, V.",1917,1910,Arts and Archaeology,Sculpture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1917_16.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1917_16.txt,analysis_text,9936,2765,1.4394835048294033e-4,2.8273119573646507e-6,8.441316452132676e-5,6.89201328482731e-6,0.008497390503721319,0.04664536236342452,4.113197944316978e-5,0.0012905417079141243,1.3286808045274152e-4,1.061801352604697e-4,6.812280504300798e-4,0.33645352040899695,0.06029882296121437,1.9149710295509015e-4,1.3770032859155821e-6,1.196944826698324e-5,0.012223322931063822,5.621909394254617e-4,2.58877893519779e-5,4.858676238622853e-4,1.7150402078985422e-6,0.017058367216488044,0.009682878178631752,1.5018566472531627e-4,1.0854816135698825e-5,0.001382682638414929,3.0025269913482434e-4,0.07780215179912767,2.1910054892841885e-4,0.4255045715288896
MASTER_00377,1917_17.txt,Four examples of Chinese bronze statuary *,"Ferguson, J. C.",1917,1910,Arts and Archaeology,Bronzes,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1917_17.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1917_17.txt,analysis_text,4281,1221,2.016203417276578e-4,3.257084164204881e-5,1.6195980160661507e-6,6.313045695780245e-5,0.1205602098011216,0.001008756230719201,4.60441089579726e-6,0.0022696269204607856,1.3790071835633304e-4,1.756185353689095e-4,3.159199467133833e-5,0.3198944578013536,5.512795916057139e-4,9.472787841299451e-5,7.614725617506453e-6,0.009314944822166252,0.004736499003363145,9.905695553390033e-6,3.74237462854106e-5,5.182434512865638e-4,9.185309860230486e-6,0.027674809773494066,1.2359224888526107e-4,7.006478373115529e-6,1.2971827735027978e-4,0.017687776931053004,0.0037539807426920915,0.04109242749254968,0.0010031380662998462,0.4488660181138604
MASTER_00386,1917_18.txt,"Religious element in the Tso Chuan, The","Wright, H. K.",1917,1910,Religion and Philosophy,Religion,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1917_18.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1917_18.txt,analysis_text,10488,2906,4.980947173236637e-7,2.47434672608864e-6,8.357872972774936e-7,3.990173217922031e-5,2.038880126409438e-4,4.2600245373496714e-5,3.5158123879839314e-5,8.624229957262438e-4,3.0264423811231474e-6,4.437394801405385e-6,5.903319068579755e-6,2.9899332522496984e-5,2.5382326487443605e-4,0.002377833520186873,2.1398804386317484e-5,9.126009172559283e-6,2.272722490851794e-4,1.3780222746083162e-5,1.1186786151186081e-6,1.6819101180823037e-6,5.164133229429553e-7,1.2310922587136767e-5,1.505752964755581e-5,1.698522890255537e-5,3.6919792519117774e-6,0.15742595130427442,0.19183936367304324,0.6459344637956834,1.959936671101667e-6,6.12618730117022e-4
MASTER_00167,_1880-1881_01.txt,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,Botany,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1880-1881_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1880-1881_01.txt,analysis_text,110451,22413,5.779091072285593e-6,1.650044304669666e-5,4.652604872277947e-6,9.605794481347352e-6,2.166883536658404e-6,6.142073424207783e-6,4.1899610455574656e-7,4.441791158849678e-6,2.7485228598480994e-6,3.518305105892373e-6,8.749667562048481e-7,1.0399172450450973e-6,1.0959505239175992e-6,7.387469844572217e-7,6.853486109710049e-7,2.811969568858786e-5,9.715939383388008e-6,5.718854609715265e-6,7.996117602634942e-7,7.236817041548058e-6,0.9998641559519481,4.416921237786e-6,1.0270532609146836e-7,6.342279635976359e-7,1.3437574148387637e-5,5.187518563266398e-7,1.6206593447810113e-6,5.595678542374402e-7,1.4504620899461897e-6,1.1028239632431694e-6
MASTER_00168,_1880-1881_02.txt,Coins of the present dynasty of China *,"Bushell, S. W.",1880,1880,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1880-1881_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1880-1881_02.txt,analysis_text,9822,3059,2.1021143284552468e-7,1.7959545894061805e-8,2.6300016921156035e-8,4.1587982362728286e-5,8.393193322642621e-5,3.2495781981761e-9,5.8317846688940235e-6,5.79601673834524e-7,2.860437415914031e-8,1.1452600014169228e-4,1.2755849150335234e-4,8.60157226093366e-5,7.639657927132847e-7,1.982472886258824e-4,1.0276189285531382e-8,2.62852128506994e-6,1.3769645958622764e-4,1.3688616939777022e-7,0.029287782902720768,1.0197284468877686e-5,6.296115347195862e-6,1.2895282133455492e-7,5.953585084106774e-7,8.79450998951292e-7,0.9695155428886068,1.9510428670614225e-5,5.8166941998594354e-5,3.6436251005594755e-7,1.7172010857790937e-4,1.2901396598830747e-4
MASTER_00266,_1893-1894_01.txt,Inland communications in China *,"Kingsmill, T. W.",1893,1890,"Economy, Trade, and Technology",Telecommunication,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1893-1894_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1893-1894_01.txt,analysis_text,81501,23261,3.3221983246480124e-6,2.171272733484084e-6,7.0923169945437505e-6,0.8765607256738631,3.7164454998460547e-6,6.791675912111054e-8,8.643317954067456e-7,9.851822565206624e-7,1.7216962117150693e-7,0.1227563321553475,1.1421643919583387e-6,5.83508723275263e-7,1.5124146832668867e-8,3.16531258607418e-5,2.6723869601584903e-7,1.7280481681607182e-6,4.429054592623661e-7,4.493919812502833e-5,1.1983056406617055e-6,1.909151796001295e-4,4.561957977375074e-9,2.8304020164106092e-8,1.6649221025205905e-5,3.83617352430735e-6,3.1151938841697573e-4,8.527240754157513e-7,8.706780852290155e-6,1.3414976046723502e-6,4.2374642312233814e-5,6.352244203102931e-6
MASTER_00267,_1893-1894_02.txt,Stray notes on Corean history and literature,"Scott, J.",1893,1890,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1893-1894_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1893-1894_02.txt,analysis_text,6738,1807,2.0493967758930477e-6,1.5412506361632306e-5,3.5963563833512046e-5,4.6842671905096404e-5,7.934676148647479e-4,1.5032256736919518e-5,4.796710216519525e-4,0.1807164083622271,3.0041121789509636e-5,4.0995147507488215e-5,0.00166788897100372,0.0012016295338302327,2.45494869924209e-4,0.0011616652304986474,3.8723478878713253e-4,3.4478437720010693e-05,0.4253517966390733,0.005814270306375395,0.18061815220853336,9.261793449486125e-4,5.385302934139358e-6,3.0471867583853134e-5,0.11554296983611019,0.022110131259755524,7.640815612315854e-6,1.9715226609241516e-4,2.2850759433714642e-4,0.061480830160975004,7.716067158898215e-4,4.0630186361756555e-5
MASTER_00268,_1893-1894_03.txt,"Yu - li or Precious Records, The *","Clarke, G. W.",1893,1890,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1893-1894_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1893-1894_03.txt,analysis_text,52716,14749,1.989518045638192e-8,3.859588024072086e-6,1.2303990080312741e-8,2.170745313927391e-4,1.4522362138840928e-4,5.8114328830321075e-9,7.727724584865636e-6,3.3420459706765854e-6,1.3599440714986296e-8,2.1785453123848294e-5,2.445049069856665e-5,1.73862172095466e-5,3.116500679214566e-6,0.03425190105760606,6.155366312590008e-4,7.062959441788384e-6,2.3671461727895627e-5,2.6387227181893886e-5,1.3316667120598713e-4,5.863276182115963e-7,6.05494157398765e-7,1.782025760835114e-7,1.458396646021653e-7,1.4495706646765988e-4,0.01641847567249434,1.6587443019746366e-4,0.9409798840784132,3.803929902151863e-5,0.006709025198778568,4.0484599071871267e-5
INDEX_00271,_1895-1896_02.txt,THE FINANCIAL CAPACITY OF CHINA.,E. H. PARKER,1895,1890,"Economy, Trade, and Technology",Economics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1895-1896_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1895-1896_02.txt,analysis_text,10923,3073,1.1644227386248957e-6,9.94266436944055e-6,5.0760991735662126e-6,0.01547401087224606,0.036632596700243464,7.658812917986454e-6,1.3666145853961962e-5,1.3952787660859961e-5,2.5844977368613214e-6,0.002547432350703849,6.105149256100759e-4,1.7953373957142705e-4,5.138537789027655e-5,0.23396961789884907,4.2556076883655086e-5,5.625762663848305e-6,1.254505633197483e-4,0.009401515913539507,7.621164695156096e-4,4.62167941115751e-4,7.818499017817297e-7,6.030625425410562e-7,0.02911478539021588,0.02543029080993945,0.5800528699381008,1.1736425621272902e-4,0.0014686043257141205,0.0011393044755688008,0.06221280459007576,1.4402127912450702e-4
MASTER_00273,_1895-1896_03.txt,Chinese revenue,"Parker, E. H.",1894,1890,"Economy, Trade, and Technology",Economics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1895-1896_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1895-1896_03.txt,analysis_text,17124,5197,1.010416405570229e-8,7.58405368760011e-9,1.7755391995533438e-8,0.0019908106192418626,1.3977241934261025e-5,1.3245834041348535e-8,4.527734398687952e-7,3.17311819816084e-7,7.057478553940019e-9,3.290398133365747e-4,6.958386783838953e-5,1.1138817440929244e-5,6.990058832822267e-7,0.05651372719483963,1.370821336594006e-7,1.5843620463418572e-7,1.593066295016466e-5,2.7260780666658725e-5,4.592523442682331e-5,5.176545816822879e-6,1.790473583053398e-8,2.5623925579613655e-9,2.367276185471681e-6,3.4863164728070446e-5,0.9402504423462353,3.171837389716982e-5,5.442748564607948e-5,4.570166281350139e-6,5.664123212698995e-4,3.078726373208641e-5
INDEX_00273,_1895-1896_04.txt,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.","BUSHELL, S. W.",1895,1890,"Economy, Trade, and Technology",Economics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1895-1896_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1895-1896_04.txt,analysis_text,6837,2005,1.1018952914833174e-6,4.790929172425553e-8,1.462481244406647e-6,5.520381814662945e-4,2.155627160372478e-4,5.504018083787301e-7,2.9340277290498975e-4,0.0016357151797487467,4.53746483709222e-6,2.3915531882394254e-4,0.1343623741813098,0.07107219426734528,4.413258498399366e-5,0.0037223133488950236,1.522211214342025e-6,8.00277595937689e-6,0.16121565731575424,9.232077224760631e-5,0.35465975305045655,1.6199440956986142e-4,1.039644063523632e-6,4.783264988247771e-6,5.252674944977403e-4,9.511284998889388e-5,0.08561094811618593,1.76367942812475e-5,3.9355244477325927e-4,8.65063113179182e-5,0.0014464126695876483,0.18353490117112528
INDEX_00274,_1895-1896_05.txt,A MANCHU UKASE.,"FRASER, M. F. A.",1895,1890,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1895-1896_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1895-1896_05.txt,analysis_text,7152,1188,2.405806407483645e-5,2.657859407767454e-5,1.62108032180318e-5,0.017021197141175667,0.0037979413051842303,6.260223562321264e-5,0.00111466505281271,0.016965107957716892,4.1560109402963573e-4,0.0018709522178750398,0.026953498939245934,0.00137556687548374,2.3429261667995413e-4,0.36314521940210553,0.03151640527202514,0.0010830146680883867,0.2770250224384199,0.0011689739888121056,0.002401776708640952,2.336852672032806e-4,6.243812322298618e-5,1.2250521254712053e-5,0.011822245954775993,0.002286019665347276,0.03284712239486085,0.06679084360737217,0.06592812697821457,0.03315144014735688,5.246647070211838e-4,0.04012247725808042
INDEX_00282,_1898-1899_01.txt,"THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.",Thos. W. KINGSMILL,1898,1890,Anthropology and Social Customs,Manners and customs,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1898-1899_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1898-1899_01.txt,analysis_text,14289,3586,4.986983931610804e-9,3.4393598681662325e-6,1.1873479687397804e-6,1.0372871911988944e-6,1.2224285191593782e-5,6.192536311105518e-7,2.9720930293339456e-6,0.9988589217428647,5.9509652917784324e-6,2.34126535987648e-6,1.405825675353349e-4,7.26732386027122e-5,1.6883017041215923e-5,1.5464823347316012e-5,1.3029874087262408e-5,1.0887187346775339e-5,1.5102618745323678e-4,2.659603450500693e-7,1.714274212958725e-6,1.0224909271397591e-6,4.5903233675468994e-8,1.8701552028572094e-5,9.275126831804832e-5,6.460786657172939e-7,1.0617776191227344e-7,3.301844484860102e-5,1.0230051545833996e-4,4.029705455668627e-4,8.770578853301086e-8,3.712360004976713e-5
INDEX_00283,_1898-1899_02.txt,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,BYRON BRENAN,1898,1890,"Politics, Government, and Law",Government,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1898-1899_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1898-1899_02.txt,analysis_text,11460,3211,1.0318031574223097e-8,1.018564190915425e-7,6.57809848057076e-8,5.854556253780149e-5,9.65603825419326e-6,6.858955054398518e-8,3.5380865527241057e-7,2.1086366143155842e-6,1.4773483747543658e-8,2.29047301490074e-7,1.7525223771206387e-05,2.68241620749482e-5,1.5435530551807788e-6,0.9604555452972857,0.02179494532766218,5.126161388454912e-8,9.676434784079502e-5,4.4281141184535246e-5,9.841285133916166e-6,4.494534500268548e-6,4.054560701224053e-7,8.988190996917015e-8,2.759157081961139e-6,7.028239419613372e-5,0.0017802630612128228,5.488719423324606e-5,8.241443698471254e-5,4.1014312537734633e-4,0.015065572376941325,1.021237003712369e-5
