master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850,Arts and Archaeology,Music,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_04.txt,analysis_text,1788,441,0.0014715438386394412,2.3534612728751857e-4,6.70388783641048e-4,1.3703374656176091e-5,0.0027783373390534954,0.002361404157714757,8.615298118006554e-4,1.6559336959904154e-4,1.743887304098018e-8,5.645429323790438e-4,7.391059402828271e-4,0.07834233756137103,0.03779543307900665,0.0015207088635429084,0.002597853240584596,3.667263946309119e-7,0.48548252314837925,0.02325729967245394,0.0031204182006534967,0.0017062489553961934,2.3377638583399804e-4,0.27958925139232443,0.0015045116167608725,0.06641822198398628,0.008569536059385022
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_05.txt,analysis_text,15567,4172,2.8041857261992e-5,7.820243920256842e-5,5.267265708287301e-4,2.6968331313614066e-5,6.676651325394837e-4,1.0753649597918988e-4,5.3700765860827946e-5,9.617411032359986e-7,5.226420822151627e-10,2.689151505466159e-4,1.5944289751982643e-4,1.860228442660742e-5,3.103746930446412e-4,1.6467799956007357e-5,0.006181232076524209,2.0639134145604137e-9,4.083493609919819e-5,0.0013951258408153825,0.023125695189092924,0.014654883924674676,2.9516249036294688e-6,6.593470173835257e-7,0.02912579171854606,0.9231905555587866,1.866103740068988e-5
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850,Education,Education,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_06.txt,analysis_text,5100,1373,1.1609268324822888e-6,1.808192119927242e-5,2.2006348745961176e-4,4.0006766245308526e-5,9.34661412801616e-5,1.5762979304537276e-4,4.392739516400321e-5,4.334919468373315e-6,2.582441017772588e-8,3.446276681491364e-5,1.3500206743901458e-4,0.004660788313036422,5.530232480757843e-4,2.816183604549384e-4,3.7714719310210786e-4,1.160628718261664e-14,0.002011979097863053,0.8718889255190635,2.6124682712992437e-4,1.279607794285115e-4,1.793179891991912e-5,4.521475642476841e-5,3.445090445923152e-4,0.11867047304811566,1.1020004423017118e-5
NA,1859_07.txt,NA,NA,1859,1850,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_07.txt,analysis_text,921,229,2.663770703979081e-4,1.966780847777823e-4,0.16776594388217,4.650655281723272e-4,1.9273752962391846e-4,2.920099887562457e-4,2.0483918697772604e-4,1.0612866297556403e-4,4.454879607340876e-9,0.022859785753427564,6.460501625939384e-4,6.640922450438256e-4,1.3918073741265465e-4,3.7005912754770905e-4,2.572870228670808e-4,2.455119028939375e-9,0.0012953086240912414,0.7836003997313923,2.5464361262600647e-5,0.009000894900068482,1.2673108371060595e-6,3.060602205580749e-5,0.0022566889064523366,0.009326828073400344,3.630017769754508e-5
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_08.txt,analysis_text,3345,823,0.8039191578705065,6.974590508742461e-4,4.284766349751692e-4,4.403880002002263e-6,2.2562362298197074e-4,2.2908639279773786e-5,1.1608362279153398e-6,7.996400318440765e-7,4.204121566265123e-7,6.248333519839414e-4,1.4547907460188682e-7,1.2551860339556634e-4,1.611740136866169e-5,2.710740150356181e-6,6.145892844675529e-6,2.1636618706283574e-5,1.1728071627999857e-4,3.50080646254851e-5,4.662736527108753e-6,9.538366140529136e-4,1.507096430010334e-4,0.1925219272214233,1.9745476945107196e-5,8.600503218063721e-5,1.3305820404654587e-5
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850,Natural Sciences,Hydrology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_09.txt,analysis_text,8595,2462,1.3227798723060226e-4,6.0998223261341085e-6,1.7413290075962354e-4,1.4534598103339003e-4,6.022436591873943e-5,8.508649056418606e-6,7.690354481901924e-7,7.930559548636781e-8,1.7640551807241653e-10,0.9987621858577989,2.489533033062777e-6,3.7781156044513976e-6,5.725732544090549e-7,1.262559183599974e-5,2.3283882240578201e-7,1.1186810355877314e-7,1.9065694750261874e-7,3.305461448514157e-5,3.2430515354320373e-7,5.842861070017773e-4,8.378455692848477e-7,3.8806927490936396e-5,3.270296453446871e-6,2.900034732148204e-5,7.942973501170889e-7
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_10.txt,analysis_text,4590,1306,3.6134300447991196e-5,1.2334463590277143e-5,0.02133745669741848,2.3391609250624187e-4,3.314693865891764e-5,2.1677769486159876e-5,1.8805580355842885e-4,7.671754410805105e-6,8.471094311995018e-9,6.268008395722049e-4,0.011043971045731751,1.4592534990220932e-4,6.112162647191142e-5,1.8796445736477354e-4,1.8649130039024154e-4,2.4257385265130137e-8,1.1933610543991847e-4,0.5755933921071406,1.8131827816780232e-4,8.192323088692256e-4,1.251803222150045e-4,1.1368287355915159e-5,6.868553482580989e-4,0.38826251880307255,7.809727149169899e-5
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_11.txt,analysis_text,16893,4674,2.7857281322844177e-4,6.220022913467963e-4,3.030767155277245e-5,1.6299666609446243e-4,0.8436725244728719,3.2117274956393706e-4,9.049985503265056e-5,0.01351845928399875,2.0280415789057648e-7,0.010022881354761018,0.0030870514426580803,0.0012092437592072887,3.2493771893710784e-4,0.08565533050547998,2.824556079450411e-4,0.009185764859912253,3.480707171592976e-4,4.9599632829330554e-5,7.585681481069602e-5,4.097580954464228e-4,1.930087383395287e-5,0.01734557500258225,1.387298077832383e-4,2.0055269365486288e-4,0.012948152505151597
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_01.txt,analysis_text,2910,750,0.4424582928080521,0.010081961355769348,3.259801004759679e-4,6.98557123449109e-5,0.23275259741917081,2.8898277876512326e-4,1.9106548190828092e-5,2.318260752843051e-5,4.1518703312087926e-7,0.007811183640426469,2.7911611125086717e-6,3.86868781614509e-4,0.005114108372323187,1.2860884448169158e-4,9.741330919462122e-4,1.56948160238428e-4,0.0013499310912440466,8.601567607667165e-4,2.441801684842162e-4,0.07839809337434214,1.6718939046034823e-4,0.21466168053437062,5.277511681637523e-4,0.00313898754341999,5.701339927528219e-5
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850,"Politics, Government, and Law",Law,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_02.txt,analysis_text,4185,1044,3.03394836845698e-6,2.258182046317866e-4,0.012584099572833681,0.08002790045506901,5.109332242271349e-4,3.445217698523241e-7,0.0010690704577419024,3.1763689047767676e-11,1.730271764880012e-17,9.562085844891607e-4,0.05969383373081113,8.588287365905614e-4,0.0018763275068814863,0.03995960422134968,0.41438434212013503,1.4788495329587684e-13,0.0020617250836638323,0.28390556818279944,0.022613852329123326,0.0027311784297081193,4.842111602681637e-7,6.423375940450308e-10,0.007502712398861634,0.06733184204832952,0.0017022913572058988
