master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
MASTER_00309,XXII_1887_08.txt,Java,"Mencarini, J.",1905,1900,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_08.txt,analysis_text,3018,826,5.2701984388362185e-6,3.625357058357815e-5,1.2629996277366894e-4,0.00181071827961232,0.0012557610636888617,0.04540470504215186,3.695191058013829e-4,5.192007900543461e-4,0.0010978419682534555,4.292609196764498e-4,0.0014394350935454266,0.9429850397085702,0.0014473719526337523,0.0028209678130244943,2.52354531191269e-4
MASTER_00224,XXII_1887_09.txt,"Manchu relations with Tibet, or Si - tsang","Parker, E. H.",1886,1880,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_09.txt,analysis_text,687,175,1.9976003501373128e-5,5.0611195999499156e-5,0.0015904622186809943,0.004049837057038414,2.2172017148868608e-4,0.12251402779526571,0.06472796736999378,0.1679239307054317,0.018825698968740544,0.0016487159072563796,0.026536373768362542,0.5065182755648335,0.07734611656050282,0.004787977528523313,0.0032383091843807433
MASTER_00229,XXII_1887_10.txt,Notes on the mineral resources of Eastern Shantung,"Becher, H. M.",1887,1880,Natural Sciences,Geology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_10.txt,analysis_text,5478,1519,2.830704023425459e-4,1.0632569255056444e-5,0.00778211031833936,0.03721044628630227,3.189249507610716e-4,0.07216681162143082,0.0010418021634143709,0.0013463287646176094,7.156792947454662e-4,0.034620552879590254,3.054274614647341e-4,0.35757131982720086,0.2408493683162525,0.24492615427628545,8.513708679978374e-4
MASTER_00201,XXII_1887_11.txt,The Mystery of Ta - ts ' in,"Playfair, G. M. H.",1885,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_11.txt,analysis_text,34308,9637,1.1871590090724853e-4,1.6666315411960563e-5,3.381317473684775e-4,0.0046508529679205575,0.10235967386296063,8.935860359023758e-4,0.022425957416743657,2.1637130795041908e-5,6.347704854514951e-5,0.02758802655554142,0.0015914581927634246,0.8390037888740715,2.0090990038781992e-4,2.429500748873506e-4,4.841679757934699e-4
MASTER_00235,XXII_1887_12.txt,The Chinese Oriental College,"Hirth, F.",1887,1880,Education,Education,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_12.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_12.txt,analysis_text,7857,2167,3.754901166756722e-5,5.759806136170638e-5,6.70620271818485e-5,3.8350778616529454e-4,5.901055840387266e-4,0.407773798951233,0.08555237133053772,0.0017674627510097319,2.0717264928629168e-4,8.740969759113517e-5,0.03861257457426524,0.4351254121762748,0.0013810545090734163,0.028345488792043797,1.1432098270227029e-5
NA,XXII_1887_14_literary_notes.txt,NA,NA,1887,1880,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_14_literary_notes.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_14_literary_notes.txt,analysis_text,420,133,3.2003114643865013e-4,8.727353074133935e-4,8.125708770277763e-5,0.007301180842495884,9.83519194197787e-4,0.006099702023262225,0.0029519453364041945,0.005359667002153657,2.919406958688388e-4,7.588678278662127e-4,0.257859296698232,0.343479058046447,0.011850083364625601,0.3602433099565037,0.0015474054703879154
MASTER_00237,XXII_1887_15.txt,Chinese names of plants,"Henry, A.",1887,1880,Natural Sciences,Botany,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXII_1887_15.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXII_1887_15.txt,analysis_text,19362,4939,0.011864904106616015,0.9287167387685735,6.772448474965912e-5,0.014950603271124083,0.010781112579295328,2.8483493871901054e-4,3.404549086363544e-5,7.929840861556091e-5,2.3435810075369915e-6,0.00790706666495521,0.024290961982521,3.135002461368675e-4,2.1209971701055816e-6,2.4729744965101233e-4,4.5744703000155087e-4
MASTER_00247,XXIV_1890_01.txt,Essay on Manchu literature,"Mollendorf, P. G. von",1889,1880,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_01.txt,analysis_text,17562,4660,8.110960408802364e-6,1.4182869335706684e-4,8.99482751876283e-6,7.575246016106378e-4,5.800068761025004e-5,0.0016120725709955327,0.02205908592516513,0.0010584786665995777,0.005443699801575684,2.6843213404071175e-5,0.062096647978311874,0.8900577584307514,3.6632746479873575e-4,0.016168722943599098,1.3590323429286299e-4
MASTER_00248,XXIV_1890_02.txt,Currency and measures in China,"Morse, H. B.",1889,1880,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_02.txt,analysis_text,32598,9345,2.665177595963939e-5,3.8532584289244005e-5,0.0015393659635979683,0.12432954726392814,0.05747199354757349,0.002033678992176698,5.176638857957388e-4,1.0392494490536462e-4,1.2285058442462063e-4,0.009618051155310333,5.675141175844552e-4,0.01939176570874655,9.274765012752779e-4,0.7831528062063744,1.581767680571223e-4
MASTER_00249,XXIV_1890_04.txt,Prehistoric China,"Faber, E.",1889,1880,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_04.txt,analysis_text,1323,410,5.499978067354103e-6,1.906158231035674e-5,8.407975118465031e-5,0.0016986453781894428,3.7922375740780963e-4,0.10206833212433562,0.002908835476778372,0.009485192848669749,2.887733340074584e-4,7.026773971421734e-4,0.10981620925955836,0.6661704958817706,0.10108192211985016,0.004618228494001651,6.728226167264645e-4
