K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
15,2,6,0.5852520857818598,,,,1859,1850,Unknown,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,7,0.5728830668918152,,,,1859,1850,Unknown,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,8,0.5591493752782863,MASTER_00004,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,9,0.5424834983814718,MASTER_00353,Notes on temperatures in high altitudes on the Tibetan border,"Edgar, J. H.",1914,1910,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,10,0.4411165134924096,MASTER_00034,Notes on some of the physical causes which modify climate,"Henderson, J.",1864,1860,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,11,0.3555052607490718,MASTER_00032,Winds and weather at Chefoo,Editorial Committee,1860,1860,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,12,0.3153950171291842,MASTER_00562,Climatic changes during historic time in China,Coching Chu,1931,1930,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,3,1,0.9992188753040502,MASTER_00153,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,2,0.9992166800764622,MASTER_00153,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870,Natural Sciences,"FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,3,0.9445665678469892,MASTER_00227,The Salt revenue of China,"Parker, E. H.",1887,1880,"Politics, Government, and Law | Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,4,0.9017629743447674,MASTER_00267,Chinese revenue,"Parker, E. H.",1894,1890,"Politics, Government, and Law | Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,5,0.8262844431175488,MASTER_00260,Inland communications in China *,"Kingsmill, T. W.",1893,1890,"Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,6,0.7664731776287678,MASTER_00189,Trade routes to Western China,"Hosie, A.",1884,1880,"Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,7,0.5619432072257956,MASTER_00255,"Salt administration of Ssuch'uan, The","Rosthorn, A. von",1892,1890,"Politics, Government, and Law | Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,8,0.5383713509329614,MASTER_00271,THE FINANCIAL CAPACITY OF CHINA.,"Parker, E. H.",1895,1890,"Economy, Trade, and Technology | History and Chronology | Politics, Government, and Law","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,9,0.4298171841174156,MASTER_00223,"The Military organization of China prior to 1842, as described by Wei Yuan","Parker, E. H.",1887,1880,Military,"FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,10,0.3675030620674064,MASTER_00281,"Grand Canal of China, The","Carles, W. R.",1896,1890,"Economy, Trade, and Technology | Natural Sciences","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,11,0.3321276010466463,MASTER_00185,"Journey in Chekiang, A","Parker, E. H.",1884,1880,Geography and Travel,"FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,3,12,0.324779149011159,MASTER_00228,Remarks on the production of salt in China,"Zwehtkoff, P., Trans. Carles, W. R.",1887,1880,"Natural Sciences | Economy, Trade, and Technology","FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
15,4,1,0.9474882038691604,MASTER_00552,Can Chinese writing be simplified ?,"Chatley, H.",1930,1930,Literature and Language,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,2,0.9206548406198996,MASTER_00140,Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history,"Kingsmill, T. W.",1875,1870,Anthropology and Social Customs,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,3,0.9005233213655098,MASTER_00362,"Tone - accents of two Chinese dialects, The *","Bradley, C. B.",1915,1910,Literature and Language,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,4,0.8998913000758899,MASTER_00261,Stray notes on Corean history and literature,"Scott, J.",1893,1890,History and Chronology | Literature and Language,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,5,0.880934286059535,MASTER_00379,"Dragon, The","Hodous, L.",1917,1910,Anthropology and Social Customs,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,6,0.8755326365172152,MASTER_00565,"History of the days of the week, The","Chatley, H.",1931,1930,History and Chronology,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,7,0.8375204721134909,MASTER_00252,A Comparative table of the ancient lunar asterisms,"Kingsmill, T. W.",1891,1890,Natural Sciences,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,8,0.8360907606822561,MASTER_00548,Some points on the history of science in China *,"Vacca, G.",1930,1930,Natural Sciences,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,9,0.8347122239774571,MASTER_00252,A Comparative table of the ancient lunar asterisms,"Kingsmill, T. W.",1891,1890,Natural Sciences,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,10,0.8221374529102018,MASTER_00418,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920,Anthropology and Social Customs | History and Chronology,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,11,0.8210698229682932,MASTER_00418,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920,Anthropology and Social Customs | History and Chronology,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
15,4,12,0.8142886475365074,MASTER_00280,"Limitations of comparative philology, On the","Mollendorf, P. G. von",1896,1890,Literature and Language,"FREX: myth, lunar, sanscrit, greek, phonetic, cycle, aryan, calendar, egypt, stars | Prob: characters, language, modern, word, words, original, written, art, meaning, study | Representative: Can Chinese writing be simplified ?; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history; Tone - accents of two Chinese dialects, The *; Stray notes on Corean history and literature"
