master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
MASTER_00567,_1930-1931_26.txt,"Confucianism, Democracy and nationalism",Lu Yen - Ying,1931,1930,Religion and Philosophy,China--Religion,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1930-1931_26.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1930-1931_26.txt,analysis_text,1836,444,9.169002550282237e-5,1.1373885342551287e-6,5.729798913720504e-4,3.176393739575956e-4,7.003784549676155e-4,0.18158854747636427,0.0014001860653426236,0.6766397807957661,0.13809601907677188,5.91641451420594e-4
MASTER_00568,_1930-1931_27.txt,"Cosmic spirit, The","Morgan, E.",1931,1930,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1930-1931_27.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1930-1931_27.txt,analysis_text,9753,2541,6.685444557921776e-4,2.5109215115133686e-6,0.008703093847738251,5.879314234479417e-5,4.0668239087282164e-4,0.0012349888850733818,2.367942527736833e-4,0.9593667190303276,0.0032225192638683092,0.026099353809697568
MASTER_00569,_1930-1931_28.txt,"Asiatic origin of South American man, The","Gapanovich, J. J.",1931,1930,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1930-1931_28.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1930-1931_28.txt,analysis_text,13374,3259,0.025801674305652673,4.6335458626469866e-5,0.0786516295438629,1.6640034057837435e-4,3.7663064987087454e-4,6.337096067373511e-4,1.387731782068443e-4,6.324560349133575e-4,0.8822392761879592,0.011313114693591968
MASTER_00004,_1930-1931_29.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\_1930-1931_29.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\_1930-1931_29.txt,analysis_text,603,166,0.002046946045383716,1.892611971491786e-4,0.01224159629297048,0.015687856368553587,0.00214335564029161,0.6086563119318917,0.0021580390092864,0.004961524550154475,0.3398460288886049,0.012069080075713516
MASTER_00016,I_1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_01.txt,analysis_text,10449,2770,0.04628425323376637,2.467272947583767e-5,4.8340612469043747e-4,3.0475881120904153e-4,4.010681823424399e-4,0.15606166985486683,2.905474124751985e-5,3.677498797309167e-4,1.1278062754916826e-4,0.7959305858151214
MASTER_00010,I_1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_02.txt,analysis_text,2460,703,1.3027972323570184e-5,2.213302185210262e-6,5.022423369994602e-5,2.3725593025483135e-5,4.2736072898615806e-4,0.014220786784750823,0.0016541446037970683,0.9803847779533653,0.0025352397403568027,6.884990875098726e-4
MASTER_00007,I_1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_03.txt,analysis_text,2865,841,2.3303274894780082e-4,1.4204305974637555e-4,7.240300279333616e-4,0.0737246332083695,0.013913793172405058,0.3581874053841896,0.06681986851189589,0.004545296765644674,0.4601661926671143,0.021543704453753653
MASTER_00009,I_1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850,Arts and Archaeology,Music,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_04.txt,analysis_text,1761,438,7.593990302777017e-4,1.23496328565667e-4,6.49598516015123e-4,0.001195866286067684,0.4333065721279808,0.11949815792387986,0.0021885395669010653,0.059207654371308704,0.37867786863573416,0.004392847213269596
MASTER_00015,I_1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_05.txt,analysis_text,15747,4258,8.945879985626893e-4,5.8862628822734226e-5,0.010224557420074129,8.672522409599174e-4,0.034752677097122785,0.8138853139992369,8.251899486827623e-4,0.0011043848188381168,0.0709395526949881,0.0664476211527116
MASTER_00013,I_1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850,Education,Education,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_06.txt,analysis_text,5157,1388,2.373287219136467e-4,2.936321079691504e-6,0.0062060819068416005,3.4179815649596753e-4,0.007848968448255436,0.7896058537017782,3.70869955748477e-4,0.0015403283373920625,0.1935621184108101,2.837160396852117e-4
