decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1900,stm,30,2,0.0007101325575749659,0,0.0,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1910,stm,30,2,0.0062555294523685,1,0.010752688172043,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1920,stm,30,2,0.0016873565036307,2,0.016260162601626,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1930,stm,30,2,0.0091502489577121,1,0.0416666666666666,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1940,stm,30,2,0.000936438480082932,0,0.0,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1850,stm,30,3,0.0015101571225289,0,0.0,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1860,stm,30,3,0.0085898201672319,3,0.0576923076923076,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1870,stm,30,3,0.0400007084897409,6,0.0983606557377049,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1880,stm,30,3,0.0121002543373824,2,0.0240963855421686,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1890,stm,30,3,0.0296552065168309,2,0.0526315789473684,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1900,stm,30,3,0.0087516989546822,2,0.0666666666666666,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1910,stm,30,3,0.0045207797421649,3,0.032258064516129,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
