master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,model,K,dominant_topic,dominant_topic_weight
MASTER_00421,_1920_07.txt,Chinese poetry and its connotations *,"Ayscough, F. W.",1920,1920s,Literature and Language,Literature,en,1.4755153323551934e-05,1.4755146461325349e-05,1.4754945300229266e-05,0.09847054465640408,1.475501652350992e-05,1.4755033969019136e-05,1.4754818036704894e-05,0.23053502897188605,1.475505684919411e-05,0.07796652526095217,0.5856480330784922,0.007276582861802156,lda,12,10,0.5856480330784922
,_1920_08.txt,,,1920,1920s,,,en,2.859846145001804e-05,2.859845442878721e-05,2.8598354989063308e-05,2.8598590528524998e-05,0.9937638496435919,2.8598205625351462e-05,2.859762556316191e-05,2.8598171476490928e-05,2.8598693339295166e-05,0.005950166812482716,2.8598275400667006e-05,2.8598711123980973e-05,lda,12,4,0.9937638496435919
MASTER_00423,_1920_09.txt,"Chinese life of Mohammed, A","Mason, I.",1920,1920s,Religion and Philosophy,Islam,en,2.2134615649980647e-05,0.000940747343078629,2.213422624562009e-05,2.2134651343985344e-05,2.2134172501912845e-05,2.2134554195119695e-05,2.2133830053548315e-05,0.13177313922277933,2.2134224706817307e-05,0.0070692497892160325,0.860039788941474,2.2134428755045036e-05,lda,12,10,0.860039788941474
MASTER_00424,_1921_01.txt,"Operations and manifestations of the Tao exemplified in history, The","Morgan, E.",1921,1920s,Religion and Philosophy,Taoism,en,1.1958181092570391e-05,1.1958222280276745e-05,1.1958048900148365e-05,1.1958247909215391e-05,1.1957958494494733e-05,1.1958185192890377e-05,1.1957951643784343e-05,0.14506919462424253,1.195803380830997e-05,1.1958246663770375e-05,0.8548112242393224,1.1958060449660768e-05,lda,12,10,0.8548112242393224
MASTER_00425,_1921_02.txt,"Hainanese Miao, The *","Moninger, M. M.",1921,1920s,Anthropology and Social Customs,Ethnology,en,0.02340840332991719,0.016425803577074464,5.2544164655338514e-05,0.18991547843839024,5.254464433849793e-05,5.254512513353573e-05,5.254436436820168e-05,5.254442271563739e-05,5.254451659690569e-05,0.5127775477933726,0.2571049548180123,5.254480542516044e-05,lda,12,9,0.5127775477933726
MASTER_00426,_1921_03.txt,Notes on the symbolism of the Purple Forbidden City *,"Ayscough, F. W.",1921,1920s,Geography and Travel,Travel,en,0.027349409689799577,0.011965577264058211,1.6041606866900466e-05,0.07985435680483692,1.6041592108362413e-05,1.6041659752524267e-05,1.6041557765047654e-05,0.15007464704586784,1.604154891951769e-05,0.03977085636480858,0.6908889029269824,1.6041938234114865e-05,lda,12,10,0.6908889029269824
MASTER_00180,_1921_04.txt,Corea,"Scherzer, F., trans. Gould, C.",1883,1880s,Anthropology and Social Customs,Manners and customs,en,1.6653877288335033e-05,1.665377413700011e-05,1.665393300825379e-05,1.6654039144839178e-05,0.9998168072086111,1.665379974894358e-05,1.6653511793254774e-05,1.665387046486861e-05,1.665396734395651e-05,1.665433645256127e-05,1.6653727859230354e-05,1.665395414760371e-05,lda,12,4,0.9998168072086111
MASTER_00428,_1921_05.txt,Exogamy in China,"Wilkinson, H. P.",1921,1920s,Anthropology and Social Customs,Ethnology,en,2.0776946921619728e-05,0.44897488586337536,2.0776812040209982e-05,2.0776882087105146e-05,2.0777122872342436e-05,2.0777091494285192e-05,2.077701624947449e-05,0.051184149094523894,2.077710182991839e-05,2.0777095222187914e-05,0.4996539715144931,2.0777458890459422e-05,lda,12,10,0.4996539715144931
MASTER_00429,_1921_06.txt,"Lampacao, a mystery of the Far East","Morse, H. B.",1921,1920s,Geography and Travel,Geography,en,0.00037370682774112734,0.09759156110788605,0.12462688296483335,0.2952883077956232,0.00037369943699593213,0.18644542267888917,0.0003736942796563393,0.00037371167668822633,0.00037370638622529504,0.00037370532792028446,0.2934318888663179,0.0003737126512232531,lda,12,3,0.2952883077956232
MASTER_00430,_1921_07.txt,"Marriage maker, The","Kliene, C.",1921,1920s,Literature and Language,Literature,en,0.06269415433917565,2.8726798960991874e-05,2.8726545949658043e-05,0.04403362147851855,2.8726449388466376e-05,2.8726859548545725e-05,0.0030086453723501792,0.018152794399243017,2.872667329631834e-05,0.03800528451993037,0.8339331398171546,2.8726746483630646e-05,lda,12,10,0.8339331398171546
