master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,model,K,dominant_topic,dominant_topic_weight
MASTER_00333,XLIII_1912_04.txt,Chinese art metal work *,"Stanley, A.",1912,1910s,Arts and Archaeology,Decorative arts,en,0.15467866213362014,0.2279070297958787,8.033400560256733e-05,8.034519250571881e-05,8.032912064615622e-05,0.48212324005796103,8.032667117263151e-05,8.034240435848921e-05,8.033246301952374e-05,0.13480905815523497,lda,10,5,0.48212324005796103
MASTER_00334,XLIII_1912_05.txt,"Great Summer Festival of China as observed in Foochow, The","Hodous, L.",1912,1910s,Anthropology and Social Customs,Manners and customs,en,0.06414354848691513,0.6425442676861003,3.9774679723727976e-05,0.14021023267088237,3.976589817490986e-05,0.0391285697888687,3.9764205935435094e-05,0.04352666658530932,3.9773524185496096e-05,0.07028763647390467,lda,10,1,0.6425442676861003
MASTER_00116,XLIII_1912_06.txt,The Obligations of China to Europe in the matter of physical science acknowledged by eminent Chinese,"Moule, G. E.",1871,1870s,Natural Sciences,Science,en,0.0001462428674585684,0.4967147481526327,0.00014625923581035197,0.00014624397437174543,0.12957605250656548,0.3526975125939565,0.00014621204460952853,0.015251124616456927,0.0050293629189627435,0.00014624108917552373,lda,10,1,0.4967147481526327
MASTER_00330,XLIII_1912_07_literary_notes.txt,T'ai Shan *,"Moule, A. C.",1912,1910s,Religion and Philosophy,Religion,en,1.680512679106359e-05,0.31525472545096217,1.6804655107122416e-05,0.018077088169279477,0.03751315630007224,0.4943008066117627,0.005773096823540837,0.0954612223660599,1.6806381038782925e-05,0.03356948811538574,lda,10,5,0.4943008066117627
,XLIII_1912_08_notes_and_queries.txt,,,1912,1910s,,,en,0.00018054910720430596,0.4382131403454585,0.0001805484787666039,0.09692437601985818,0.00018054985096228345,0.3706970010853216,0.00018052258213923354,0.059300088954911186,0.00018055256931080846,0.03396267100606726,lda,10,1,0.4382131403454585
MASTER_00118,XLIII_1912_09.txt,Chinese legends,"Stent, G. C.",1871,1870s,Anthropology and Social Customs,Mythology,en,0.0008476846958279537,0.11056484788156114,0.0008475511748863104,0.052614693511378756,0.5059498982046163,0.28401619575134956,0.000847586897284113,0.04261594845330859,0.0008478547162444997,0.0008477387135429388,lda,10,4,0.5059498982046163
MASTER_00330,XLIII_1912_10.txt,T'ai Shan *,"Moule, A. C.",1912,1910s,Religion and Philosophy,Religion,en,0.007313121764123819,0.07915971991340658,8.586919132154793e-06,0.47263065376414126,8.587297547661468e-06,0.08289055521392141,8.58995429381195e-06,0.3527242959441959,8.586878198847051e-06,0.005247302351038605,lda,10,3,0.47263065376414126
MASTER_00390,XLIX_1918_01.txt,River problems in China *,"Chatley, H.",1918,1910s,Natural Sciences,Hydrology,en,4.981628755137616e-05,0.029453866885324025,0.01634702606418443,0.6291885655909883,4.980564798534012e-05,0.3178849648299864,4.980387484994243e-05,4.981280411978488e-05,4.980831965363288e-05,0.006876529695356621,lda,10,3,0.6291885655909883
MASTER_00391,XLIX_1918_02.txt,"Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916","Laver, H. E.",1918,1910s,Natural Sciences,Zoology,en,1.9451027103924462e-05,1.945299848162874e-05,0.0676732771247792,0.30772370292749845,1.945011790811033e-05,1.9450843811262046e-05,1.9448547481972332e-05,1.94511122101664e-05,1.944969582566715e-05,0.6244668656048997,lda,10,9,0.6244668656048997
MASTER_00392,XLIX_1918_03.txt,Animistic elements in Moslem prayer,"Zwemer, S. M.",1918,1910s,Religion and Philosophy,Islam,en,4.1044371835844764e-05,0.7989409042729021,4.104584243632505e-05,0.013457963320290997,0.02604601639669916,4.104237634955246e-05,4.104019794211194e-05,0.16130885240490433,4.104390018519054e-05,4.104691645448237e-05,lda,10,1,0.7989409042729021
MASTER_00393,XLIX_1918_04.txt,"Eight Immortals of the Taoist religion, The","Ling, P. C.",1918,1910s,Religion and Philosophy,Taoism,en,0.008328668426287045,0.7077454017620923,2.5602684303251067e-05,0.014124247515358878,2.5602281923430307e-05,2.5602917410578386e-05,2.5601349639920838e-05,0.24468146545760305,0.004162312057349788,0.020855495548031837,lda,10,1,0.7077454017620923
MASTER_00394,XLIX_1918_05.txt,"Kite Festival in Foochow, China, The","Hodous, L.",1918,1910s,Anthropology and Social Customs,Manners and customs,en,0.04798783003173458,0.4348022772334188,9.01107022945657e-05,0.039721313958465024,9.011628662809087e-05,9.011935146612437e-05,9.009637155371367e-05,0.37472875763517904,9.011705806320141e-05,0.1023092613711969,lda,10,1,0.4348022772334188
MASTER_00395,XLIX_1918_06.txt,On a method of divination practised at Foochow,"Harding, H. L.",1918,1910s,Anthropology and Social Customs,Manners and customs,en,0.1778917281267664,0.6308587249985881,0.00017765422595956756,0.13738678267419663,0.00017768868025541782,0.00017766952973620177,0.00017769343279289523,0.017862954073086273,0.000177656684855082,0.03511144757376355,lda,10,1,0.6308587249985881
MASTER_00396,XLIX_1918_07.txt,"Note on the Tu Ti'en Hui held at Chinkiang on the 31st May, 1917","Ottewill, H. A.",1918,1910s,Anthropology and Social Customs,Manners and customs,en,0.04603888433849128,0.44688053102835307,8.697114330285028e-05,0.13321986340784212,0.047378030752879975,0.060320384396771745,8.698636247722515e-05,0.2557316318353829,8.697709673306285e-05,0.010169739637765773,lda,10,1,0.44688053102835307
MASTER_00397,XLIX_1918_08.txt,"Domestic altar, The",Hutson J.,1918,1910s,Religion and Philosophy,Religion,en,7.712350467641521e-05,0.8159611056965059,7.713444658037593e-05,0.034218871039608564,0.005568767571944473,7.712055117690237e-05,7.712339614479667e-05,0.0818038530961981,0.001614362417008212,0.060524538280156394,lda,10,1,0.8159611056965059
MASTER_00398,XLIX_1918_09.txt,Ku K'ai - chih's scroll in the British Museum *,"Ferguson, J. C.",1918,1910s,Arts and Archaeology,Painting,en,6.98972797914991e-05,0.3689860308913546,6.988883043242787e-05,6.989510204620568e-05,6.989322580292286e-05,0.1758476793129304,6.988699776031059e-05,0.45467703832276374,6.98929256611614e-05,6.989711145671536e-05,lda,10,7,0.45467703832276374
MASTER_00399,XLIX_1918_10.txt,"Theistic import of the Sung philosophy, The","Bruce, J. P.",1918,1910s,Religion and Philosophy,Philosophy,en,3.551703838029942e-05,0.871380098700597,3.5518660776170936e-05,3.5516909035979354e-05,3.5521047981799714e-05,0.03066417359975232,3.551660279173276e-05,0.09770709941179882,3.5519222302429316e-05,3.551880658342497e-05,lda,10,1,0.871380098700597
MASTER_00400,XLIX_1918_11.txt,"Case of ritualism, A","Morgan, E.",1918,1910s,Religion and Philosophy,Religion,en,3.406856968759724e-05,0.7174644784859812,3.406831379120565e-05,3.4068466968504995e-05,3.406429128016678e-05,0.021831551506706848,3.4065167050633424e-05,0.2604655027991184,3.40652764696661e-05,3.406712294592137e-05,lda,10,1,0.7174644784859812
MASTER_00401,XLIX_1918_12.txt,Chinese puzzledom,"Kliene, C.",1918,1910s,History and Chronology,History,en,0.07010930707825705,0.6397339765398861,3.908905992610969e-05,0.039213490548671535,0.01133621283295743,0.11304246102632798,0.0012844267378120102,0.08577774771069395,3.90884813880917e-05,0.03942419998407985,lda,10,1,0.6397339765398861
MASTER_00213,XLIX_1918_13.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,1.4505586668670838e-05,0.39961516200928193,1.4504667748098527e-05,0.021483443890388886,0.010442832745018197,0.5274017106039238,1.450606295218072e-05,0.002515701196267363,0.006872796747523844,0.03162483649022697,lda,10,5,0.5274017106039238
MASTER_00213,XLIX_1918_14_notes and queries.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,8.2739355219545e-05,0.23040396282467188,8.273461405403953e-05,8.273911272485893e-05,8.273096250893456e-05,0.4898166657790207,8.272021983613714e-05,0.24269762253073737,8.273197527337336e-05,0.03658535262595314,lda,10,5,0.4898166657790207
