master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.0,0.04425416873475905,0.059385297860071705,0.0,0.0,0.0,0.0,0.14568666437997851,0.014486820521939043,0.0,0.0,0.0,0.5800847579800392,0.02149512190842276,0.06301622796173223,0.0,0.06551925254154121,0.0,0.006071688111516163,0.0,nmf,20,12,0.5800847579800392
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.0234511490359251,0.3968644493556398,0.0,0.03597497752506222,0.0,0.006670862668735295,0.03946752458728917,0.03343379285477139,0.0,0.0781237461247914,0.3323464187668245,0.0,0.0,0.0,0.0,0.0,0.05366707908096113,0.0,0.0,0.0,nmf,20,1,0.3968644493556398
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.031090684042874208,0.5337565730670637,0.0729567361404678,0.04122436944679251,0.0,0.012251063148275032,0.00896988368371086,0.08540916065715831,0.015737417269397355,0.046459693896569024,0.058638807186683385,0.0013631906046279927,0.0,0.005967509473503646,0.026156488940028123,0.0468039236905861,0.004024431476118807,0.0,0.0,0.009190067276143028,nmf,20,1,0.5337565730670637
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.07698765127027808,0.0,0.0,0.0,0.0,0.0,0.09748648026288238,0.1309137256938944,0.00708457540904919,0.21055599589121216,0.1303301523616913,0.001602563511234989,0.0,0.04500905754494862,0.0,0.18325843042331086,0.09322855623164279,0.023542811399855187,0.0,0.0,nmf,20,9,0.21055599589121216
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860s,Arts and Archaeology,Architecture,en,0.05191876960254626,0.022609522078451568,0.2181308664957275,0.0,0.01727462926183636,0.0,0.0,0.09250499096898794,0.0,0.0,0.512977463794211,0.0,0.0,0.0,0.0,0.0,0.07613211313684487,0.0084516446613945,0.0,0.0,nmf,20,10,0.512977463794211
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.03351545556414213,0.0,0.1083442628185452,0.018854343508386395,0.10813061852247347,0.0008876330710710612,0.07554026933161864,0.04621951088618314,0.029186261818977422,0.021000707713571452,0.0006675455446256308,0.01760134774973538,0.018954252419957435,0.06289616332996995,0.0,0.04854327963195589,0.22918456614867797,0.04103569305135661,0.09416586234685645,0.045272226541895735,nmf,20,16,0.22918456614867797
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,0.11421531386119872,0.0,0.0,0.0393451751998332,0.0,0.0,0.16568504731648817,0.3084180582146461,0.011920422962606269,0.08046935483193574,0.279946627613292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,7,0.3084180582146461
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.0019635139585380355,0.0,0.02861036106298928,0.0,0.0,0.011682185758851278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533883320210897,0.0,0.0,0.0043556071985317996,0.0,0.0,nmf,20,14,0.9533883320210897
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0,0.0,0.08164081697198153,0.005281396251946892,0.016413516908653888,0.05422803489016524,0.0,0.08684058650687129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7159781144870142,0.0,0.0,0.039617533983367106,nmf,20,16,0.7159781144870142
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.1414986304310471,0.27117973513044197,0.0,0.0,0.0004688052834717807,0.0,0.46850904467878535,0.033182057623838794,0.0,0.0,0.009510588628157865,0.0656606882058202,0.007187386242677553,0.0,0.0,0.0,0.0,0.002803063775759578,0.0,nmf,20,7,0.46850904467878535
