master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,model,K,dominant_topic,dominant_topic_weight
MASTER_00429,LII_1921_06.txt,"Lampacao, a mystery of the Far East","Morse, H. B.",1921,1920s,Geography and Travel,Geography,en,0.0,0.28751707763313594,0.0,0.0,0.02820731080839413,0.0,0.03418530153729348,0.6500903100211763,0.0,0.0,0.0,0.0,nmf,12,7,0.6500903100211763
MASTER_00430,LII_1921_07.txt,"Marriage maker, The","Kliene, C.",1921,1920s,Literature and Language,Literature,en,0.6867211748630077,0.0,0.03136224731714368,0.18800066893196057,0.0,0.06284455959390414,0.0,6.436204957582374e-05,0.0,0.031006987244408164,0.0,0.0,nmf,12,0,0.6867211748630077
MASTER_00431,LII_1921_08.txt,"Highways and byways of Kweichow, The *","Kemp, E. G.",1921,1920s,Geography and Travel,Travel,en,0.42834375392895596,0.2789556696553466,0.06844345402094187,0.0,0.047869321101028456,0.0,0.0,0.010655434764949158,0.0,0.0,0.12670235360876728,0.039030012920010626,nmf,12,0,0.42834375392895596
MASTER_00432,LII_1921_09.txt,"Christ in the "" Li Tai Shen Hsien T'ung Chien ""","Werner, E. T. C.",1921,1920s,Religion and Philosophy,Christianity,en,0.07980608234886807,0.004118662964347876,0.14871341724097922,0.13526953515864434,0.0,0.0,0.0,0.0,0.0,0.4473410465754674,0.18475125571169307,0.0,nmf,12,9,0.4473410465754674
MASTER_00433,LII_1921_10.txt,"Trip to Hua Kang, A","Fletcher, W. J. B.",1921,1920s,Literature and Language,Literature,en,0.04228228139027583,0.2810058229041799,0.0,0.03103474523606547,0.20631575850185618,0.0,0.0,0.0,0.0,0.2622949414527495,0.0,0.17706645051487327,nmf,12,1,0.2810058229041799
MASTER_00434,LII_1921_11.txt,"Song of a skirt, The","Fletcher, W. J. B.",1921,1920s,Literature and Language,Literature,en,0.622470823701875,0.0,0.0,0.34714938360253267,0.0,0.0,0.0,0.0,0.0303797926955923,0.0,0.0,0.0,nmf,12,0,0.622470823701875
MASTER_00007,LII_1921_reviews_of_recent_books.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.0,0.024644256569603246,0.7559133987196834,0.0,0.0,0.0,0.0,0.17638683006159875,0.03379756802578771,0.009257946623326846,0.0,0.0,nmf,12,2,0.7559133987196834
MASTER_00088,V_1868_01.txt,Note sur les petites societes d'argent en Chine,"Simon, G. E.",1868,1860s,"Economy, Trade, and Technology",Economics,fr,0.0,0.0,0.0,0.0,0.0,0.9970909470345662,0.0,0.0,0.0029090529654337925,0.0,0.0,0.0,nmf,12,5,0.9970909470345662
MASTER_00089,V_1868_02.txt,Notes on the coal fields and general geology of the neighbourhood of Nagasaki *,"Kingsmill, T. W.",1868,1860s,Natural Sciences,Geology,en,0.0,0.781026843491506,0.0,0.0,0.08469517301788614,0.0,0.0,0.010203279992424989,0.0,0.0,0.10280362825155666,0.021271075246626293,nmf,12,1,0.781026843491506
MASTER_00090,V_1868_03.txt,Notions of the ancient Chinese respecting music,"Jenkins, B.",1868,1860s,Arts and Archaeology,Music,en,0.06586427865031799,0.0,0.0,0.0,0.006024094566322158,0.0,0.10298823732820224,0.0,0.0,0.7519934365142931,0.07312995294086447,0.0,nmf,12,9,0.7519934365142931
