master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.07092908552882009,0.14364611373107417,3.6049027722734325e-05,3.604902749560239e-05,0.10448856899065022,0.06327905320263286,3.6049027416141575e-05,3.6049027486983575e-05,0.01205483788035933,0.06278189376701963,0.09928086381307277,3.604902763239308e-05,0.01845147950628677,0.09673486093474426,3.6049027273588884e-05,0.17360855735709704,0.1106623029507732,3.604902767571389e-05,3.60490273387335e-05,0.04379399011742763,lda,20,15,0.17360855735709704
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,2.1159543412840037e-05,0.008093570598213445,0.006974050119137813,2.1159543269359263e-05,2.1159543220424015e-05,2.1159543430115898e-05,2.115954348502849e-05,0.0599134782954345,2.115954330489154e-05,0.009988397681207769,0.5676765344232731,2.1159543403654077e-05,0.03142126000130969,2.1159543339925493e-05,2.115954312359718e-05,0.20304054242570252,0.09484707845253358,0.011267879989970227,0.006565612579744182,2.1159543483351576e-05,lda,20,10,0.5676765344232731
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,2.2065313721411452e-05,0.09540721978337585,2.206531370627905e-05,2.206531364874163e-05,2.2065313622841984e-05,2.2065313961374907e-05,0.4000795457307929,2.2065313878270437e-05,2.2065313769453223e-05,0.37689761811302075,2.2065313723057433e-05,0.001878077774352279,2.2065313722743902e-05,2.2065313859739613e-05,2.2065313474117828e-05,0.00740576313574566,0.016007343448078654,0.10203758293601815,2.20653137476439e-05,2.2065313780257755e-05,lda,20,6,0.4000795457307929
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.00011261261503284389,0.00011261261541685226,0.003320914850179608,0.004013428075160959,0.00011261261545093642,0.00011261261694013503,0.00011261261586352725,0.00011261261570134978,0.00011261261391500477,0.00011261261467947702,0.00011261261527403075,0.00011261261474705964,0.00011261261532200113,0.03542700081343623,0.00011261261354800461,0.00011261261615790126,0.025178959510301777,0.24638944538716215,0.0001126126150658299,0.6840936747506443,lda,20,19,0.6840936747506443
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,5.7339450501518476e-05,0.1326911002223313,5.733945088108965e-05,5.733945114524708e-05,5.733945060045339e-05,0.11383065323652246,0.09770313934675108,5.7339450964955e-05,5.73394505615861e-05,5.733945059034119e-05,0.12273680179287316,5.733945072154928e-05,5.7339451072044504e-05,5.733945079718969e-05,5.733944993341552e-05,0.49902363272421935,5.73394509617292e-05,0.01786972342578894,0.015399536391887599,5.7339450894933926e-05,lda,20,15,0.49902363272421935
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,9.509319364838913e-06,9.509319341005105e-06,9.509319367460588e-06,9.50931926868133e-06,9.50931938320504e-06,9.509319347427125e-06,0.6150022026142103,9.509319313970078e-06,9.509319247283623e-06,0.027462413645717554,0.0680199691222861,9.509319327983513e-06,0.029822257730717866,9.509319333829997e-06,9.5093191739863e-06,0.0031604809082086396,9.509319316127057e-06,9.509319331125585e-06,9.509319337669912e-06,0.2563995455084051,lda,20,6,0.6150022026142103
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.0028975117598965053,2.1422451206575333e-05,2.1422451032401493e-05,2.142245104662968e-05,2.1422450989846345e-05,0.010109710581512301,2.142245129044018e-05,0.020348390318346742,2.1422450988397214e-05,2.142245115317354e-05,0.07157320254061617,2.142245109508953e-05,0.29156667513004914,2.1422451115924424e-05,2.142245098631312e-05,2.142245130452554e-05,0.344630403718866,0.1377772474071851,2.142245116494149e-05,0.12083978913015368,lda,20,16,0.344630403718866
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,4.566210137841804e-05,0.3211881202608273,4.5662101460355516e-05,4.5662100939192474e-05,4.566210116294937e-05,4.5662101456651786e-05,0.3212601142279083,0.20331314903673953,4.566210125649626e-05,4.566210161818293e-05,4.566210134067578e-05,4.566210102764028e-05,0.11552259807499395,4.5662101401354874e-05,4.566210157212895e-05,4.566210127773716e-05,4.5662101646922864e-05,4.5662101026233946e-05,0.03803108687935572,4.566210161039589e-05,lda,20,6,0.3212601142279083
,1869_04.txt,,,1869,1860s,,,fr,2.3288309411902327e-05,2.328830949005438e-05,2.3288309399249427e-05,2.3288309400472556e-05,2.3288309442228282e-05,2.328830955543944e-05,2.328830949322388e-05,2.3288309408560203e-05,2.3288309349916388e-05,2.3288309339298722e-05,2.328830941563428e-05,2.32883093329676e-05,2.328830947006448e-05,2.3288309363915397e-05,0.9995575221207136,2.3288309558125865e-05,2.3288309441238913e-05,2.3288309472313062e-05,2.3288309517440637e-05,2.328830942435951e-05,lda,20,14,0.9995575221207136
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.03177666941706048,0.3224227573652073,1.0921800105746903e-05,1.0921800116650593e-05,1.0921800222559107e-05,0.032886030284097575,1.0921800185819638e-05,0.12836098600784854,1.0921800222006693e-05,0.006861706357920258,0.018764554839316994,1.0921800164823978e-05,0.020627920880300445,0.0009260106280488038,1.0921800048569207e-05,0.0502319484222601,0.12860188251939145,0.13087530175845855,1.0921800176845252e-05,0.12757685711884661,lda,20,1,0.3224227573652073
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,2.0408163660408e-05,0.24783144823933553,2.0408163912858572e-05,0.0013226860569551956,2.0408164129348603e-05,0.03633269444396434,2.0408163643414075e-05,0.10811360786726953,2.0408163813641446e-05,2.040816373454805e-05,2.0408163726449175e-05,2.040816356204036e-05,2.04081637496837e-05,0.013537845207382436,2.0408164090263822e-05,0.01509800413422087,0.17871149585336799,0.15263615262397326,2.0408163735244884e-05,0.24619157577177303,lda,20,1,0.24783144823933553
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,6.944444597678687e-05,0.19059703571309375,6.944444573266563e-05,6.944444523269049e-05,6.9444447262548e-05,0.060865639134171305,0.12190848007661058,0.13618798866736306,6.944444719641704e-05,6.94444468998673e-05,0.3387036911501345,6.94444456517445e-05,6.944444621734219e-05,6.944444919704768e-05,6.944444505288727e-05,6.944444628594258e-05,0.05288795997434246,0.06137319899516358,6.944444618685798e-05,0.03664267293222802,lda,20,10,0.3387036911501345
,1869_08.txt,,,1869,1860s,,,en,0.008251174270828292,3.728560859711118e-05,3.7285608771664575e-05,3.7285608523582055e-05,3.728560845627395e-05,0.06318520160225828,0.03295418445877063,3.72856085016877e-05,3.728560853965732e-05,3.728560875384788e-05,0.1389048266363091,3.728560879120249e-05,0.5997044220598868,3.728560887609198e-05,3.7285608331964995e-05,0.07924438911289773,0.053987947559364535,3.728560872530176e-05,3.728560855741597e-05,0.023320426996258758,lda,20,12,0.5997044220598868
MASTER_00106,1869_09.txt,Chinese chemical manufactures,"Smith, F. P.",1869,1860s,Natural Sciences,Agriculture,en,0.09604805573363685,0.22081117431611003,3.518648901013648e-05,3.518648871381665e-05,3.518648936598284e-05,0.06727806847656173,3.518648930718586e-05,3.5186489107951465e-05,3.518648899069407e-05,0.2135036511961682,3.5186489202888646e-05,3.518648907823007e-05,0.06900251701761817,0.06477709874028226,3.5186488537852044e-05,0.1391171610327739,3.518648922304475e-05,0.0434735038880068,0.043484182151661034,0.04215272255664293,lda,20,1,0.22081117431611003
