master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,model,K,dominant_topic,dominant_topic_weight
MASTER_00179,1883_01.txt,What did the ancient Chinese know of the Greeks and Romans,"Edkins, J.",1883,1880s,History and Chronology,History,en,0.009477697963674021,0.07781473165675713,0.15295692804724667,0.05513443204447895,0.0,0.0,0.7046162102878432,0.0,nmf,8,6,0.7046162102878432
MASTER_00180,1883_02.txt,Corea,"Scherzer, F., trans. Gould, C.",1883,1880s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0,0.25819829590817456,0.07495530073549529,0.005862679866401969,0.04040573712029886,0.27290174553561775,0.34767624083401155,nmf,8,7,0.34767624083401155
MASTER_00181,1883_03.txt,Researches into the geology of Formosa *,"Kleinwachter, G.",1883,1880s,Natural Sciences,Geology,en,0.0,0.9143926867528535,0.0,0.0,0.06164831998055535,0.0,0.023958993266591126,0.0,nmf,8,1,0.9143926867528535
MASTER_00182,1883_04.txt,Fragmens d'un voyage dans l'interieur de la Chine,"Imbault - Huart, C.",1883,1880s,Geography and Travel,Travel,fr,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nmf,8,5,1.0
MASTER_00180,1883_05.txt,Corea,"Scherzer, F., trans. Gould, C.",1883,1880s,Anthropology and Social Customs,Manners and customs,en,0.0,0.5338607565532028,0.2991477392100517,0.0,0.04606352869714122,0.0,0.0,0.12092797553960433,nmf,8,1,0.5338607565532028
MASTER_00185,1883_06.txt,Samshu - brewing in North China,"Guppy, H. B.",1883,1880s,Natural Sciences,Agriculture,en,0.026906319578531745,0.9730936804214683,0.0,0.0,0.0,0.0,0.0,0.0,nmf,8,1,0.9730936804214683
,1885_01.txt,,,1885,1880s,,,en,0.0,0.029964899531752333,0.05428111740644463,0.3775073007716241,0.0,0.0,0.0,0.5382466822901789,nmf,8,7,0.5382466822901789
MASTER_00206,1885_02.txt,The Prevalence of infanticide in China,,1885,1880s,Anthropology and Social Customs,Manners and customs,en,0.16550921545601172,0.07212828903785072,0.3247175799392589,0.0,0.03799170219037715,0.0016255242740490818,0.0007839188403614698,0.39724377026209096,nmf,8,7,0.39724377026209096
MASTER_00201,1885_03.txt,The Mystery of Ta - ts ' in,"Playfair, G. M. H.",1885,1880s,Geography and Travel,Geography,en,0.3927456990187296,0.13392268278777025,0.0,0.10854693310985734,0.0,0.0,0.36478468508364276,0.0,nmf,8,0,0.3927456990187296
MASTER_00259,1885_04.txt,Wei - ch ' i *,"Volpicelli, Z. H.",1891,1890s,Anthropology and Social Customs,Manners and customs,en,0.07309489074522625,0.0720858442123971,0.25325378105491847,0.17623555154635007,0.2027312967279103,0.009806224048948344,0.1061952563143735,0.10659715534987585,nmf,8,2,0.25325378105491847
MASTER_00207,1885_05.txt,What is filial piety ?,,1885,1880s,Anthropology and Social Customs,Manners and customs,en,0.02574696003113449,0.0,0.09291647904970314,0.0,0.0,0.0,0.0,0.8813365609191623,nmf,8,7,0.8813365609191623
,1885_06.txt,,,1885,1880s,,,en,0.33132221708478904,0.0,0.3263431410452663,0.029162251997560555,0.0,0.0,0.129760002351277,0.18341238752110703,nmf,8,0,0.33132221708478904
MASTER_00205,1885_07.txt,Western appliances in the Chinese printing industry,"Hirth, F.",1885,1880s,Natural Sciences,Agriculture,en,0.7146363968195028,0.0,0.0,0.2564058001246529,0.02895780305584425,0.0,0.0,0.0,nmf,8,0,0.7146363968195028
