master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00409,L_1919_08.txt,"List of the birds in the Museum of the Anglo - Chinese College of Foochow, China","Kellogg, C. R.",1919,1910s,Natural Sciences,Zoology,en,0.019507111969713997,0.0,0.03191227729636374,0.0,0.9464523874904277,0.0021282232434943747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,15,4,0.9464523874904277
MASTER_00410,L_1919_09.txt,Formosa,,1919,1910s,Geography and Travel,Travel,en,0.023945247585368944,0.2601521328953795,0.0,0.0,0.1833609073062862,0.0,0.013438526905064935,0.2513114384069083,0.028946786992342807,0.0,0.0,0.00664440886791179,0.0,0.0,0.23220055104073767,nmf,15,1,0.2601521328953795
MASTER_00411,L_1919_10.txt,"Attractions of entomology, The","Moore, A.",1919,1910s,Natural Sciences,Zoology,en,0.05699070535286528,0.0,0.23053890445245945,0.0,0.2472382961537494,0.0,0.0037527909788591016,0.0,0.01847582601051726,0.14400929643903917,0.2218379225418636,0.00016663921354189906,0.008969235024559465,0.0,0.06802038383254551,nmf,15,4,0.2472382961537494
MASTER_00412,L_1919_11.txt,"Beginning of the study of the flora and fauna of Soochow and vicinity, A","Gee, N. G.",1919,1910s,Natural Sciences,Botany,en,0.0,0.0,0.3345365447592858,0.0,0.3957890360690471,0.0,0.0,0.0,0.0,0.0,0.0,0.2696744191716671,0.0,0.0,0.0,nmf,15,4,0.3957890360690471
MASTER_00413,L_1919_12.txt,Notes on Kansu,"King, G. E.",1919,1910s,Geography and Travel,Travel,en,0.021423824224429604,0.3265282325170516,0.029158963316383565,0.0,0.08835545440588002,0.0,0.0863356552016284,0.0,0.05908590868498645,0.03347653244043131,0.046321784128946546,0.03703919531625862,0.0,0.0,0.27227444976400383,nmf,15,1,0.3265282325170516
MASTER_00414,L_1919_13.txt,"Exhibition of pictures by a Russian artist, An *","Howell, E. B.",1919,1910s,Arts and Archaeology,Art,en,0.023966540995841893,0.0284141273963302,0.3743671960059229,0.0,0.0,0.0,0.0,0.05304872732581802,0.0,0.0,0.492954966315651,0.0,0.027248441960435976,0.0,0.0,nmf,15,10,0.492954966315651
,L_1919_reviews_of_recent_books.txt,,,1919,1910s,,,en,0.0,0.008932334529050158,0.5695166760579071,0.0,0.0,0.04047508918048656,0.0,0.026043997903400607,0.007543000372031745,0.023693420457694434,0.03299551023003661,0.0,0.05864425078841913,0.23215572048097355,0.0,nmf,15,2,0.5695166760579071
MASTER_00415,LI_1920_01.txt,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920s,Anthropology and Social Customs,Ethnology,en,0.001336202066211324,0.10193663404318541,0.02442645113022714,0.07864054731040897,0.005435156585232961,0.005067893295294061,0.6461851426768394,0.059208861358731664,0.024968237298494837,0.03574737227368209,0.0,0.0,0.0,0.017047501961692055,0.0,nmf,15,6,0.6461851426768394
MASTER_00416,LI_1920_02.txt,Greek and Chinese art ideals,"Stanley, A.",1920,1920s,Arts and Archaeology,Art,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10904760782557925,0.8909523921744207,0.0,0.0,0.0,0.0,nmf,15,10,0.8909523921744207
MASTER_00417,LI_1920_03.txt,"Destiny, fate","Morgan, E.",1920,1920s,Religion and Philosophy,Philosophy,en,0.0,0.012269999358547789,0.0,0.004774564040107093,0.013322997633220203,0.0,0.0,0.0,0.0,0.9601961881076292,0.0,0.0,0.009436250860495841,0.0,0.0,nmf,15,9,0.9601961881076292
