master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00552,_1930-1931_09.txt,The I - Wei a problem in criticism *,"Bruce, P.",1930,1930s,Religion and Philosophy,China--Religion,en,5.1921230963929175e-05,0.01547890809328392,5.1921170073897395e-05,5.192120829527766e-05,5.192117888499022e-05,0.20926630656167566,5.1921265611280494e-05,5.1921202391986335e-05,5.192115171723791e-05,5.192118205991392e-05,5.192120236058562e-05,5.1921206996394377e-05,0.3467204507626975,0.4279632013906916,5.1921192295784405e-05,lda,15,13,0.4279632013906916
MASTER_00553,_1930-1931_10.txt,"Philosopher Yang Hsiung, The *","Forke, A.",1930,1930s,Religion and Philosophy,Philosophy,en,0.00018622007207825153,0.00018622025595898024,0.0001862199823340663,0.0001862202424242955,0.00018621991251116524,0.0382951327933873,0.00018622030382409426,0.03414675692605896,0.00018622000835332692,0.0001862200378981212,0.0001862202783094577,0.000186220290787534,0.463030605532862,0.4624790834867543,0.0001862198764580665,lda,15,12,0.463030605532862
MASTER_00554,_1930-1931_11.txt,"Symbolism of the Forbidden City, Peking, The *","Ayscough, F. W.",1930,1930s,Geography and Travel,Geography,en,0.07282212386538045,2.410224387545807e-05,2.4102238725866322e-05,0.4334993931053368,2.4102227147496095e-05,2.4102255583125726e-05,2.4102251201573256e-05,2.410224232318858e-05,2.4102230502539613e-05,2.410226462299089e-05,0.009932830856057782,2.4102243086223318e-05,0.44837328556079,0.0351313441945606,2.4102220805898323e-05,lda,15,12,0.44837328556079
MASTER_00349,_1930-1931_12.txt,The Great wall,"Edgar, J. H.",1914,1910s,Natural Sciences,Hydrology,en,1.3314717690693865e-05,1.331472118843069e-05,1.3314723223387966e-05,1.3314719361006254e-05,0.005388861642850361,1.33147223264573e-05,1.3314722255309618e-05,1.3314721115221142e-05,1.3314727209848901e-05,0.9874667062811401,1.3314714289926025e-05,0.006984655403648566,1.3314714234706473e-05,1.3314732934475378e-05,1.3314736531624927e-05,lda,15,9,0.9874667062811401
MASTER_00555,_1930-1931_13.txt,Why the sinologue should study manchu ?,"Hauer, Erich",1930,1930s,Literature and Language,East Asian languages,en,4.91643023989961e-05,0.04102725786555535,4.916428049153073e-05,0.014637234484346293,0.007650639538491591,0.6100860518000475,4.9164301838475464e-05,0.08249859491155902,4.9164282908542186e-05,4.916428738259282e-05,4.9164351617237915e-05,4.9164275193835167e-05,0.17316489312893554,0.07054201390393132,4.916428530223436e-05,lda,15,5,0.6100860518000475
MASTER_00556,_1930-1931_14.txt,Chinese poems,"trans. Budd, C.",1930,1930s,Literature and Language,Literature,en,0.11579245266729521,0.0002214843588085558,0.00022148472117332379,0.12217103900522949,0.0002214844978475276,0.000221484393052461,0.16530431917958086,0.00022148451777761439,0.0002214844707309334,0.14457658060433093,0.038908256306540455,0.01648736082556126,0.39498811585041627,0.0002214845566857281,0.00022148404496930954,lda,15,12,0.39498811585041627
MASTER_00557,_1930-1931_15.txt,Early days of Western medicine in China,Wu Lieh - teh,1931,1930s,Natural Sciences,Medicine,en,0.011483508849210882,1.3539170900154334e-05,0.00368918787913564,1.3539166190351596e-05,1.3539171715620317e-05,0.46196133699567365,0.019725973208146095,0.012770799924936812,0.00725457752952872,1.3539168418237564e-05,0.47623941143849485,1.3539173246192566e-05,0.006780429996476755,1.3539169626489343e-05,1.3539158299398814e-05,lda,15,10,0.47623941143849485
MASTER_00558,_1930-1931_16.txt,Climatic changes during historic time in China,Coching Chu（竺可桢）,1931,1930s,Natural Sciences,Astronomy,en,5.402501449216386e-05,0.21160871863890832,0.2664954729479629,5.402499419779574e-05,0.01617736007593074,0.2716521010050207,0.025120310221412912,0.026711379115822522,5.4024986919185064e-05,0.009140504908414058,5.402497908607402e-05,0.1148074118641089,0.019007126703896426,0.03900948963664343,5.402490718398024e-05,lda,15,5,0.2716521010050207
MASTER_00559,_1930-1931_17.txt,Bamboos in China,"Porterfield, W. M.",1931,1930s,Natural Sciences,Botany,en,3.0399843023167978e-05,0.05236304886324518,3.039985838399459e-05,3.039982975515324e-05,3.039985509849106e-05,0.28442982846087783,0.007579458907677808,3.039983090910683e-05,0.07160495933596245,0.4899645752311198,3.039984673754874e-05,0.03994179545687147,0.05387313506117913,3.039982074853272e-05,3.0399798410396073e-05,lda,15,9,0.4899645752311198
MASTER_00560,_1930-1931_18.txt,Preliminary notes on the natural history of Nanking,"Ping, C.",1931,1930s,Natural Sciences,Zoology,en,0.0772728702710801,1.8190135910125605e-05,0.011763359148703854,1.8190135881271526e-05,1.819012977113065e-05,0.03792844248159266,0.12687206176202642,1.8190137125651387e-05,1.8190127312254093e-05,0.446341093441502,1.8190133826288173e-05,0.27526041609834323,0.024416235752768783,1.819014363104952e-05,1.819010052522162e-05,lda,15,9,0.446341093441502
