master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,model,K,dominant_topic,dominant_topic_weight
MASTER_00004,_1930-1931_29.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.033448193100554066,0.0,0.0,0.0,0.0,0.0,0.0,0.1192567674111331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342206728239595,0.0,0.013074366664353416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,30,18,0.8342206728239595
MASTER_00016,I_1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.5168164159864577,0.12446668760148466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005413368486581195,0.14014419623521454,0.0,0.06661033885314928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530873556622068,0.0,0.12124025727089188,0.0,0.0,nmf,30,0,0.5168164159864577
MASTER_00010,I_1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.004117314904022527,0.0,0.0,0.0,0.0,0.9442662075190935,0.007402204400822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04421427317606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,30,9,0.9442662075190935
MASTER_00007,I_1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.0,0.006731077165781321,0.0,0.0424628379597567,0.0,0.0,0.0879344653787204,0.01972427634871138,0.0,0.0,0.04648030132472459,0.0,0.0009323107027016156,0.0,0.008962571282348952,0.0,0.004415384885461951,0.0,0.6287186647573527,0.0,0.05223199523223413,0.0,0.0,0.0,0.0,0.0800009871998235,0.0,0.0,0.021405127762382792,0.0,nmf,30,18,0.6287186647573527
MASTER_00009,I_1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.007305614739939257,0.0,0.0,0.0,0.0,0.008179450741910186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016471886255828853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12076704938124466,0.8472759988810771,nmf,30,29,0.8472759988810771
MASTER_00015,I_1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.01779139637692677,0.0,0.01972994742745559,0.0,0.006591664467517833,0.0,0.0,0.0,0.021150637534113552,0.0,0.0,0.0,0.0,0.0,0.0034249042446113814,0.015432541722658259,0.0,0.0,0.0,0.0,0.011639452115617746,0.0,0.0,0.0,0.0,0.80555724589687,0.009496527472003666,0.04441240296766713,0.004349671542652061,0.04042360823190594,nmf,30,25,0.80555724589687
MASTER_00013,I_1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160835684821864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04030011623015562,0.0009921027639682059,0.0,0.0,0.0,0.0,0.0,0.8565993883029177,0.0,0.0,0.0,0.06050003585473999,nmf,30,25,0.8565993883029177
,I_1859_07.txt,,,1859,1850s,,,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005055239359883591,0.0,0.0,0.0,0.012592244839813044,0.0,0.0,0.0,0.9823525158003034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,30,22,0.9823525158003034
MASTER_00017,I_1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9190176260748081,0.0,0.0,0.0,0.0,0.0,0.0,0.008328503927196435,0.07126976047382416,0.0,0.0,0.0,0.0013841095241713351,0.0,nmf,30,16,0.9190176260748081
MASTER_00012,I_1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,0.9064713116710115,0.0,0.0,0.0,0.0,0.0,0.0,0.0035875521928493237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745080837440343,0.012490327761735942,0.0,nmf,30,1,0.9064713116710115
