topic_id,rank,word,weight
24,6,mun,0.43842381906286493
24,7,tsz,0.42925982358585213
24,8,keang,0.42089732224917936
24,9,itinerary,0.3946900533978114
24,10,yeh,0.3848334270443551
25,1,magnetic,0.9024792385072536
25,2,magnetism,0.7277026266945656
25,3,terrestrial,0.6755604669465977
25,4,terrestrial magnetism,0.6486967207750769
25,5,periodical,0.5544371531901411
25,6,hemisphere,0.5274621230258052
25,7,axis,0.49203685826801236
25,8,nucleus,0.4607928257393787
25,9,dip,0.4552271425970366
25,10,attraction,0.44428744055323494
26,1,vols,0.4931087250229763
26,2,bithe,0.4401612018562577
26,3,road shanghai,0.41548732021726653
26,4,manchu chinese,0.38109768704869745
26,5,vide wylie,0.34167389531659675
26,6,bithe vols,0.33674787159722364
26,7,libraries,0.32553239046591353
26,8,vols large,0.31579964819685313
26,9,svo,0.30530366052673946
26,10,der gabelentz,0.2890974184664678
27,1,eunuchs,0.4588962996615241
27,2,great officer,0.3797730339484555
27,3,mencius reformers,0.36369544821126193
27,4,reformers china,0.35992223513822263
27,5,reformers,0.3454197955405106
27,6,hospital,0.3216066933909544
27,7,avoided,0.3062224695037431
27,8,avoidance,0.29753895061689006
27,9,exogamy,0.27775115074361867
27,10,avoiding,0.2699554192647589
28,1,savages,0.38357893623585365
28,2,garments,0.3749383831652209
28,3,women wear,0.35570748294646615
28,4,men wear,0.3439478645406332
28,5,taiga,0.3435220022629178
28,6,waist,0.3390591360389324
28,7,petticoats,0.3386846915708641
28,8,anduri,0.33473346560212647
28,9,orotchi,0.33105351318606036
28,10,pepos,0.32967535137479076
29,1,vegetation,0.35654858768198533
29,2,agricole,0.3528209216784335
29,3,carte,0.34661250582566183
29,4,sahara,0.32671891693642074
29,5,carte agricole,0.29809782598595935
29,6,grazing,0.29049391916567296
29,7,cultures,0.2903020816125732
29,8,glaciers,0.2838569367983713
29,9,agricole rale,0.2751314420338157
29,10,rale l'empire,0.2732755298463425
30,1,tungus,1.073158983811075
30,2,goldi,0.9444580293938396
30,3,northern tungus,0.8393374239189296
30,4,reindeer,0.7022530061313551
30,5,amur,0.6302637851457257
30,6,shamanism,0.5958673956890499
30,7,complex,0.5515153042986731
30,8,amur river,0.5375674452929257
30,9,orotchis,0.5080448166758802
30,10,pal,0.4999195701462637
31,1,l'on,0.3337110971448411
31,2,leurs,0.31820269522199807
31,3,ses,0.29966830895856145
31,4,fait,0.29692796750590195
31,5,guild,0.2955365663229011
31,6,quelques,0.29453749768278825
31,7,ceux,0.2926926644925986
31,8,que l'on,0.283012157719619
31,9,temps,0.28221691373259883
31,10,elles,0.2769367512571827
32,1,airs,0.48656725774739007
32,2,drama,0.4760585669399775
32,3,actor,0.46186448193973023
32,4,musical instruments,0.400850132841015
32,5,actors,0.39406156698773526
32,6,chinese respecting,0.3833138628401568
32,7,mei,0.3744965558392318
32,8,ming huang,0.3651571153823494
32,9,stone drums,0.362378738296466
32,10,hsuan wang,0.35543552604318074
