topic_id,topic_size,article_count,topic_size_share,article_coverage,interpretability,topic_words,coverage_score_norm,size_score_norm,interpretability_score_norm,importance_score,importance_rank
25,129,17,0.008934136713068773,0.0389908256880734,0.5958677766602792,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere, axis, nucleus, dip, attraction",0.04242424242424243,0.011041766682669226,0.8758369969030775,0.3097676686699964,13
6,380,42,0.02631761202299328,0.0963302752293578,0.5673349504489152,"mint, obverse, coin, tael, coinage, annam, minor currency, annam minor, dollar, obverse reverse",0.19393939393939394,0.1315410465674508,0.6002655609269092,0.308582000477918,14
7,452,80,0.03130410693261306,0.1834862385321101,0.5318716454892185,"wares, pottery, bronzes, porcelains, painting, chinese art, bronze, chinese porcelain, potteries, artistic",0.42424242424242425,0.16610657705232837,0.2577592210427738,0.2827027407791755,15
20,299,70,0.02070780524967103,0.16055045871559634,0.5413047036765611,"teachings, chu hsi, meh, chai, human nature, confucianists, micius, ssu-ma, disciple, yao shun",0.36363636363636365,0.09265482477196352,0.34886416000242887,0.2683851161369187,16
12,400,79,0.027702749497887664,0.1811926605504587,0.530575692255248,"classifier, tones, shuo, corean, vowels, ideographic, elementary characters, elementary, k'ang hsi, vowel",0.41818181818181815,0.14114258281325012,0.24524284110208064,0.2681890806990496,17
27,145,43,0.010042246692984279,0.09862385321100918,0.5642798313779941,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital, avoided, avoidance, exogamy, avoiding",0.2,0.01872299567930869,0.5707590709908857,0.26316068889006483,18
14,324,65,0.022439227093289008,0.14908256880733944,0.539853968407258,"cycle, lunar, solar, eclipses, jupiter, equinox, solstice, astronomical, zodiac, asterisms",0.3333333333333333,0.10465674507921267,0.33485288756759646,0.2576143219933808,19
19,274,63,0.018976383406053052,0.1444954128440367,0.5356694888740331,"migration, migrations, south america, tibetans, philippines, lamaism, aryan, anthropological, immigrants, lhasa",0.32121212121212117,0.08065290446471435,0.29443897885621895,0.23210133484435147,20
16,333,39,0.023062538956991483,0.08944954128440367,0.5452388809836757,"tai-y, fut, elle, tait, concubine, femme, madame, vous, ouang, avait",0.17575757575757575,0.10897743638982237,0.38686063752888633,0.2238652165587615,21
17,286,47,0.01980746589098968,0.10779816513761468,0.5403122123486763,"chinese law, witchcraft, penalty, law practice, offence, infanticide, offences, penal, district magistrate, robbery",0.22424242424242424,0.08641382621219396,0.33927863004500103,0.21664496016653975,22
18,220,50,0.015236512223838216,0.11467889908256881,0.5412182400624187,"family law, law chinese, exogamy, patria, marry, contract, bride, widow, husband's, marriages",0.24242424242424243,0.05472875660105617,0.3480290901732988,0.21506069639953243,23
24,132,48,0.00914190733430293,0.11009174311926606,0.5422996220455624,"kabaran, iii iii, yukan, tze, heen, mun, tsz, keang, itinerary, yeh",0.23030303030303031,0.012481997119539127,0.3584731304420813,0.2004193859548836,24
8,535,44,0.037052427453424755,0.10091743119266056,0.521898632459726,"tom, western asia, central western, mohammedan, medieval geography, history central, turkish, notices medieval, uigurs, samarcand",0.20606060606060606,0.2059529524723956,0.16143937171597617,0.19115097674965928,25
22,133,17,0.00921116420804765,0.0389908256880734,0.5576962291362322,"pawn, games, cannon, chess, file, rook, moves, knight, adversary, diagram",0.04242424242424243,0.012962073931829092,0.5071743174085128,0.18752021125486143,26
15,197,20,0.013643604127709675,0.045871559633027525,0.54605455089075,"temperature, eastern asia, vapour, latitude, spring summer, celsius, minimum, humidity, hkiang, maximum",0.06060606060606061,0.043686989918386945,0.39473841752550937,0.16634382268331896,27
29,106,31,0.0073412286169402315,0.07110091743119266,0.5432694052024015,"vegetation, agricole, carte, sahara, carte agricole, grazing, cultures, glaciers, agricole rale, rale l'empire",0.1272727272727273,0.0,0.36783934376900473,0.16503735701391067,28
13,217,32,0.015028741602604059,0.07339449541284404,0.5355439988555026,"chinese musical, musical instruments, holes, diameter, inches long, pipe, drum, inches diameter, pipes, gong",0.13333333333333333,0.05328852616418627,0.2932269900980446,0.15994961653185472,29
