"from","to","author","subject_l2","subject_l1","master_id","title","year_start","year_end","time_window","subject_weight","subject_raw"
"A_11","S_18","Williams, S. W.","History, Modern (20th century)","History and Chronology","MASTER_00021","Narrative of the American Embassy to Peking",1859,1859,"1858-1867",1,"contemporary history"
"A_14","S_3","Bridgman, E. C.","Ethnology","Anthropology and Social Customs","MASTER_00022","Sketches of the Miau - tsze",1859,1859,"1858-1867",0.5,"ethnology and anthropology"
"A_14","S_4","Bridgman, E. C.","Anthropology","Anthropology and Social Customs","MASTER_00022","Sketches of the Miau - tsze",1859,1859,"1858-1867",0.5,"ethnology and anthropology"
"A_1","S_10","Edkins, J.","Hydrology","Natural Sciences","MASTER_00023","On the ancient mouths of Yangts<U+00EF> kiang",1860,1860,"1858-1867",1,"hydrology"
"A_3","S_19","Macgowan, D. J.","Botany","Natural Sciences","MASTER_00024","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,"1858-1867",0.25,"botany, geology, hydrology and meteorology"
"A_3","S_20","Macgowan, D. J.","Geology","Natural Sciences","MASTER_00024","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,"1858-1867",0.25,"botany, geology, hydrology and meteorology"
"A_3","S_10","Macgowan, D. J.","Hydrology","Natural Sciences","MASTER_00024","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,"1858-1867",0.25,"botany, geology, hydrology and meteorology"
"A_3","S_5","Macgowan, D. J.","Meteorology","Natural Sciences","MASTER_00024","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,"1858-1867",0.25,"botany, geology, hydrology and meteorology"
"A_1","S_21","Edkins, J.","Confucianism","Religion and Philosophy","MASTER_00025","A Sketch of the Life of Confucius",1860,1860,"1858-1867",1,"Confucianism"
"A_15","S_9","John, G.","Philosophy","Religion and Philosophy","MASTER_00026","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,1860,"1858-1867",1,"philosophy"
"A_9","S_7","Pompe van Meedervoort, J. L. C.","Language and languages","Literature and Language","MASTER_00027","Dissection of a Japanese criminal",1860,1860,"1858-1867",1,"literature and language"
"A_16","S_20","Shock, W. H.","Geology","Natural Sciences","MASTER_00028","Notes on the mineral resources of Japan, etc.",1860,1860,"1858-1867",1,"geology"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","MASTER_00029","Record of occurrences, 1860",1860,1860,"1858-1867",1,"contemporary history"
"A_6","S_5","Shadwell, C. F. A.","Meteorology","Natural Sciences","MASTER_00030","Supplemental memorandum on the present state of the magnetic elements in China and places adjacent",1860,1860,"1858-1867",1,"meteorology"
"A_18","S_5","Courtney, C. F. A.","Meteorology","Natural Sciences","MASTER_00031","Temperature of Hakodadi",1860,1860,"1858-1867",1,"meteorology"
"A_17","S_5","Editorial Committee","Meteorology","Natural Sciences","MASTER_00032","Winds and weather at Chefoo",1860,1860,"1858-1867",1,"meteorology"
"A_19","S_6","Lindau, R.","Travel","Geography and Travel","MASTER_00033","Notes on the city of Yedo, the capital of Japan *",1864,1864,"1858-1867",1,"travel and general descriptions"
"A_20","S_5","Henderson, J.","Meteorology","Natural Sciences","MASTER_00034","Notes on some of the physical causes which modify climate",1864,1864,"1858-1867",1,"meteorology"
"A_21","S_6","Dickson, W.","Travel","Geography and Travel","MASTER_00035","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,1864,"1858-1867",1,"travel and general descriptions"
"A_2","S_6","Wylie, A.","Travel","Geography and Travel","MASTER_00036","Overland journey from St. Petersburg to Pekin, The",1864,1864,"1858-1867",1,"travel and general descriptions"
"A_20","S_22","Henderson, J.","Medicine","Natural Sciences","MASTER_00037","Medicine and medical practice of the Chinese, The",1864,1864,"1858-1867",1,"medicine"
"A_22","S_6","Canny, J. M.","Travel","Geography and Travel","MASTER_00038","The Sea-board of Russian Manchuria",1864,1864,"1858-1867",1,"travel and general descriptions"
"A_23","S_18","Jamieson, R. A.","History, Modern (20th century)","History and Chronology","MASTER_00039","Retrospect of events in the north of China, 1861-1864",1864,1864,"1858-1867",1,"contemporary history"
"A_24","S_10","Edwards","Hydrology","Natural Sciences","MASTER_00041","Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay",1864,1864,"1858-1867",1,"hydrology"
"A_25","S_6","Wilds, E.","Travel","Geography and Travel","MASTER_00042","Report on the appearance of the Rugged Islands",1864,1864,"1858-1867",1,"travel and general descriptions"
"A_26","S_5","Hollingworth and Piry","Meteorology","Natural Sciences","MASTER_00043","Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,1864,"1858-1867",1,"meteorology"
"A_27","S_7","Gamble, W.","Language and languages","Literature and Language","MASTER_00044","Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *",1864,1864,"1858-1867",1,"literature and language"
"A_28","S_20","Lamprey","Geology","Natural Sciences","MASTER_00045","Notes on the geology of the Great Plain *",1865,1865,"1858-1867",1,"geology"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","MASTER_00046","A Sketch of the Geology of Quang -tung Province",1865,1865,"1858-1867",1,"geology"
"A_12","S_12","Swinhoe, R.","Zoology","Natural Sciences","MASTER_00047","Birds and beasts of Formosa",1865,1865,"1858-1867",1,"zoology"
"A_30","S_23","Brown, S. R.","Christianity","Religion and Philosophy","MASTER_00048","Annals of the Western Ocean",1865,1865,"1858-1867",1,"Christianity"
"A_31","S_19","Collins, V. D.","Botany","Natural Sciences","MASTER_00049","Sorgo, or Northern Chinese sugar cane",1865,1865,"1858-1867",1,"botany"
"A_1","S_6","Edkins, J.","Travel","Geography and Travel","MASTER_00050","A Visit to the Agricultural Mongols",1865,1865,"1858-1867",1,"travel and general descriptions"
"A_32","S_24","Bastion","Archaeology","Arts and Archaeology","MASTER_00051","The Remains of Ancient Kambodia",1865,1865,"1858-1867",1,"archaeology"
"A_29","S_18","Kingsmill, T. W.","History, Modern (20th century)","History and Chronology","MASTER_00052","Retrospect of events in China and Japan",1865,1865,"1858-1867",1,"contemporary history"
"A_23","S_7","Jamieson, R. A.","Language and languages","Literature and Language","MASTER_00053","The Hieroglyphic Character of the Chinese written Lan. 113",1864,1864,"1858-1867",1,"literature and language"
"A_33","S_14","Jarvie, R.","Agriculture","Natural Sciences","MASTER_00054","Respecting China grass",1864,1864,"1858-1867",0.333333333333333,"agriculture, industry, and trade"
"A_33","S_15","Jarvie, R.","Industries","Economy, Trade, and Technology","MASTER_00054","Respecting China grass",1864,1864,"1858-1867",0.333333333333333,"agriculture, industry, and trade"
"A_33","S_16","Jarvie, R.","Commerce","Economy, Trade, and Technology","MASTER_00054","Respecting China grass",1864,1864,"1858-1867",0.333333333333333,"agriculture, industry, and trade"
"A_34","S_25","Butcher, C. H.","Manners and customs","Anthropology and Social Customs","MASTER_00055","Notes on the funeral rites performed at the obsequies of Takee",1864,1864,"1858-1867",1,"social customs"
"A_35","S_13","Stronach, W. T.","Law","Politics, Government, and Law","MASTER_00056","Traces of the Judicium dei, or ordeal in Chinese law",1864,1864,"1858-1867",1,"law"
"A_28","S_26","Lamprey","Chemistry","Natural Sciences","MASTER_00057","Remarks on the "" water we use "" in Shanghai",1864,1864,"1858-1867",1,"chemistry"
"A_23","S_1","Jamieson, R. A.","Buddhism","Religion and Philosophy","MASTER_00058","Remarks upon exhibiting a To - lo Pall to the Society",1864,1864,"1858-1867",0.5,"Buddhism and social customs"
"A_23","S_25","Jamieson, R. A.","Manners and customs","Anthropology and Social Customs","MASTER_00058","Remarks upon exhibiting a To - lo Pall to the Society",1864,1864,"1858-1867",0.5,"Buddhism and social customs"
"A_36","S_27","Martin, W. A. P.","Judaism","Religion and Philosophy","MASTER_00059","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,1864,"1858-1867",1,"Judaism"
"A_36","S_6","Martin, W. A. P.","Travel","Geography and Travel","MASTER_00060","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,1865,"1858-1867",1,"travel and general descriptions"
"A_37","S_6","Williamson, A.","Travel","Geography and Travel","MASTER_00061","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,1866,"1858-1867",1,"travel and general descriptions"
"A_38","S_28","Keer, J. G.","Architecture","Arts and Archaeology","MASTER_00064","Description of the Great Examination Hall at Canton",1866,1866,"1858-1867",0.5,"architecture and education"
"A_38","S_11","Keer, J. G.","Education","Education","MASTER_00064","Description of the Great Examination Hall at Canton",1866,1866,"1858-1867",0.5,"architecture and education"
"A_2","S_29","Wylie, A.","Astronomy","Natural Sciences","MASTER_00065","Notes on the opinions of the Chinese with regard to eclipses",1866,1866,"1858-1867",1,"astronomy"
"A_39","S_12","McCartee, D. B.","Zoology","Natural Sciences","MASTER_00066","On some Wild Silkworms of China",1866,1866,"1858-1867",1,"zoology"
"A_11","S_30","Williams, S. W.","History","History and Chronology","MASTER_00067","Political intercourse between China and Lewchew",1866,1866,"1858-1867",1,"history"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","MASTER_00068","Notes on some outlying coal-fields in the south-eastern provinces of China",1866,1866,"1858-1867",1,"geology"
"A_40","S_25","Hollingworth, H. G.","Manners and customs","Anthropology and Social Customs","MASTER_00069","A Short sketch of the Chinese game of chess, Seang - kh'e",1866,1866,"1858-1867",1,"social customs"
"A_34","S_18","Butcher, C. H.","History, Modern (20th century)","History and Chronology","MASTER_00070","Retrospect of events in the north of China, 1866",1866,1866,"1858-1867",1,"contemporary history"
"A_41","S_20","Bickmore, A. S.","Geology","Natural Sciences","MASTER_00071","Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,"1858-1867",0.5,"geology, travel and general descriptions"
"A_41","S_6","Bickmore, A. S.","Travel","Geography and Travel","MASTER_00071","Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,"1858-1867",0.5,"geology, travel and general descriptions"
"A_42","S_23","Gardener, C. T.","Christianity","Religion and Philosophy","MASTER_00072","Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *",1867,1867,"1858-1867",1,"Christianity"
"A_37","S_14","Williamson, A.","Agriculture","Natural Sciences","MASTER_00073","Notes on the north of China, its productions and communications",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and communications"
"A_37","S_15","Williamson, A.","Industries","Economy, Trade, and Technology","MASTER_00073","Notes on the north of China, its productions and communications",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and communications"
"A_37","S_16","Williamson, A.","Commerce","Economy, Trade, and Technology","MASTER_00073","Notes on the north of China, its productions and communications",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and communications"
"A_37","S_31","Williamson, A.","Telecommunication","Economy, Trade, and Technology","MASTER_00073","Notes on the north of China, its productions and communications",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and communications"
"A_37","S_14","Williamson, A.","Agriculture","Natural Sciences","MASTER_00074","Notes on the productions, chiefly mineral of Shantung",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and geology"
"A_37","S_15","Williamson, A.","Industries","Economy, Trade, and Technology","MASTER_00074","Notes on the productions, chiefly mineral of Shantung",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and geology"
"A_37","S_16","Williamson, A.","Commerce","Economy, Trade, and Technology","MASTER_00074","Notes on the productions, chiefly mineral of Shantung",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and geology"
"A_37","S_20","Williamson, A.","Geology","Natural Sciences","MASTER_00074","Notes on the productions, chiefly mineral of Shantung",1867,1867,"1858-1867",0.25,"agriculture, industry, trade and geology"
"A_43","S_12","Pryer, W. B.","Zoology","Natural Sciences","MASTER_00075","Entomology of Shanghai",1867,1867,"1858-1867",1,"zoology"
"A_44","S_10","Ellias, N.","Hydrology","Natural Sciences","MASTER_00076","Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal",1867,1867,"1858-1867",1,"hydrology"
"A_2","S_29","Wylie, A.","Astronomy","Natural Sciences","MASTER_00077","Eclipses recorded in Chinese works",1867,1867,"1858-1867",1,"astronomy"
"A_45","S_32","Mayers, W. F.","Chronology, Historical","History and Chronology","MASTER_00078","Chinese chronological tables",1867,1867,"1858-1867",1,"chronology"
"A_46","S_23","Forrest, R. J.","Christianity","Religion and Philosophy","MASTER_00079","The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books",1867,1867,"1858-1867",0.333333333333333,"Christianity, literature and language"
"A_46","S_33","Forrest, R. J.","Literature","Literature and Language","MASTER_00079","The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books",1867,1867,"1858-1867",0.333333333333333,"Christianity, literature and language"
"A_46","S_7","Forrest, R. J.","Language and languages","Literature and Language","MASTER_00079","The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books",1867,1867,"1858-1867",0.333333333333333,"Christianity, literature and language"
"A_47","S_14","Simon, G. E.","Agriculture","Natural Sciences","MASTER_00080","Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_47","S_15","Simon, G. E.","Industries","Economy, Trade, and Technology","MASTER_00080","Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_47","S_16","Simon, G. E.","Commerce","Economy, Trade, and Technology","MASTER_00080","Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_48","S_17","Watters, T.","Mythology","Anthropology and Social Customs","MASTER_00081","Chinese notions about pigeons and doves",1867,1867,"1858-1867",0.5,"mythology and zoology"
"A_48","S_12","Watters, T.","Zoology","Natural Sciences","MASTER_00081","Chinese notions about pigeons and doves",1867,1867,"1858-1867",0.5,"mythology and zoology"
"A_1","S_20","Edkins, J.","Geology","Natural Sciences","MASTER_00082","The Bituminous coal mines west of Peking",1867,1867,"1858-1867",1,"geology"
"A_29","S_18","Kingsmill, T. W.","History, Modern (20th century)","History and Chronology","MASTER_00083","Retrospect of events in China and Japan, 1867",1867,1867,"1858-1867",1,"contemporary history"
"A_49","S_10","The Hankow Times","Hydrology","Natural Sciences","MASTER_00084","Flood in the Han River 1857 "" The Hankow Times """,1867,1867,"1858-1867",1,"hydrology"
"A_47","S_34","Simon, G. E.","Economics","Economy, Trade, and Technology","MASTER_00085","Note sur les petites societes d'argent en Chine",1868,1868,"1868-1877",1,"economics"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","MASTER_00086","Notes on the coal fields and general geology of the neighbourhood of Nagasaki *",1868,1868,"1868-1877",1,"geology"
"A_50","S_8","Jenkins, B.","Music","Arts and Archaeology","MASTER_00087","Notions of the ancient Chinese respecting music",1868,1868,"1868-1877",1,"music"
"A_41","S_20","Bickmore, A. S.","Geology","Natural Sciences","MASTER_00088","Some remarks on recent elevations of land in China and Japan",1868,1868,"1868-1877",1,"geology"
"A_51","S_35","Preston, C. F.","Biography","History and Chronology","MASTER_00089","Lok Ping Chiung, late Governor General of Sze - chuen, Notices of",1868,1868,"1868-1877",1,"biographical history and individuals of history"
"A_47","S_20","Simon, G. E.","Geology","Natural Sciences","MASTER_00091","Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie",1868,1868,"1868-1877",0.5,"geology and zoology"
"A_47","S_12","Simon, G. E.","Zoology","Natural Sciences","MASTER_00091","Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie",1868,1868,"1868-1877",0.5,"geology and zoology"
"A_2","S_6","Wylie, A.","Travel","Geography and Travel","MASTER_00092","Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se",1868,1868,"1868-1877",1,"travel and general descriptions"
"A_44","S_10","Ellias, N.","Hydrology","Natural Sciences","MASTER_00093","Report of an exploration of the new course of the Yellow River",1868,1868,"1868-1877",1,"hydrology"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","MASTER_00094","Retrospect of events in China and Japan, 1868",1868,1868,"1868-1877",1,"contemporary history"
"A_52","S_6","Markham, J.","Travel","Geography and Travel","MASTER_00095","Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius",1869,1870,"1868-1877",1,"travel and general descriptions"
"A_45","S_36","Mayers, W. F.","Religion","Religion and Philosophy","MASTER_00096","On Wen - ch'ang, the god of literature, his history and worship",1869,1870,"1868-1877",1,"religion"
"A_53","S_1","Eitel, E. J.","Buddhism","Religion and Philosophy","MASTER_00097","The Fabulous source of the Hoang-ho",1869,1870,"1868-1877",0.333333333333333,"Buddhism, geography and hydrology"
"A_53","S_37","Eitel, E. J.","Geography","Geography and Travel","MASTER_00097","The Fabulous source of the Hoang-ho",1869,1870,"1868-1877",0.333333333333333,"Buddhism, geography and hydrology"
"A_53","S_10","Eitel, E. J.","Hydrology","Natural Sciences","MASTER_00097","The Fabulous source of the Hoang-ho",1869,1870,"1868-1877",0.333333333333333,"Buddhism, geography and hydrology"
"A_47","S_34","Simon, G. E.","Economics","Economy, Trade, and Technology","MASTER_00098","Sur les Institutions de Cr<U+00E9>dit en Chine",1869,1870,"1868-1877",1,"economics"
"A_45","S_38","Mayers, W. F.","Military art and science","Military","MASTER_00099","On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare",1869,1870,"1868-1877",1,"military"
"A_54","S_25","Himly, K.","Manners and customs","Anthropology and Social Customs","MASTER_00100","The Chinese game of chess as compared with that practised by Western nations",1869,1870,"1868-1877",1,"social customs"
"A_3","S_3","Macgowan, D. J.","Ethnology","Anthropology and Social Customs","MASTER_00101","Notes on the Chihkiang Miautsz",1869,1870,"1868-1877",0.5,"ethnology and anthropology"
"A_3","S_4","Macgowan, D. J.","Anthropology","Anthropology and Social Customs","MASTER_00101","Notes on the Chihkiang Miautsz",1869,1870,"1868-1877",0.5,"ethnology and anthropology"
"A_55","S_11","Moule, G. E.","Education","Education","MASTER_00102","Notes on the provincial examination of Chekiang, 1870, with a version of one of the essays",1869,1870,"1868-1877",1,"education"
"A_56","S_14","Smith, F. P.","Agriculture","Natural Sciences","MASTER_00103","Chinese chemical manufactures",1869,1870,"1868-1877",0.25,"agriculture, industry, trade and chemistry"
"A_56","S_15","Smith, F. P.","Industries","Economy, Trade, and Technology","MASTER_00103","Chinese chemical manufactures",1869,1870,"1868-1877",0.25,"agriculture, industry, trade and chemistry"
"A_56","S_16","Smith, F. P.","Commerce","Economy, Trade, and Technology","MASTER_00103","Chinese chemical manufactures",1869,1870,"1868-1877",0.25,"agriculture, industry, trade and chemistry"
"A_56","S_26","Smith, F. P.","Chemistry","Natural Sciences","MASTER_00103","Chinese chemical manufactures",1869,1870,"1868-1877",0.25,"agriculture, industry, trade and chemistry"
"A_11","S_30","Williams, S. W.","History","History and Chronology","MASTER_00104","Journal of a mission to Lewchew in 1801",1869,1870,"1868-1877",0.5,"history, travel and general descriptions"
"A_11","S_6","Williams, S. W.","Travel","Geography and Travel","MASTER_00104","Journal of a mission to Lewchew in 1801",1869,1870,"1868-1877",0.5,"history, travel and general descriptions"
"A_57","S_25","North China Daily News","Manners and customs","Anthropology and Social Customs","MASTER_00107","Example of Chinese torture",1869,1870,"1868-1877",1,"social customs"
"A_45","S_30","Mayers, W. F.","History","History and Chronology","MASTER_00108","A Historical and statistical sketch of the island of Hainan",1871,1872,"1868-1877",1,"history"
"A_12","S_3","Swinhoe, R.","Ethnology","Anthropology and Social Customs","MASTER_00109","The Aborigines of Hainan",1871,1872,"1868-1877",0.25,"ethnology, anthropology, literature and language"
"A_12","S_4","Swinhoe, R.","Anthropology","Anthropology and Social Customs","MASTER_00109","The Aborigines of Hainan",1871,1872,"1868-1877",0.25,"ethnology, anthropology, literature and language"
"A_12","S_33","Swinhoe, R.","Literature","Literature and Language","MASTER_00109","The Aborigines of Hainan",1871,1872,"1868-1877",0.25,"ethnology, anthropology, literature and language"
"A_12","S_7","Swinhoe, R.","Language and languages","Literature and Language","MASTER_00109","The Aborigines of Hainan",1871,1872,"1868-1877",0.25,"ethnology, anthropology, literature and language"
"A_12","S_6","Swinhoe, R.","Travel","Geography and Travel","MASTER_00110","Narrative of an exploring visit to Hainan",1871,1872,"1868-1877",1,"travel and general descriptions"
"A_58","S_8","Stent, G. C.","Music","Arts and Archaeology","MASTER_00111","Chinese lyrics",1871,1872,"1868-1877",0.333333333333333,"music, literature and language"
"A_58","S_33","Stent, G. C.","Literature","Literature and Language","MASTER_00111","Chinese lyrics",1871,1872,"1868-1877",0.333333333333333,"music, literature and language"
"A_58","S_7","Stent, G. C.","Language and languages","Literature and Language","MASTER_00111","Chinese lyrics",1871,1872,"1868-1877",0.333333333333333,"music, literature and language"
"A_29","S_30","Kingsmill, T. W.","History","History and Chronology","MASTER_00112","The Mythical origin of the Chow or Djow Dynasty, as set forth in the ""Shoo-king""",1871,1872,"1868-1877",1,"history"
"A_48","S_7","Watters, T.","Language and languages","Literature and Language","MASTER_00114","The Life and works of Han Yu or Han Wen-Kung",1871,1872,"1868-1877",1,"literature and language"
"A_58","S_7","Stent, G. C.","Language and languages","Literature and Language","MASTER_00115","Chinese legends",1871,1872,"1868-1877",1,"literature and language"
"A_59","S_24","Thompson, J.","Archaeology","Arts and Archaeology","MASTER_00116","On the Antiquities of Cambodia",1871,1872,"1868-1877",1,"archaeology"
"A_60","S_12","David, Le P. A.","Zoology","Natural Sciences","MASTER_00117","Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale",1871,1872,"1868-1877",0.333333333333333,"zoology, botany and geology"
"A_60","S_19","David, Le P. A.","Botany","Natural Sciences","MASTER_00117","Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale",1871,1872,"1868-1877",0.333333333333333,"zoology, botany and geology"
"A_60","S_20","David, Le P. A.","Geology","Natural Sciences","MASTER_00117","Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale",1871,1872,"1868-1877",0.333333333333333,"zoology, botany and geology"
"A_3","S_7","Macgowan, D. J.","Language and languages","Literature and Language","MASTER_00118","Chinese use of shad in consumption and iodine Plants in scrofula",1871,1872,"1868-1877",1,"literature and language"
"A_3","S_22","Macgowan, D. J.","Medicine","Natural Sciences","MASTER_00119","On the "" Mutton wine "" of the Mongols and analagous preparations of the Chinese",1871,1872,"1868-1877",1,"medicine"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","MASTER_00120","Retrospect of events in China, etc., 1871, 1872",1871,1872,"1868-1877",1,"contemporary history"
"A_61","S_5","Meteorological Committee","Meteorology","Natural Sciences","MASTER_00121","Meteorological observations, April - December 1872",1871,1872,"1868-1877",1,"meteorology"
"A_62","S_5","Shanghai Meteorological Committee","Meteorology","Natural Sciences","MASTER_00122","Weather report for 1873",1873,1873,"1868-1877",1,"meteorology"
"A_11","S_18","Williams, S. W.","History, Modern (20th century)","History and Chronology","MASTER_00123","Recollections of China prior to 1840",1874,1874,"1868-1877",1,"contemporary history"
"A_29","S_35","Kingsmill, T. W.","Biography","History and Chronology","MASTER_00124","The legend of Wen Wang, founder of the dynasty of the Chows in China",1874,1874,"1868-1877",1,"biographical history and individuals of history"
"A_63","S_30","Schmidt, C.","History","History and Chronology","MASTER_00125","Extracts from the history of Shanghai",1874,1874,"1868-1877",1,"history"
"A_48","S_17","Watters, T.","Mythology","Anthropology and Social Customs","MASTER_00126","Chinese fox - myths",1874,1874,"1868-1877",1,"mythology"
"A_64","S_18","Viguier, S. A.","History, Modern (20th century)","History and Chronology","MASTER_00127","Brief account of the French Expedition of 1866 into Indo - China",1874,1874,"1868-1877",1,"contemporary history"
"A_1","S_21","Edkins, J.","Confucianism","Religion and Philosophy","MASTER_00128","Visit to the city of Confucius, A",1874,1874,"1868-1877",0.5,"Confucianism, travel and general descriptions"
