master_id,filename,title,year,decade,L1,L2,model_include,model_exclusion_reason,model_unigram_count_before_df,model_token_count_before_df,model_token_count_after_df,cleaned_full_text_path,analysis_text_path
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,1865,1860s,Natural Sciences,Geology,True,,2270,6807,1972,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_07.txt
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *",1866,1860s,Anthropology and Social Customs,Manners and customs,True,,439,1314,372,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_08.txt
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866",1866,1860s,History and Chronology,"History, Modern (20th century)",True,,911,2730,752,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_09_retrospects_of_events.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_09_retrospects_of_events.txt
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius",1869,1860s,Geography and Travel,Travel,True,,5365,16092,4606,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_01.txt
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship",1869,1860s,Religion and Philosophy,Religion,True,,2430,7287,2039,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_02.txt
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,1869,1860s,Religion and Philosophy,Buddhism,True,,1222,3663,945,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_03.txt
,1869_04.txt,,1869,1860s,,,True,,3920,11757,2256,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_04.txt
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare",1869,1860s,Military | Natural Sciences,Military art and science | Science,True,,4741,14220,3855,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_05.txt
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,1869,1860s,Anthropology and Social Customs,Manners and customs,True,,2649,7944,1952,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_06.txt
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,1886,1880s,Geography and Travel,Geography,True,,791,2370,619,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_07.txt
