decade,rank,term,tfidf_score,raw_count,document_count,document_frequency
1860s,12,soci,0.18486174286192827,91,3,0.05357142857142857
1860s,13,dove,0.1832701274188322,117,2,0.03571428571428571
1860s,14,argent,0.18012803068771838,91,3,0.05357142857142857
1860s,15,chefoo,0.1722088169271604,52,11,0.19642857142857142
1860s,16,music,0.17079673808478554,210,5,0.08928571428571429
1860s,17,government,0.16944961647110296,278,34,0.6071428571428571
1860s,18,king,0.1678406620713393,318,32,0.5714285714285714
1860s,19,chow,0.16588966475506245,286,23,0.4107142857142857
1860s,20,sommes,0.16405264322116053,78,4,0.07142857142857142
1860s,21,yedo,0.16355164247482784,67,5,0.08928571428571429
1860s,22,rocks,0.1630328950511099,159,13,0.23214285714285715
1860s,23,tables,0.1605967547113202,31,7,0.125
1860s,24,temple,0.16004696902639323,238,26,0.4642857142857143
1860s,25,shan,0.15871196905131038,302,28,0.5
1890s,1,taels,0.3379540374675511,685,11,0.275
1890s,2,cash,0.26481958981824627,302,12,0.3
1890s,3,bottles,0.26460046610283217,101,3,0.075
1890s,4,magistrate,0.2253410274299634,251,6,0.15
1890s,5,corea,0.1988076977518853,113,6,0.15
1890s,6,coins,0.18239496042722808,115,10,0.25
1890s,7,coinage,0.17669292434348474,75,3,0.075
1890s,8,board,0.17065881572575753,201,15,0.375
1890s,9,canal,0.16581371547217347,191,6,0.15
1890s,10,black,0.16522061589064263,228,21,0.525
1890s,11,pao,0.1492959339980548,256,14,0.35
1890s,12,river,0.14630120618590212,485,24,0.6
1890s,13,portuguese,0.1437815205895288,170,3,0.075
1890s,14,white,0.1436459596244376,199,22,0.55
1890s,15,salt,0.14260401835602332,278,15,0.375
1890s,16,fut,0.1395152709155718,228,3,0.075
1890s,17,wang,0.13643639654725623,262,18,0.45
1890s,18,game,0.13389404752309605,110,6,0.15
1890s,19,tax,0.12885930579920096,204,8,0.2
1890s,20,reverse,0.1244673009194441,60,4,0.1
1890s,21,province,0.12271876623616972,380,23,0.575
1890s,22,family,0.1225230687571997,319,20,0.5
1890s,23,soul,0.12249088263549948,145,10,0.25
1890s,24,buddhist,0.11969164155618373,92,12,0.3
1890s,25,corean,0.11914448939753973,71,5,0.125
1910s,1,var,0.7958722298029853,81,3,0.03260869565217391
1910s,2,styan,0.6911937094185537,252,4,0.043478260869565216
1910s,3,chinkiang,0.6761661140742707,262,10,0.10869565217391304
1910s,4,genus,0.562709979411601,222,11,0.11956521739130435
1910s,5,soochow,0.46729796305439003,246,15,0.16304347826086957
1910s,6,winter,0.4119200964065197,246,40,0.43478260869565216
1910s,7,kiangyin,0.37557534411277427,128,4,0.043478260869565216
1910s,8,specimens,0.3386595711831908,204,29,0.31521739130434784
1910s,9,feet,0.332890337585671,576,50,0.5434782608695652
1910s,10,species,0.3317094393141962,230,26,0.2826086956521739
1910s,11,heaven,0.31579726853127377,482,45,0.4891304347826087
1910s,12,resident,0.28933637087930913,117,11,0.11956521739130435
1910s,13,fokien,0.2817638600023447,58,4,0.043478260869565216
1910s,14,shanghai,0.2778931688838489,399,40,0.43478260869565216
1910s,15,yuan,0.2740682187944428,258,39,0.42391304347826086
1910s,16,dragon,0.27258269125855183,331,37,0.40217391304347827
1910s,17,land,0.26983614431321135,402,50,0.5434782608695652
1910s,18,emperor,0.2692008086725763,559,52,0.5652173913043478
1910s,19,river,0.26550969801349333,516,53,0.5760869565217391
1910s,20,bronze,0.2652452206406825,197,18,0.1956521739130435
1910s,21,god,0.2646167060977217,271,34,0.3695652173913043
1910s,22,family,0.25336901901642656,282,46,0.5
1910s,23,characters,0.25239523100825706,314,48,0.5217391304347826
1910s,24,museum,0.24015549475371212,110,27,0.29347826086956524
1910s,25,coins,0.23879042355596264,97,7,0.07608695652173914
1920s,1,coal,0.5353222433906303,173,13,0.10655737704918032
1920s,2,tungus,0.4634614089805657,574,5,0.040983606557377046
1920s,3,emperor,0.4064041585603814,747,73,0.5983606557377049
1920s,4,art,0.3899365137921156,472,60,0.4918032786885246
1920s,5,river,0.3850043241912154,606,75,0.6147540983606558
1920s,6,wang,0.3836404334146786,591,54,0.4426229508196721
1920s,7,mohammed,0.37213949209020664,357,6,0.04918032786885246
1920s,8,confucius,0.36704174674886925,489,51,0.4180327868852459
1920s,9,heaven,0.3667490914767168,732,70,0.5737704918032787
1920s,10,king,0.35007254341571303,661,67,0.5491803278688525
1920s,11,city,0.3336346239087997,592,71,0.5819672131147541
1920s,12,tai,0.33010202690148654,415,44,0.36065573770491804
1920s,13,white,0.3233705523191616,535,66,0.5409836065573771
1920s,14,tzu,0.32015358529099974,524,39,0.319672131147541
1920s,15,portuguese,0.3147907037921724,79,6,0.04918032786885246
1920s,16,species,0.3066304583466324,301,23,0.1885245901639344
1920s,17,shaman,0.30636226533717714,79,3,0.02459016393442623
1920s,18,sung,0.30614545013489497,407,48,0.39344262295081966
1920s,19,yuan,0.300796995945789,452,53,0.4344262295081967
1920s,20,shih,0.2934549730297771,460,58,0.47540983606557374
1920s,21,god,0.29192432114438027,430,51,0.4180327868852459
1920s,22,world,0.2915776894715156,552,86,0.7049180327868853
1920s,23,flowers,0.285339202980657,450,37,0.30327868852459017
1920s,24,leaves,0.2846657686915806,392,46,0.3770491803278688
1920s,25,christ,0.27795128349633474,93,15,0.12295081967213115
1940s,1,genghis,0.04690094910260838,30,1,0.5
1940s,2,esp,0.04161049328403016,103,1,0.5
1940s,3,une,0.03272281510685867,81,1,0.5
1940s,4,ces,0.031510858991789834,78,1,0.5
1940s,5,plus,0.02755672762140937,93,2,1.0
1940s,6,nord,0.025451078416445633,63,1,0.5
1940s,7,chine,0.02423912230137679,60,1,0.5
1940s,8,montagnes,0.02423912230137679,60,1,0.5
1940s,9,edw,0.023027166186307953,57,1,0.5
1940s,10,mongolie,0.02262318081461834,56,1,0.5
1940s,11,deux,0.021411224699549498,53,1,0.5
1940s,12,nos,0.01858332709772221,46,1,0.5
1940s,13,kin,0.017996426037553782,54,2,1.0
1940s,14,khan,0.017197014670956405,11,1,0.5
1940s,15,death,0.017197014670956405,11,1,0.5
1940s,16,cette,0.015755429495894917,39,1,0.5
1940s,17,autres,0.015755429495894917,39,1,0.5
1940s,18,burial,0.01563364970086946,10,1,0.5
1940s,19,dont,0.015351444124205303,38,1,0.5
1940s,20,site,0.014070284730782513,9,1,0.5
1940s,21,river,0.014070284730782513,9,1,0.5
1940s,22,polo,0.014070284730782513,9,1,0.5
1940s,23,genghis_khan,0.014070284730782513,9,1,0.5
1940s,24,naturelle,0.013735502637446849,34,1,0.5
1940s,25,tch,0.013735502637446849,34,1,0.5
1930s,1,manchu,0.23834520003799103,101,3,0.11538461538461539
1930s,2,heaven,0.16152916653737637,127,9,0.34615384615384615
1930s,3,leaves,0.16150961525010812,204,7,0.2692307692307692
1930s,4,species,0.1326097024595738,165,7,0.2692307692307692
1930s,5,flowers,0.13142767175694972,120,6,0.23076923076923078
1930s,6,confucius,0.12899261393499664,39,9,0.34615384615384615
1930s,7,language,0.11439430921645018,91,10,0.38461538461538464
1930s,8,wei,0.11121521429457172,56,6,0.23076923076923078
1930s,9,week,0.11003771495339253,48,3,0.11538461538461539
1930s,10,forms,0.10670320553547488,106,15,0.5769230769230769
1930s,11,century,0.10405674304253679,53,11,0.4230769230769231
1930s,12,characters,0.1039889935605324,49,10,0.38461538461538464
1930s,13,hsiung,0.10269268221253836,13,3,0.11538461538461539
1930s,14,words,0.10009402663543582,106,13,0.5
1930s,15,government,0.0993771267499087,58,14,0.5384615384615384
1930s,16,spirit,0.09835781538657246,106,9,0.34615384615384615
1930s,17,yang,0.09499013430063685,45,13,0.5
1930s,18,moslem,0.09207377501532164,8,2,0.07692307692307693
1930s,19,wang,0.09116684600691308,33,9,0.34615384615384615
1930s,20,han,0.08954498753369376,41,12,0.46153846153846156
1930s,21,emperor,0.08902180783976253,68,10,0.38461538461538464
1930s,22,hegira,0.08822913515374001,6,1,0.038461538461538464
1930s,23,earth,0.08812635641323101,68,10,0.38461538461538464
1930s,24,pottery,0.08758655289477099,40,3,0.11538461538461539
1930s,25,ien,0.0874958090976523,39,6,0.23076923076923078
1900s,1,genus,0.32701089153214485,260,4,0.13333333333333333
1900s,2,linn,0.17200728992844078,135,1,0.03333333333333333
1900s,3,shanghai,0.16045620841149302,305,13,0.43333333333333335
1900s,4,dam,0.15445776116885726,73,1,0.03333333333333333
1900s,5,kwo,0.12982814674688256,98,2,0.06666666666666667
1900s,6,law,0.1271035564701488,355,13,0.43333333333333335
1900s,7,emperor,0.12073649691813773,206,20,0.6666666666666666
1900s,8,games,0.12020551103359765,108,1,0.03333333333333333
1900s,9,river,0.119511083146632,221,18,0.6
1900s,10,tsi,0.11820379866099247,106,4,0.13333333333333333
1900s,11,tael,0.11521476717640713,208,4,0.13333333333333333
1900s,12,mencius,0.11279090553730645,137,7,0.23333333333333334
1900s,13,shih,0.1102324901698925,104,14,0.4666666666666667
1900s,14,taels,0.10852808454456415,193,6,0.2
1900s,15,family,0.10762290499476014,250,23,0.7666666666666667
1900s,16,weights,0.09852342841391507,28,5,0.16666666666666666
1900s,17,silver,0.09676740974585342,302,19,0.6333333333333333
1900s,18,faber,0.09432959430150477,87,2,0.06666666666666667
1900s,19,temple,0.09224976105708901,130,14,0.4666666666666667
1900s,20,swinhoe,0.09218019772217118,55,1,0.03333333333333333
1900s,21,government,0.09071148212229563,188,17,0.5666666666666667
1900s,22,wang,0.08937584702838154,93,14,0.4666666666666667
1900s,23,weights_measures,0.08785176049767447,13,2,0.06666666666666667
1900s,24,collection,0.08698309470399505,95,11,0.36666666666666664
1900s,25,standard,0.08671411884266847,114,9,0.3
