L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Chemistry,16,province,0.013736780137156077,21,2,1.0
Chemistry,17,vinegar,0.012045567214740148,17,2,1.0
Chemistry,18,substances,0.011973787490704785,15,2,1.0
Chemistry,19,mercury,0.011973787490704785,15,2,1.0
Chemistry,20,making,0.01187360571759068,17,2,1.0
Chemistry,21,manufacture,0.011751735106998264,16,2,1.0
Chemistry,22,kilns,0.011652453064672282,13,1,0.5
Chemistry,23,catties,0.01165155333388416,18,2,1.0
Chemistry,24,lime,0.011529682723291745,17,2,1.0
Chemistry,25,pen,0.010242255848561522,9,1,0.5
Biography,1,king,0.10779707264976746,225,10,1.0
Biography,2,kwo,0.10456778196378129,97,1,0.1
Biography,3,wang,0.10267670070330397,206,10,1.0
Biography,4,tsi,0.0966038915488858,106,2,0.2
Biography,5,mei,0.0749619097962007,49,1,0.1
Biography,6,emperor,0.0630523561415158,114,9,0.9
Biography,7,legend,0.05648381459137775,32,3,0.3
Biography,8,yueh,0.05522444089564841,60,3,0.3
Biography,9,duke,0.053598202571270605,71,3,0.3
Biography,10,yuan,0.05084778939461833,95,6,0.6
Biography,11,wang_shih,0.04770807943960075,26,2,0.2
Biography,12,yaou,0.04696484453768379,22,1,0.1
Biography,13,army,0.044275894332208354,61,4,0.4
Biography,14,government,0.04354937448433904,55,6,0.6
Biography,15,shun,0.040611880473788754,35,5,0.5
Biography,16,heaven,0.04034754540414658,77,8,0.8
Biography,17,son,0.03962279593102384,69,10,1.0
Biography,18,chung_wang,0.039567892676424195,42,1,0.1
Biography,19,shih,0.039197290380683716,46,7,0.7
Biography,20,actor,0.03671603745120034,24,1,0.1
Biography,21,drama,0.03591434933607563,28,2,0.2
Biography,22,city,0.035525218256336685,63,6,0.6
Biography,23,chow,0.03547940075060996,63,7,0.7
Biography,24,vishnu,0.0342526340920713,18,2,0.2
Biography,25,poems,0.034052583895088084,35,1,0.1
Archaeology,1,bottles,0.2504988122674455,99,2,0.07692307692307693
Archaeology,2,art,0.16871234389115802,290,21,0.8076923076923077
Archaeology,3,pictures,0.13404793221690484,21,7,0.2692307692307692
Archaeology,4,porcelain,0.13196279339301398,233,10,0.38461538461538464
Archaeology,5,temple,0.12291820552859002,363,20,0.7692307692307693
Archaeology,6,wares,0.12060263824676702,216,5,0.19230769230769232
Archaeology,7,stone,0.11702419301954609,323,21,0.8076923076923077
Archaeology,8,city,0.10425582823378775,259,17,0.6538461538461539
Archaeology,9,inscriptions,0.10393788692436146,141,18,0.6923076923076923
Archaeology,10,greek,0.09906132607622964,75,6,0.23076923076923078
Archaeology,11,characters,0.09526760995487916,161,19,0.7307692307692307
Archaeology,12,rubbings,0.09456292895944826,24,7,0.2692307692307692
Archaeology,13,shan,0.08496103134121694,258,18,0.6923076923076923
Archaeology,14,dial,0.0836711220646218,21,2,0.07692307692307693
Archaeology,15,egypt,0.08256222653367071,61,10,0.38461538461538464
Archaeology,16,cambodia,0.07801101955314634,29,3,0.11538461538461539
Archaeology,17,colour,0.0774112029194819,179,14,0.5384615384615384
Archaeology,18,buddhist,0.07333110276614907,147,15,0.5769230769230769
Archaeology,19,nature,0.07189192712328109,118,15,0.5769230769230769
Archaeology,20,mountain,0.07187794478953807,186,20,0.7692307692307693
Archaeology,21,written,0.07109665004870616,92,18,0.6923076923076923
Archaeology,22,river,0.07091147708819451,142,20,0.7692307692307693
Archaeology,23,human,0.07083712997899154,75,19,0.7307692307692307
Archaeology,24,emperor,0.06974245121932694,198,20,0.7692307692307693
Archaeology,25,feet,0.06664452227328511,186,17,0.6538461538461539
Botany,1,soochow,0.3432175267563432,129,2,0.13333333333333333
Botany,2,leaves,0.20207820176946678,1211,12,0.8
Botany,3,lour,0.19707818098386604,2442,6,0.4
Botany,4,linn,0.17905188249623266,1875,9,0.6
Botany,5,flowers,0.17514889612291698,858,12,0.8
Botany,6,sin,0.168141578346526,1895,4,0.26666666666666666
Botany,7,plants,0.14782588912227826,1065,15,1.0
Botany,8,species,0.13195935243926682,703,15,1.0
Botany,9,plant,0.1251340770269808,1717,15,1.0
Botany,10,shu,0.11131731814874905,493,7,0.4666666666666667
Botany,11,cochin,0.10917379827441503,1216,4,0.26666666666666666
Botany,12,nimrod,0.10788834230109536,35,1,0.06666666666666667
Botany,13,canton,0.08789040732760646,1171,7,0.4666666666666667
Botany,14,ningpo,0.07938080460963386,105,9,0.6
Botany,15,wuhu,0.07853369442915821,30,2,0.13333333333333333
Botany,16,var,0.07306662543705522,305,10,0.6666666666666666
Botany,17,faber,0.07114080736757436,85,3,0.2
Botany,18,china_cochin,0.07079240709719659,709,3,0.2
Botany,19,tab,0.07036723832186764,789,4,0.26666666666666666
Botany,20,cultivated,0.06881131163007839,645,11,0.7333333333333333
Botany,21,chinese_plants,0.06711302766736114,303,8,0.5333333333333333
Botany,22,tzu,0.06683392602343848,137,3,0.2
Botany,23,forms,0.06579006536366101,80,11,0.7333333333333333
Botany,24,chinensis,0.06537840390018022,684,11,0.7333333333333333
Botany,25,sound,0.06509670737999759,43,6,0.4
Navigation,1,compass,0.02698100556577628,55,1,0.5
Navigation,2,variation,0.02207536819018059,45,1,0.5
Navigation,3,needle,0.020113113239942318,41,1,0.5
Navigation,4,les,0.01990160553473475,29,1,0.5
Navigation,5,boat,0.01962254950238275,40,1,0.5
Navigation,6,boats,0.018641422027263613,38,1,0.5
Navigation,7,ceylon,0.012556071389616057,26,2,1.0
Navigation,8,erh,0.011666458416913474,17,1,0.5
Navigation,9,latitude,0.010980196157095034,16,1,0.5
Navigation,10,degrees,0.010959485438481676,31,2,1.0
Navigation,11,polo,0.010951986529232112,23,2,1.0
Navigation,12,king,0.01081649487347295,27,2,1.0
Navigation,13,chinese_boats,0.010792402226310512,22,1,0.5
Navigation,14,star,0.010324464168848168,22,2,1.0
Navigation,15,gear,0.009811274751191375,20,1,0.5
Navigation,16,iron,0.009811274751191375,20,1,0.5
Navigation,17,des,0.009607671637458156,14,1,0.5
Navigation,18,que,0.009607671637458156,14,1,0.5
Navigation,19,sea,0.009212410013089006,24,2,1.0
Navigation,20,lan,0.008921409377639715,13,1,0.5
Navigation,21,map,0.008921409377639715,13,1,0.5
Navigation,22,words,0.008830147276072238,18,1,0.5
Navigation,23,marco,0.008649821389616057,18,2,1.0
Navigation,24,island,0.008510580279232112,18,2,1.0
Navigation,25,circle,0.008339583538512668,17,1,0.5
Taoism,1,tzu,0.08086510301470581,314,4,0.8
Taoism,2,heart,0.06275382577320643,94,5,1.0
Taoism,3,taoism,0.052690104470297254,89,4,0.8
Taoism,4,lao,0.03826854514724073,148,4,0.8
Taoism,5,tao,0.03695004087662013,166,5,1.0
Taoism,6,genii,0.03477504299841232,73,3,0.6
Taoism,7,lao_tzu,0.03240459025382297,127,4,0.8
Taoism,8,duke,0.029502547283903172,102,2,0.4
Taoism,9,king,0.029324171309081794,157,5,1.0
Taoism,10,replied,0.027738936693474422,114,3,0.6
Taoism,11,immortals,0.025806236722820532,49,2,0.4
Taoism,12,true,0.023438739489811497,52,5,1.0
Taoism,13,nature,0.02223375723179642,45,5,1.0
Taoism,14,taoist,0.02156261987378083,57,4,0.8
Taoism,15,spirit,0.021535915632654702,88,5,1.0
Taoism,16,confucius,0.021020276628038057,76,4,0.8
Taoism,17,original,0.019837363515820886,25,4,0.8
Taoism,18,gods,0.018896403022964973,17,1,0.2
Taoism,19,pei,0.017354439578766572,60,2,0.4
Taoism,20,human,0.016713583645667926,51,5,1.0
Taoism,21,immortality,0.016609903213442433,31,2,0.4
Taoism,22,knowledge,0.01659793169946922,78,4,0.8
Taoism,23,religion,0.01597002322096089,44,5,1.0
Taoism,24,heaven,0.01594444644767758,46,5,1.0
Taoism,25,world,0.015893737792810815,53,5,1.0
Art,1,bottles,0.23445340917299762,99,2,0.09523809523809523
Art,2,art,0.1958811029450146,334,17,0.8095238095238095
