model,K,anchor_strength,topic_id,rank,word,weight
corex_anchored,20,3.0,9,15,personal,0.16391042796376226
corex_anchored,20,3.0,9,16,peace,0.16240714462287942
corex_anchored,20,3.0,9,17,receive,0.156576982791354
corex_anchored,20,3.0,9,18,desire,0.15404728803321988
corex_anchored,20,3.0,9,19,refused,0.1523658952781563
corex_anchored,20,3.0,9,20,duties,0.15202874155157048
corex_anchored,20,3.0,10,1,along,0.17102268360078438
corex_anchored,20,3.0,10,2,eastern,0.1547982355796403
corex_anchored,20,3.0,10,3,forming,0.15277978870358977
corex_anchored,20,3.0,10,4,almost,0.15269782535413884
corex_anchored,20,3.0,10,5,southern,0.15254865555736558
corex_anchored,20,3.0,10,6,plain,0.150795088148176
corex_anchored,20,3.0,10,7,except,0.14125986268820429
corex_anchored,20,3.0,10,8,close,0.13682650306608163
corex_anchored,20,3.0,10,9,east,0.13657764007848722
corex_anchored,20,3.0,10,10,considerable,0.13526638754481596
corex_anchored,20,3.0,10,11,across,0.131618063839133
corex_anchored,20,3.0,10,12,nearly,0.12979281319919084
corex_anchored,20,3.0,10,13,area,0.1289367509224532
corex_anchored,20,3.0,10,14,half,0.12780372994877737
corex_anchored,20,3.0,10,15,range,0.12537305753885836
corex_anchored,20,3.0,10,16,extending,0.12392539021209957
corex_anchored,20,3.0,10,17,throughout,0.12380696788332883
corex_anchored,20,3.0,10,18,somewhat,0.12327803136880493
corex_anchored,20,3.0,10,19,larger,0.12262265708920576
corex_anchored,20,3.0,10,20,features,0.12242089533596516
corex_anchored,20,3.0,11,1,dynasty,0.19037871845379956
corex_anchored,20,3.0,11,2,title,0.1895291710652829
corex_anchored,20,3.0,11,3,imperial,0.18922813398606342
corex_anchored,20,3.0,11,4,word,0.16720546249210705
corex_anchored,20,3.0,11,5,meaning,0.15746281678635848
corex_anchored,20,3.0,11,6,according,0.1503069553427891
corex_anchored,20,3.0,11,7,language,0.14921101933497466
corex_anchored,20,3.0,11,8,given,0.14806491965848795
corex_anchored,20,3.0,11,9,states,0.14459962404308901
corex_anchored,20,3.0,11,10,read,0.14302274463215608
corex_anchored,20,3.0,11,11,written,0.13816194263399556
corex_anchored,20,3.0,11,12,late,0.13721412652417103
corex_anchored,20,3.0,11,13,reign,0.13558041036209706
corex_anchored,20,3.0,11,14,term,0.1353959118189516
corex_anchored,20,3.0,11,15,author,0.13055139729232768
corex_anchored,20,3.0,11,16,post,0.12555133491923645
corex_anchored,20,3.0,11,17,name,0.12513738869241925
corex_anchored,20,3.0,11,18,intended,0.12258456582555392
corex_anchored,20,3.0,11,19,referred,0.12174968059440687
corex_anchored,20,3.0,11,20,characters,0.12013020636942633
corex_anchored,20,3.0,12,1,get,0.20490671134075644
corex_anchored,20,3.0,12,2,going,0.19813667144128405
corex_anchored,20,3.0,12,3,leave,0.1740545096663479
corex_anchored,20,3.0,12,4,coming,0.16223529765043282
corex_anchored,20,3.0,12,5,best,0.15941596671361918
corex_anchored,20,3.0,12,6,every,0.1563267403372069
corex_anchored,20,3.0,12,7,done,0.15463340366350015
corex_anchored,20,3.0,12,8,end,0.14895320006163787
corex_anchored,20,3.0,12,9,instead,0.14844440803898212
corex_anchored,20,3.0,12,10,getting,0.1472894067543535
corex_anchored,20,3.0,12,11,making,0.14709242575537346
corex_anchored,20,3.0,12,12,old,0.14705095434602972
corex_anchored,20,3.0,12,13,last,0.14319640406938244
corex_anchored,20,3.0,12,14,giving,0.14230599261323285
corex_anchored,20,3.0,12,15,ten,0.14090602120689594
corex_anchored,20,3.0,12,16,together,0.1377230841518347
corex_anchored,20,3.0,12,17,street,0.1372356725460408
corex_anchored,20,3.0,12,18,quite,0.13708099170849336
corex_anchored,20,3.0,12,19,provided,0.1364247299144305
corex_anchored,20,3.0,12,20,leaving,0.13557350351879383
corex_anchored,20,3.0,13,1,idea,0.21642463588069816
corex_anchored,20,3.0,13,2,means,0.19947807886012298
corex_anchored,20,3.0,13,3,cannot,0.19515988465842177
corex_anchored,20,3.0,13,4,without,0.189280655167064
corex_anchored,20,3.0,13,5,case,0.17561690939309355
corex_anchored,20,3.0,13,6,whole,0.1740143305041007
corex_anchored,20,3.0,13,7,course,0.17373774964172745
corex_anchored,20,3.0,13,8,way,0.16999621472830967
corex_anchored,20,3.0,13,9,fact,0.16594823002335407
corex_anchored,20,3.0,13,10,become,0.164828740721422
corex_anchored,20,3.0,13,11,nature,0.16271220559438998
corex_anchored,20,3.0,13,12,necessary,0.16096507779721803
corex_anchored,20,3.0,13,13,less,0.15636195613625697
corex_anchored,20,3.0,13,14,alone,0.15524540566937478
corex_anchored,20,3.0,13,15,similar,0.1534641118655104
corex_anchored,20,3.0,13,16,reason,0.152859725178578
corex_anchored,20,3.0,13,17,either,0.1520661081544949
corex_anchored,20,3.0,13,18,different,0.15079881601587103
corex_anchored,20,3.0,13,19,right,0.15069022168270912
corex_anchored,20,3.0,13,20,becomes,0.15017355708972252
corex_anchored,20,3.0,14,1,night,0.24270132700365404
corex_anchored,20,3.0,14,2,return,0.23725268243777753
corex_anchored,20,3.0,14,3,set,0.22612385412909547
corex_anchored,20,3.0,14,4,away,0.22486870675008547
corex_anchored,20,3.0,14,5,told,0.22425773464501042
corex_anchored,20,3.0,14,6,wife,0.22215842444091533
corex_anchored,20,3.0,14,7,hands,0.2175065647744251
corex_anchored,20,3.0,14,8,heard,0.211133276604494
corex_anchored,20,3.0,14,9,young,0.20659790888656715
corex_anchored,20,3.0,14,10,home,0.2061907835405204
corex_anchored,20,3.0,14,11,keep,0.20547924380121146
corex_anchored,20,3.0,14,12,come,0.2038669646853571
corex_anchored,20,3.0,14,13,women,0.20201385433995384
corex_anchored,20,3.0,14,14,go,0.20131916831003488
corex_anchored,20,3.0,14,15,head,0.1959874749031591
corex_anchored,20,3.0,14,16,never,0.19286372313621508
corex_anchored,20,3.0,14,17,family,0.18595924087062737
corex_anchored,20,3.0,14,18,woman,0.18387353287836372
corex_anchored,20,3.0,14,19,husband,0.183028597113646
corex_anchored,20,3.0,14,20,food,0.18184477093025403
corex_anchored,20,3.0,15,1,heaven,0.2664807157038886
corex_anchored,20,3.0,15,2,emperor,0.23580340944550165
corex_anchored,20,3.0,15,3,son,0.22888982950679243
corex_anchored,20,3.0,15,4,prince,0.20052803626846794
corex_anchored,20,3.0,15,5,king,0.1996217173615374
corex_anchored,20,3.0,15,6,affairs,0.19703037829158193
corex_anchored,20,3.0,15,7,book,0.19523785946506905
corex_anchored,20,3.0,15,8,ancient,0.1900496048892109
corex_anchored,20,3.0,15,9,world,0.18430175492454176
corex_anchored,20,3.0,15,10,throne,0.1818397216636088
corex_anchored,20,3.0,15,11,born,0.17270349144791847
corex_anchored,20,3.0,15,12,appointed,0.17036627971535906
corex_anchored,20,3.0,15,13,kingdom,0.1644042145074059
corex_anchored,20,3.0,15,14,ruler,0.16140001394280531
corex_anchored,20,3.0,15,15,wrote,0.15872438953975582
corex_anchored,20,3.0,15,16,authority,0.15715157388563472
corex_anchored,20,3.0,15,17,order,0.1509976276089124
corex_anchored,20,3.0,15,18,wisdom,0.15071021012725766
corex_anchored,20,3.0,15,19,self,0.1503159452048372
corex_anchored,20,3.0,15,20,virtue,0.14864916454047442
corex_anchored,20,3.0,16,1,empire,0.17041177477286568
corex_anchored,20,3.0,16,2,government,0.15756950512284945
corex_anchored,20,3.0,16,3,progress,0.1269581136104198
corex_anchored,20,3.0,16,4,events,0.1264542217371623
