L2,rank,term,tfidf_score
Bronzes,21,writing,0.00883477281157568
Bronzes,22,mind,0.00883477281157568
Bronzes,23,front,0.008834352108108462
Bronzes,24,unicorn,0.008834352108108462
Bronzes,25,wei,0.008834352108108462
Bronzes,26,ting,0.008428945596048792
Bronzes,27,found,0.008333458055825789
Bronzes,28,china,0.008285863952705232
Bronzes,29,chou,0.008098541743944374
Bronzes,30,statuary,0.008031229189189512
Buddhism,1,lake,0.11886407572653555
Buddhism,2,chinese,0.06663710192817855
Buddhism,3,buddha,0.06655811015247128
Buddhism,4,buddhist,0.059274566367563016
Buddhism,5,one,0.05136502803301141
Buddhism,6,body,0.04427170674695436
Buddhism,7,amida,0.041320274045261667
Buddhism,8,tsang,0.04033048114378541
Buddhism,9,great,0.04004764907488632
Buddhism,10,also,0.038453626294711225
Buddhism,11,river,0.0380393740661338
Buddhism,12,hua,0.03757831095095191
Buddhism,13,ching,0.03607517851291383
Buddhism,14,chapter,0.03602873648963679
Buddhism,15,first,0.033633381863146884
Buddhism,16,nirvana,0.03139219044506878
Buddhism,17,thus,0.031382045309995936
Buddhism,18,india,0.03133460067086923
Buddhism,19,work,0.0305568572238187
Buddhism,20,sanskrit,0.030501971570707432
Buddhism,21,called,0.030183362629212923
Buddhism,22,doctrine,0.030051055440526428
Buddhism,23,sutra,0.029946349619976633
Buddhism,24,therefore,0.029894706277557283
Buddhism,25,anavatapta,0.02971601893163389
Buddhism,26,may,0.02912204663969772
Buddhism,27,king,0.02903242404876163
Buddhism,28,life,0.028802725068877703
Buddhism,29,non,0.028464484225611136
Buddhism,30,many,0.028378272353826263
China--Religion,1,confucius,0.07755025453958708
China--Religion,2,one,0.07238624053743763
China--Religion,3,may,0.06220310610223581
China--Religion,4,wei,0.05278583915090106
China--Religion,5,figures,0.05124482430993968
China--Religion,6,chinese,0.0432948878101489
China--Religion,7,heaven,0.042700138776465627
China--Religion,8,gods,0.038977440278926696
China--Religion,9,first,0.03890574423145314
China--Religion,10,people,0.03770051825521487
China--Religion,11,time,0.03695972995708498
China--Religion,12,god,0.03647736666482487
China--Religion,13,two,0.03528382876964898
China--Religion,14,made,0.03421877936136559
China--Religion,15,great,0.033550676089344235
China--Religion,16,religion,0.03291105475975712
China--Religion,17,china,0.031453386283115364
China--Religion,18,genesis,0.031172976554713
China--Religion,19,ch,0.03082624153178276
China--Religion,20,period,0.03029752321697344
China--Religion,21,would,0.028669010777559775
China--Religion,22,spirits,0.02863352752477699
China--Religion,23,ien,0.028543136666150003
China--Religion,24,said,0.02788855170358854
China--Religion,25,earth,0.027683551267348023
China--Religion,26,tombs,0.02751177726084166
China--Religion,27,government,0.027251007788358768
China--Religion,28,priesthood,0.02708009456656393
China--Religion,29,confucianism,0.02690464784533783
China--Religion,30,figure,0.02675383260280442
Christianity,1,christ,0.09454250614114053
Christianity,2,one,0.07487498559478081
Christianity,3,picture,0.05814646309814504
Christianity,4,bishop,0.055768564514401486
Christianity,5,two,0.0451980741905171
Christianity,6,professor,0.04444823811370671
Christianity,7,nestorian,0.04356900025690782
Christianity,8,great,0.04257190735380592
Christianity,9,heavenly,0.04242229054645348
Christianity,10,china,0.04182779294129459
Christianity,11,giles,0.041238158213917624
Christianity,12,three,0.040152200214964955
Christianity,13,buddha,0.03772474782020755
Christianity,14,would,0.037052955473693916
Christianity,15,says,0.03679742668874998
Christianity,16,chinese,0.0345708351291388
Christianity,17,lao,0.03455844931155443
Christianity,18,della,0.03373653902723053
Christianity,19,chiesa,0.03373653902723053
Christianity,20,confucius,0.033658479468794106
Christianity,21,god,0.03296154466117423
Christianity,22,tzu,0.032000568982285614
Christianity,23,priests,0.03150779448374784
Christianity,24,marco,0.031128427298455063
Christianity,25,also,0.030933002353547016
Christianity,26,first,0.029331260504632604
Christianity,27,country,0.028408966906388992
Christianity,28,called,0.027479220418498693
Christianity,29,said,0.02691727804919419
Christianity,30,polo,0.026635572901820274
"Chronology, Historical",1,yuan,0.06011119625753584
"Chronology, Historical",2,first,0.052084818042264856
"Chronology, Historical",3,hao,0.042178465725241907
"Chronology, Historical",4,nien,0.041124716075117695
"Chronology, Historical",5,year,0.040978785659636724
"Chronology, Historical",6,day,0.035170194744662826
"Chronology, Historical",7,week,0.033896840451650555
"Chronology, Historical",8,reign,0.03201728733643627
"Chronology, Historical",9,chinese,0.03183461694099992
"Chronology, Historical",10,days,0.031354577417776766
"Chronology, Historical",11,chih,0.030507156406485502
"Chronology, Historical",12,shih,0.029523976683660212
"Chronology, Historical",13,table,0.029523976683660212
"Chronology, Historical",14,second,0.026296345445281616
"Chronology, Historical",15,tables,0.02493997483639854
"Chronology, Historical",16,tsung,0.024255228433039178
"Chronology, Historical",17,date,0.02372360698793147
"Chronology, Historical",18,emperor,0.023191985542823763
"Chronology, Historical",19,titles,0.023191985542823763
"Chronology, Historical",20,moule,0.02288036730486413
"Chronology, Historical",21,kubilai,0.02288036730486413
"Chronology, Historical",22,gives,0.02288036730486413
"Chronology, Historical",23,names,0.02191250773941969
"Chronology, Historical",24,column,0.021616107687683055
"Chronology, Historical",25,one,0.021380886294311983
"Chronology, Historical",26,title,0.02055286479746764
"Chronology, Historical",27,name,0.019837349624583667
"Chronology, Historical",28,period,0.018876486961593344
"Chronology, Historical",29,years,0.018741327251965548
"Chronology, Historical",30,seven,0.018643262248407805
