from,to,author,subject_l2,subject_l1,time_window,article_count,weight,first_year,last_year,titles
A_50,S_29,"Preston, C. F.",Biography,History and Chronology,1868-1877,1,1,1868,1868,"Lok Ping Chiung, late Governor General of Sze - chuen, Notices of"
A_72,S_26,"Hobson, H. E.",History,History and Chronology,1868-1877,1,1,1877,1877,"Fort Zelandia, and the Dutch occupation of Formosa"
A_29,S_26,"Kingsmill, T. W.",History,History and Chronology,1868-1877,1,1,1871,1872,"The Mythical origin of the Chow or Djow Dynasty, as set forth in the ""Shoo-king"""
A_44,S_26,"Mayers, W. F.",History,History and Chronology,1868-1877,1,1,1871,1872,A Historical and statistical sketch of the island of Hainan
A_61,S_26,"Schmidt, C.",History,History and Chronology,1868-1877,1,1,1874,1874,Extracts from the history of Shanghai
A_47,S_26,"Watters, T.",History,History and Chronology,1868-1877,1,1,1871,1872,The Life and works of Han Yu or Han Wen-Kung
A_11,S_26,"Williams, S. W.",History,History and Chronology,1868-1877,1,1,1869,1870,Journal of a mission to Lewchew in 1801
A_67,S_15,"Cordier, H.","History, Modern (20th century)",History and Chronology,1868-1877,1,1,1875,1875,Narrative of recent events in Tong - king
A_17,S_15,Editorial Committee,"History, Modern (20th century)",History and Chronology,1868-1877,3,3,1868,1874,"Retrospect of events in China and Japan, 1868 | Retrospect of events in China, etc., 1871, 1872 | Retrospect of events in China, 1873"
A_71,S_15,"Little, A. J.","History, Modern (20th century)",History and Chronology,1868-1877,1,1,1876,1876,"Retrospect of events in China, 1875"
A_62,S_15,"Viguier, S. A.","History, Modern (20th century)",History and Chronology,1868-1877,1,1,1874,1874,Brief account of the French Expedition of 1866 into Indo - China
A_11,S_15,"Williams, S. W.","History, Modern (20th century)",History and Chronology,1868-1877,1,1,1874,1874,Recollections of China prior to 1840
A_35,S_6,"Martin, W. A. P.",Literature,Literature and Language,1868-1877,1,1,1877,1877,On the Styles of Chinese epistolary composition
A_54,S_6,"Moule, G. E.",Literature,Literature and Language,1868-1877,1,1,1875,1875,"Notes on Col. Yule's edition of Marco Polo's "" Quinsay "" *"
A_55,S_13,"Smith, F. P.",Agriculture,Natural Sciences,1868-1877,1,1,1869,1870,Chinese chemical manufactures
A_40,S_18,"Bickmore, A. S.",Geology,Natural Sciences,1868-1877,1,1,1868,1868,Some remarks on recent elevations of land in China and Japan
A_29,S_18,"Kingsmill, T. W.",Geology,Natural Sciences,1868-1877,1,1,1868,1868,Notes on the coal fields and general geology of the neighbourhood of Nagasaki *
A_46,S_18,"Simon, G. E.",Geology,Natural Sciences,1868-1877,1,1,1868,1868,Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie
A_43,S_9,"Ellias, N.",Hydrology,Natural Sciences,1868-1877,1,1,1868,1868,Report of an exploration of the new course of the Yellow River
A_3,S_19,"Macgowan, D. J.",Medicine,Natural Sciences,1868-1877,3,3,1871,1875,"Chinese use of shad in consumption and iodine Plants in scrofula | On the "" Mutton wine "" of the Mongols and analagous preparations of the Chinese | Notes on Chinese toxicology"
A_1,S_4,"Edkins, J.",Meteorology,Natural Sciences,1868-1877,1,1,1877,1877,On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass
A_59,S_4,Meteorological Committee,Meteorology,Natural Sciences,1868-1877,1,1,1871,1872,"Meteorological observations, April - December 1872"
A_60,S_4,Shanghai Meteorological Committee,Meteorology,Natural Sciences,1868-1877,1,1,1873,1873,Weather report for 1873
A_58,S_11,"David, Le P. A.",Zoology,Natural Sciences,1868-1877,1,1,1871,1872,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale
A_73,S_11,"Mollendorf, 0. F. von",Zoology,Natural Sciences,1868-1877,1,1,1877,1877,"The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature"
A_53,S_1,"Eitel, E. J.",Buddhism,Religion and Philosophy,1868-1877,1,1,1869,1870,The Fabulous source of the Hoang-ho
A_47,S_1,"Watters, T.",Buddhism,Religion and Philosophy,1868-1877,1,1,1875,1875,"Notes on the "" Miao - fa - lien - hua - ching "", a Buddhist sutra in Chinese"
A_1,S_17,"Edkins, J.",Confucianism,Religion and Philosophy,1868-1877,1,1,1874,1874,"Visit to the city of Confucius, A"
A_65,S_30,"Camajee, D. N.",Religion,Religion and Philosophy,1868-1877,1,1,1875,1875,"Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster"
