master_id,year,volume,author,page,page_original,content_page_number,subject,title,year_start,year_end,Article?,In PDF?,notes,url,article_id,source,In Index?,need to check subject?,toc_source_pdf
MASTER_00076,1867,NS 4,"Williamson, A.",33,33-63,,Agriculture,"Notes on the north of China, its productions and communications",1867,1867,,,,,IV_1867_03,source_a,,,
MASTER_00077,1867,NS 4,"Williamson, A.",64,64-73,,Agriculture,"Notes on the productions, chiefly mineral of Shantung",1867,1867,,,"Shan Tung, Shandong Province, 山东省",,,,,,
MASTER_00078,1867,NS 4,"Pryer, W. B.",74,74-79,,Zoology,Entomology of Shanghai,1867,1867,,,,,IV_1867_05,source_a,,,
MASTER_00079,1867,NS 4,"Ellias, N.",80,80-86,,Hydrology,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal,1867,1867,,,,,,,,,
MASTER_00080,1867,NS 4,"Wylie, A.",87,87-158,,Astronomy,Eclipses recorded in Chinese works,1867,1867,,,,,IV_1867_07,source_a,,,
MASTER_00081,1867,NS 4,"Mayers, W. F.",159,159-186,,"Chronology, Historical",Chinese chronological tables,1867,1867,,,,,,,,,
MASTER_00082,1867,NS 4,"Forrest, R. J.",187,187-208,,Christianity,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,1867,1867,,,,,,,,,
MASTER_00083,1867,NS 4,"Simon, G. E.",209,209-224,,Agriculture,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,,,,,,,,,
MASTER_00084,1867,NS 4,"Watters, T.",225,225-242,,Mythology,Chinese notions about pigeons and doves,1867,1867,,,,,IV_1867_11,source_a,,,
MASTER_00085,1867,NS 4,"Edkins, J.",243,243-250,,Geology,The Bituminous coal mines west of Peking,1867,1867,,,,,,,,,
MASTER_00086,1867,NS 4,"Kingsmill, T. W.",251,251-265,,Contemporary History,"Retrospect of events in China and Japan, 1867",1867,1867,n,,,,,,,,
MASTER_00087,1867,NS 4,The Hankow Times,266,266,,Hydrology,"Flood in the Han River 1857 "" The Hankow Times """,1867,1867,,,,,,,,,
MASTER_00088,1868,NS 5,"Simon, G. E.",1,1,,Economics,Note sur les petites societes d'argent en Chine,1868,1868,,,,,,,,,
MASTER_00089,1868,NS 5,"Kingsmill, T. W.",24,24-29,,Geology,Notes on the coal fields and general geology of the neighbourhood of Nagasaki *,1868,1868,,,,,,,,,
MASTER_00090,1868,NS 5,"Jenkins, B.",30,30-57,,Music,Notions of the ancient Chinese respecting music,1868,1868,,,,,,,,,
MASTER_00091,1868,NS 5,"Bickmore, A. S.",58,58-66,,Geology,Some remarks on recent elevations of land in China and Japan,1868,1868,,,,,,,,,
MASTER_00092,1868,NS 5,"Preston, C. F.",67,67-77,,Biography,"Lok Ping Chiung, late Governor General of Sze - chuen, Notices of",1868,1868,,,"LOK PING CHEUNG, Luo Bingzhang, 骆秉章; SZE CHUEN, Sichuan Province, 四川省",,V_1868_05,source_a,,,
MASTER_00093,1868,NS 5,"Medhurst, W. H.",78,78-86,,Antiquities,"Tablet of Yü, The",1868,1868,,,"Yü, Yu or Da Yu, 禹或大禹",,,,,,
MASTER_00094,1868,NS 5,"Simon, G. E.",87,87-152,,Geology,Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie,1868,1868,,,,,,,,,
MASTER_00095,1868,NS 5,"Wylie, A.",153,153-258,,Travel,"Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se",1868,1868,,,,,V_1868_08,source_a,,,
MASTER_00096,1868,NS 5,"Ellias, N.",259,259-279,,Hydrology,Report of an exploration of the new course of the Yellow River,1868,1868,,,,,,,,,
MASTER_00097,1868,NS 5,Editorial Committee,280,280-285,,Contemporary History,"Retrospect of events in China and Japan, 1868",1868,1868,,,,,,,,,
MASTER_00098,1869-70,NS 6,"Markham, J.",1,,,Travel,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius",1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00099,1869-70,NS 6,"Mayers, W. F.",31,,,Religion,"On Wen - ch'ang, the god of literature, his history and worship ",1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00100,1869-70,NS 6,"Eitel, E. J.",45,45-51,,Buddhism,The Fabulous source of the Hoang-ho,1869,1870,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916355&seq=81,_1869_03,source_b,,,v.6-7 1869-72.pdf
MASTER_00101,1869-70,NS 6,"Simon, G. E.",53,,,Economics,Sur les Institutions de Crédit en Chine,1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00102,1869-70,NS 6,"Mayers, W. F.",73,73-103,,Military art and science,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare",1869,1870,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916355&seq=109,_1869_05,source_b,,,v.6-7 1869-72.pdf
MASTER_00103,1869-70,NS 6,"Himly, K.",105,105-121,,Manners and customs,The Chinese game of chess as compared with that practised by Western nations,1869,1870,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916355&seq=141,_1869_06,source_b,,,v.6-7 1869-72.pdf
MASTER_00104,1869-70,NS 6,"Macgowan, D. J.",,,,Ethnology,Notes on the Chihkiang Miautsz,1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00105,1869-70,NS 6,"Moule, G. E.",129,129-137,,Education,"Notes on the provincial examination of Chekiang, 1870, with a version of one of the essays",1869,1870,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916355&seq=165,_1869_08,source_b,,,v.6-7 1869-72.pdf
MASTER_00106,1869-70,NS 6,"Smith, F. P.",129,,,Agriculture,Chinese chemical manufactures,1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00107,1869-70,NS 6,"Williams, S. W.",149,,,History,Journal of a mission to Lewchew in 1801,1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00108,1869-70,NS 6,"McCartee, D. B.",,,,Antiquities,"Trans. of the inscriptions upon a stone tablet commemorating the repairs upon the Ch'eng Hwang Miau, or Temple of the Tutelary Deity of the City",1869,1870,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00109,1869-70,NS 6,,173,,,Contemporary History,"Retrospect of events in China and Japan, 1869, 1870",1869,1870,n,,,,,,,,v.6-7 1869-72.pdf
