time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Natural Sciences,Astronomy,opinions,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Astronomy,regard,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,wild,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,silkworms,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,outlying,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,coal-fields,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,south-eastern,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,seang,1,1,0.09090909090909091,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,kh'e,1,1,0.09090909090909091,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,kwangsi,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,geological,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,inscription,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,hangkow,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,recording,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,changing,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,roman,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,church,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,hao,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,chiefly,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,portion,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,bed,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,supply,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"Chronology, Historical",chronological,1,1,0.5,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"Chronology, Historical",tables,1,1,0.5,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,tsiu,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,tsuen,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,taeping,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,carte,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
