master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00108,1869-70,NS 6,"McCartee, D. B.","McCartee, D. B.",Antiquities,Arts and Archaeology,Antiquities,Antiquities,antiquities,antiquities,"Trans. of the inscriptions upon a stone tablet commemorating the repairs upon the Ch'eng Hwang Miau, or Temple of the Tutelary Deity of the City",1869,1870,,1868-1877,1,1,1.0,
MASTER_00109,1869-70,NS 6,,,"History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,"Retrospect of events in China and Japan, 1869, 1870",1869,1870,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00110,1869-70,NS 6,North China Daily News,North China Daily News,Manners and customs,Anthropology and Social Customs,Manners and customs,Manners and customs,manners and customs,manners,Example of Chinese torture,1869,1870,,1868-1877,1,1,1.0,Corrected exact old subject: Manners and customs
MASTER_00111,1871-72,NS 7,"Mayers, W. F.","Mayers, W. F.",History,History and Chronology,History,History,history,history,A Historical and statistical sketch of the island of Hainan,1871,1872,,1868-1877,1,1,1.0,
MASTER_00112,1871-72,NS 7,"Swinhoe, R.","Swinhoe, R.",Ethnology,Anthropology and Social Customs,Ethnology,Ethnology,ethnology,ethnology,The Aborigines of Hainan,1871,1872,,1868-1877,1,1,1.0,
MASTER_00113,1871-72,NS 7,"Swinhoe, R.","Swinhoe, R.",Travel,Geography and Travel,Travel,Travel,travel,travel,Narrative of an exploring visit to Hainan,1871,1872,,1868-1877,1,1,1.0,
MASTER_00114,1871-72,NS 7,"Stent, G. C.","Stent, G. C.",Music,Arts and Archaeology,Music,Music,music,music,Chinese lyrics,1871,1872,,1868-1877,1,1,1.0,
MASTER_00115,1871-72,NS 7,"Kingsmill, T. W.","Kingsmill, T. W.",History,History and Chronology,History,History,history,history,"The Mythical origin of the Chow or Djow Dynasty, as set forth in the ""Shoo-king""",1871,1872,"THE CHOW OR DJOW DYNASTY, Zhou Dynasty, <U+5468><U+671D>; THE SHOO-KING. Shujing or Shangshu, <U+300A><U+4E66><U+7ECF><U+300B><U+6216><U+4F5C><U+300A><U+5C1A><U+4E66><U+300B>",1868-1877,1,1,1.0,
MASTER_00116,1871-72,NS 7,"Moule, G. E.","Moule, G. E.",Science,Natural Sciences,Science,Science,science,science,The Obligations of China to Europe in the matter of physical science acknowledged by eminent Chinese,1871,1872,,1868-1877,1,1,1.0,Corrected exact old subject: Science
MASTER_00117,1871-72,NS 7,"Watters, T.","Watters, T.",History,History and Chronology,History,"History, Ancient","history, ancient",history,The Life and works of Han Yu or Han Wen-Kung,1871,1872,"HAN Yu OR HAN WeN-KUNG, Han Yu or Han Wengong, <U+97E9><U+6108><U+FF0C><U+4EBA><U+79F0><U+97E9><U+6587><U+516C>",1868-1877,2,2,0.5,
MASTER_00117,1871-72,NS 7,"Watters, T.","Watters, T.","History, Ancient",History and Chronology,"History, Ancient","History, Ancient","history, ancient",ancient,The Life and works of Han Yu or Han Wen-Kung,1871,1872,"HAN Yu OR HAN WeN-KUNG, Han Yu or Han Wengong, <U+97E9><U+6108><U+FF0C><U+4EBA><U+79F0><U+97E9><U+6587><U+516C>",1868-1877,2,2,0.5,"Corrected split from History, Ancient"
MASTER_00118,1871-72,NS 7,"Stent, G. C.","Stent, G. C.",Mythology,Anthropology and Social Customs,Mythology,Mythology,mythology,mythology,Chinese legends,1871,1872,,1868-1877,1,1,1.0,
MASTER_00119,1871-72,NS 7,"Thompson, J.","Thompson, J.",Archaeology,Arts and Archaeology,Archaeology,Archaeology,archaeology,archaeology,On the Antiquities of Cambodia,1871,1872,,1868-1877,1,1,1.0,
MASTER_00120,1871-72,NS 7,"David, Le P. A.","David, Le P. A.",Zoology,Natural Sciences,Zoology,Zoology,zoology,zoology,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale,1871,1872,,1868-1877,1,1,1.0,
MASTER_00121,1871-72,NS 7,"Macgowan, D. J.","Macgowan, D. J.",Medicine,Natural Sciences,Medicine,Medicine,medicine,medicine,Chinese use of shad in consumption and iodine Plants in scrofula,1871,1872,,1868-1877,1,1,1.0,
MASTER_00122,1871-72,NS 7,"Macgowan, D. J.","Macgowan, D. J.",Medicine,Natural Sciences,Medicine,Medicine,medicine,medicine,"On the "" Mutton wine "" of the Mongols and analagous preparations of the Chinese",1871,1872,,1868-1877,1,1,1.0,
MASTER_00123,1871-72,NS 7,Editorial Committee,Editorial Committee,"History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,"Retrospect of events in China, etc., 1871, 1872",1871,1872,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
