time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1918-1927,Geography and Travel,Asia,3.0,3,3,3,137.0
1918-1927,Geography and Travel,Geography,5.0,5,5,5,354.257142857143
1918-1927,Geography and Travel,Travel,7.0,7,5,5,270.0
1918-1927,History and Chronology,Biography,3.0,3,3,3,137.0
1918-1927,History and Chronology,History,3.0,3,3,3,363.9761904761905
1918-1927,Literature and Language,Literature,19.0,19,11,11,885.5
1918-1927,Natural Sciences,Agriculture,6.0,6,3,3,137.0
1918-1927,Natural Sciences,Botany,3.0,3,3,3,137.0
1918-1927,Natural Sciences,Geology,5.0,5,5,5,22.0
1918-1927,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1918-1927,Natural Sciences,Zoology,16.0,16,10,10,756.0
1918-1927,"Politics, Government, and Law",Political science,1.0,1,1,1,0.0
1918-1927,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1918-1927,Religion and Philosophy,Christianity,3.0,3,2,2,2.25
1918-1927,Religion and Philosophy,Islam,3.0,3,2,2,1.0
1918-1927,Religion and Philosophy,Philosophy,5.0,5,5,5,270.0
1918-1927,Religion and Philosophy,Religion,7.0,7,7,7,1094.7428571428572
1918-1927,Religion and Philosophy,Taoism,3.0,3,2,2,69.0
1928-1937,Anthropology and Social Customs,Anthropology,2.0,2,2,2,1.0
1928-1937,Anthropology and Social Customs,Ethnology,3.0,3,3,3,99.0
1928-1937,Anthropology and Social Customs,Folklore,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1928-1937,Arts and Archaeology,Archaeology,7.0,7,5,5,289.5
1928-1937,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Painting,3.0,3,2,2,50.0
1928-1937,Arts and Archaeology,Porcelain,3.0,3,2,2,50.0
1928-1937,"Economy, Trade, and Technology",Economics,3.0,3,3,3,3.0
1928-1937,Education,Education,1.0,1,1,1,0.0
1928-1937,Geography and Travel,Asia,2.0,2,2,2,1.0
1928-1937,Geography and Travel,Geography,9.0,9,9,9,533.5
1928-1937,Geography and Travel,Travel,4.0,4,3,3,146.0
1928-1937,History and Chronology,Biography,1.0,1,1,1,0.0
1928-1937,History and Chronology,"Chronology, Historical",2.0,2,1,1,0.0
1928-1937,History and Chronology,History,9.0,9,9,9,728.0
1928-1937,Literature and Language,Language and languages,2.0,2,2,2,1.0
1928-1937,Literature and Language,Literature,8.0,8,8,8,519.0
1928-1937,Natural Sciences,Agriculture,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Astronomy,2.0,2,2,2,50.0
1928-1937,Natural Sciences,Botany,3.0,3,3,3,3.0
1928-1937,Natural Sciences,Geology,2.0,2,1,1,0.0
1928-1937,Natural Sciences,Medicine,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Zoology,1.0,1,1,1,0.0
1928-1937,"Politics, Government, and Law",Political science,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Christianity,4.0,4,1,1,0.0
1928-1937,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Islam,2.0,2,1,1,0.0
1928-1937,Religion and Philosophy,Philosophy,4.0,4,4,4,193.0
1928-1937,Religion and Philosophy,Religion,5.0,5,4,4,6.0
1938-1948,Anthropology and Social Customs,Ethnology,3.0,3,3,3,17.0
1938-1948,Arts and Archaeology,Archaeology,5.0,5,5,5,30.0
1938-1948,"Economy, Trade, and Technology",Economics,1.0,1,1,1,0.0
1938-1948,Geography and Travel,Geography,1.0,1,1,1,0.0
1938-1948,History and Chronology,History,3.0,3,3,3,25.0
1938-1948,Literature and Language,Language and languages,4.0,4,4,4,36.0
1938-1948,Literature and Language,Literature,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Medicine,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Zoology,2.0,2,2,2,9.0
1938-1948,"Politics, Government, and Law",Law,1.0,1,1,1,0.0
1938-1948,Religion and Philosophy,Christianity,2.0,2,2,2,1.0
1938-1948,Religion and Philosophy,Religion,5.0,5,5,5,69.0
