from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_151,S_23,"Edgar, J. H.",Archaeology,Arts and Archaeology,MASTER_00388,Stone implements on the Upper Yangtze and Min Rivers *,NS 48,1917,1917,1908-1917,1,Archaeology
A_152,S_6,"Couling, S.",Literature,Literature and Language,MASTER_00383,"Morrison Library, The G. E.",NS 48,1917,1917,1908-1917,1,Literature
A_167,S_33,"Lanning, G.",Language and languages,Literature and Language,MASTER_00379,"Kinship of the English and Chinese languages, The",NS 48,1917,1917,1908-1917,1,Language and languages
A_168,S_2,"Ros, G.",Numismatics,Arts and Archaeology,MASTER_00374,Coins of the Republic of China *,NS 48,1917,1917,1908-1917,1,Numismatics
A_169,S_39,"Segalen, V.",Sculpture,Arts and Archaeology,MASTER_00385,Recent discoveries in ancient Chinese sculpture *,NS 48,1917,1917,1908-1917,1,Sculpture
A_170,S_30,"Wright, H. K.",Religion,Religion and Philosophy,MASTER_00386,"Religious element in the Tso Chuan, The",NS 48,1917,1917,1908-1917,1,Religion
A_131,S_38,"Ferguson, J. C.",Painting,Arts and Archaeology,MASTER_00373,""" Ink Remains "" by An I - chou, See also N. Q.",NS 48,1917,1917,1908-1917,1,Painting
A_163,S_9,"Chatley, H.",Hydrology,Natural Sciences,MASTER_00390,River problems in China *,NS 49,1918,1918,1918-1927,1,Hydrology
A_166,S_11,"Laver, H. E.",Zoology,Natural Sciences,MASTER_00391,"Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916",NS 49,1918,1918,1918-1927,1,Zoology
A_171,S_40,"Zwemer, S. M.",Islam,Religion and Philosophy,MASTER_00392,Animistic elements in Moslem prayer,NS 49,1918,1918,1918-1927,1,Islam
A_172,S_35,"Ling, P. C.",Taoism,Religion and Philosophy,MASTER_00393,"Eight Immortals of the Taoist religion, The",NS 49,1918,1918,1918-1927,1,Taoism
A_173,S_30,Hutson J.,Religion,Religion and Philosophy,MASTER_00397,"Domestic altar, The",NS 49,1918,1918,1918-1927,1,Religion
A_131,S_38,"Ferguson, J. C.",Painting,Arts and Archaeology,MASTER_00398,Ku K'ai - chih's scroll in the British Museum *,NS 49,1918,1918,1918-1927,1,Painting
A_174,S_8,"Bruce, J. P.",Philosophy,Religion and Philosophy,MASTER_00399,"Theistic import of the Sung philosophy, The",NS 49,1918,1918,1918-1927,1,Philosophy
A_175,S_30,"Morgan, E.",Religion,Religion and Philosophy,MASTER_00400,"Case of ritualism, A",NS 49,1918,1918,1918-1927,1,Religion
A_176,S_26,"Kliene, C.",History,History and Chronology,MASTER_00401,Chinese puzzledom,NS 49,1918,1918,1918-1927,1,History
A_177,S_5,"Edmunds, C. K.",Travel,Geography and Travel,MASTER_00402,Thirty thousand miles in China *,NS 50,1919,1919,1918-1927,1,Travel
A_178,S_6,"Williams, C. A. S.",Literature,Literature and Language,MASTER_00403,Chinese metaphorical zoology,NS 50,1919,1919,1918-1927,1,Literature
A_154,S_3,"Lobingier, C. S.",Ethnology,Anthropology and Social Customs,MASTER_00404,"Early Malays and their neighbours, The",NS 50,1919,1919,1918-1927,1,Ethnology
A_179,S_13,"Skvortzow, B. W.",Agriculture,Natural Sciences,MASTER_00405,"Notes on the agriculture, botany and the zoology of China, Sections i - xxxii *",NS 50,1919,1919,1918-1927,1,Agriculture
A_176,S_6,"Kliene, C.",Literature,Literature and Language,MASTER_00406,"Land of Peach Bloom, The",NS 50,1919,1919,1918-1927,1,Literature
A_131,S_6,"Ferguson, J. C.",Literature,Literature and Language,MASTER_00407,Recent books by a Chinese scholar,NS 50,1919,1919,1918-1927,1,Literature
A_180,S_13,Yan Taz Chiu,Agriculture,Natural Sciences,MASTER_00408,Chemical industry in Kwangtung Province,NS 50,1919,1919,1918-1927,1,Agriculture
A_181,S_11,"Kellogg, C. R.",Zoology,Natural Sciences,MASTER_00409,"List of the birds in the Museum of the Anglo - Chinese College of Foochow, China",NS 50,1919,1919,1918-1927,1,Zoology
A_182,S_11,"Moore, A.",Zoology,Natural Sciences,MASTER_00411,"Attractions of entomology, The",NS 50,1919,1919,1918-1927,1,Zoology
A_183,S_22,"Gee, N. G.",Botany,Natural Sciences,MASTER_00412,"Beginning of the study of the flora and fauna of Soochow and vicinity, A",NS 50,1919,1919,1918-1927,1,Botany
A_184,S_5,"King, G. E.",Travel,Geography and Travel,MASTER_00413,Notes on Kansu,NS 50,1919,1919,1918-1927,1,Travel
A_185,S_3,"Dodd, W. C.",Ethnology,Anthropology and Social Customs,MASTER_00415,"Relation of Chinese and Siamese, The *",NS 51,1920,1920,1918-1927,1,Ethnology
A_175,S_8,"Morgan, E.",Philosophy,Religion and Philosophy,MASTER_00417,"Destiny, fate",NS 51,1920,1920,1918-1927,1,Philosophy
A_163,S_18,"Chatley, H.",Geology,Natural Sciences,MASTER_00418,China's petrified sun - rays,NS 51,1920,1920,1918-1927,1,Geology
A_167,S_26,"Lanning, G.",History,History and Chronology,MASTER_00420,Names and nicknames of the Shanghai settlements,NS 51,1920,1920,1918-1927,1,History
A_165,S_6,"Ayscough, F. W.",Literature,Literature and Language,MASTER_00421,Chinese poetry and its connotations *,NS 51,1920,1920,1918-1927,1,Literature
A_179,S_13,"Skvortzow, B. W.",Agriculture,Natural Sciences,MASTER_00422,"Notes on the agriculture, botany and the zoology of China, Sections xxxiii- xxxviii *",NS 51,1920,1920,1918-1927,1,Agriculture
A_186,S_40,"Mason, I.",Islam,Religion and Philosophy,MASTER_00423,"Chinese life of Mohammed, A",NS 51,1920,1920,1918-1927,1,Islam
A_175,S_35,"Morgan, E.",Taoism,Religion and Philosophy,MASTER_00424,"Operations and manifestations of the Tao exemplified in history, The",NS 52,1921,1921,1918-1927,1,Taoism
