master_id,time_window,author_raw,title,year_start,term
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,overland
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,trip
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,hunan
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,canton
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,hankow
MASTER_00036,1858-1867,"Wylie, A.","Overland journey from St. Petersburg to Pekin, The",1864,overland
MASTER_00036,1858-1867,"Wylie, A.","Overland journey from St. Petersburg to Pekin, The",1864,journey
MASTER_00036,1858-1867,"Wylie, A.","Overland journey from St. Petersburg to Pekin, The",1864,petersburg
MASTER_00036,1858-1867,"Wylie, A.","Overland journey from St. Petersburg to Pekin, The",1864,pekin
MASTER_00037,1858-1867,"Henderson, J.","Medicine and medical practice of the Chinese, The",1864,medicine
MASTER_00037,1858-1867,"Henderson, J.","Medicine and medical practice of the Chinese, The",1864,medical
MASTER_00037,1858-1867,"Henderson, J.","Medicine and medical practice of the Chinese, The",1864,practice
MASTER_00038,1858-1867,"Canny, J. M.",The Sea-board of Russian Manchuria,1864,sea-board
MASTER_00038,1858-1867,"Canny, J. M.",The Sea-board of Russian Manchuria,1864,russian
MASTER_00038,1858-1867,"Canny, J. M.",The Sea-board of Russian Manchuria,1864,manchuria
MASTER_00039,1858-1867,"Jamieson, R. A.","Retrospect of events in the north of China, 1861-1864",1864,retrospect
MASTER_00039,1858-1867,"Jamieson, R. A.","Retrospect of events in the north of China, 1861-1864",1864,events
MASTER_00039,1858-1867,"Jamieson, R. A.","Retrospect of events in the north of China, 1861-1864",1864,north
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,impressions
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,lapidary
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,inscription
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,keu
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,yung
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,kwan
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,great
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,wall
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,near
MASTER_00040,1858-1867,"Wylie, A.","Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,peking
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,condition
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,sea
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,wall
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,head
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,hang
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,chow
MASTER_00041,1858-1867,Edwards,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,bay
MASTER_00042,1858-1867,"Wilds, E.",Report on the appearance of the Rugged Islands,1864,appearance
MASTER_00042,1858-1867,"Wilds, E.",Report on the appearance of the Rugged Islands,1864,rugged
MASTER_00042,1858-1867,"Wilds, E.",Report on the appearance of the Rugged Islands,1864,islands
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,barometric
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,thermometric
