time_window,term,term_count,article_count,share,idf,tfidf
1858-1867,lew,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,specimen,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,font,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,movable,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,type,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,belonging,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,presbyterian,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,quang,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,beasts,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,annals,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,ocean,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,sorgo,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,sugar,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,cane,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,kambodia,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,hieroglyphic,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,written,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,grass,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,performed,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,obsequies,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,takee,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,traces,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,judicium,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,dei,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,ordeal,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,exhibiting,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,pall,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,foo,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,manuscript,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,opinions,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,regard,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,wild,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,silkworms,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,outlying,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,coal-fields,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,south-eastern,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,seang,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,kh'e,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,kwangsi,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,geological,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,hangkow,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,recording,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,changing,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,roman,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,church,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,hao,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,chiefly,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,portion,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,bed,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,supply,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,chronological,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,tsiu,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,tsuen,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,taeping,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,carte,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,agricole,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,generale,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,l'empire,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,texte,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,preface,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,legende,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,repertoire,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,pigeons,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,doves,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,bituminous,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,mines,1,1,0.002785515320334262,2.6094379124341005,2.6094379124341005
1858-1867,bibliography,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,species,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,found,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,small,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,miau,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,past,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,centuries,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,sin,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,criminal,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,resources,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,weather,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,physical,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,climate,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,russian,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,manchuria,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,kwan,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,condition,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,hang,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,bay,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,islands,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,mission,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,agricultural,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,mongols,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,lan,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,respecting,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,funeral,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,rites,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,use,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,via,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,description,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,examination,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,hall,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,intercourse,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,lewchew,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,short,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,game,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,chu,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,catholic,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,communications,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,entomology,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,recorded,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,chinois,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,notions,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,flood,1,1,0.002785515320334262,2.203972804325936,2.203972804325936
1858-1867,ancient,2,2,0.005571030640668524,1.0,2.0
1858-1867,eastern,1,1,0.002785515320334262,1.916290731874155,1.916290731874155
1858-1867,musical,1,1,0.002785515320334262,1.916290731874155,1.916290731874155
1858-1867,yangtze,1,1,0.002785515320334262,1.916290731874155,1.916290731874155
1858-1867,natural,1,1,0.002785515320334262,1.916290731874155,1.916290731874155
1858-1867,passage,1,1,0.002785515320334262,1.916290731874155,1.916290731874155
