master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00010,1859,OS 1 Part 2,"Ward, J.","Ward, J.",Hydrology,Natural Sciences,Hydrology,hydrology,hydrology,hydrology,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1859,"YANG-TSZE KIANG Yangtzi River, <U+626C><U+5B50><U+6C5F>, <U+957F><U+6C5F><U+FF1B>WOOSUNG, wusong, <U+5434><U+6DDE>; HANKOW, Hankou, <U+6C49><U+53E3>",1858-1867,1,1,1.0,
MASTER_00011,1859,OS 1 Part 2,"Pompe van Meedervoort, J. L. C.","Pompe van Meedervoort, J. L. C.",Education,Education,Education,education,education,education,On the Study of the Natural Sciences in Japan,1859,1859,,1858-1867,1,1,1.0,
MASTER_00012,1859,OS 1 Part 2,"Fedorovitch, J.","Fedorovitch, J.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,1859,,1858-1867,1,1,1.0,
MASTER_00013,1859,OS 1 Part 2,"Williams, S. W.","Williams, S. W.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,Lecture on Japan,1859,1859,,1858-1867,1,1,1.0,
MASTER_00014,1859,OS 1 Part 2,"Swinhoe, R.","Swinhoe, R.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,Narrative of a visit to the island of Formosa,1859,1859,"Formosa, the old name of Taiwan, <U+53F0><U+6E7E>",1858-1867,1,1,1.0,
MASTER_00015,1859,OS 1 Part 2,"Swinhoe, R.","Swinhoe, R.",Zoology,Natural Sciences,Zoology,zoology,zoology,zoology,Notes on some new species of birds found on the island of Formosa,1859,1859,"Formosa, the old name of Taiwan, <U+53F0><U+6E7E>",1858-1867,1,1,1.0,
MASTER_00016,1859,OS 1 Part 3,"Swinhoe, R.","Swinhoe, R.",Zoology,Natural Sciences,Zoology,zoology,zoology,zoology,The Small Chinese Lark,1859,1859,,1858-1867,1,1,1.0,
MASTER_00017,1859,OS 1 Part 3,"Macgowan, D. J.","Macgowan, D. J.",Law,"Politics, Government, and Law",Law,law,law,law,On the Banishment of Criminals in China,1859,1859,,1858-1867,1,1,1.0,
MASTER_00018,1859,OS 1 Part 3,"Robertson, D. B.","Robertson, D. B.",Agriculture,Natural Sciences,Agriculture,"agriculture, industry and trade","agriculture, industry and trade",agriculture,Cotton in China,1859,1859,,1858-1867,3,3,0.333333333333333,
MASTER_00018,1859,OS 1 Part 3,"Robertson, D. B.","Robertson, D. B.",Industries,"Economy, Trade, and Technology",Industries,"agriculture, industry and trade","agriculture, industry and trade",industry,Cotton in China,1859,1859,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00018,1859,OS 1 Part 3,"Robertson, D. B.","Robertson, D. B.",Commerce,"Economy, Trade, and Technology",Commerce,"agriculture, industry and trade","agriculture, industry and trade",trade,Cotton in China,1859,1859,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00019,1859,OS 1 Part 3,,,Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,"Meteorological tables, from observations made in Japan",1859,1859,,1858-1867,1,1,1.0,
MASTER_00020,1859,OS 1 Part 3,"Edkins, J.","Edkins, J.",Mythology,Anthropology and Social Customs,Mythology,mythology,mythology,mythology,A Sketch of the Tauist Mythology in its modern form,1859,1859,,1858-1867,1,1,1.0,
MASTER_00021,1859,OS 1 Part 3,"Williams, S. W.","Williams, S. W.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",contemporary history,contemporary history,contemporary history,Narrative of the American Embassy to Peking,1859,1859,,1858-1867,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00022,1859,OS 1 Part 3,"Bridgman, E. C.","Bridgman, E. C.",Ethnology,Anthropology and Social Customs,Ethnology,ethnology and anthropology,ethnology and anthropology,ethnology,Sketches of the Miau - tsze,1859,1859,,1858-1867,2,2,0.5,
MASTER_00022,1859,OS 1 Part 3,"Bridgman, E. C.","Bridgman, E. C.",Anthropology,Anthropology and Social Customs,Anthropology,ethnology and anthropology,ethnology and anthropology,anthropology,Sketches of the Miau - tsze,1859,1859,,1858-1867,2,2,0.5,
MASTER_00023,1860,OS 2 Part 1,"Edkins, J.","Edkins, J.",Hydrology,Natural Sciences,Hydrology,hydrology,hydrology,hydrology,On the ancient mouths of Yangts<U+00EF> kiang,1860,1860,,1858-1867,1,1,1.0,
MASTER_00024,1860,OS 2 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Botany,Natural Sciences,Botany,"botany, geology, hydrology and meteorology","botany, geology, hydrology and meteorology",botany,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,,1858-1867,4,4,0.25,
MASTER_00024,1860,OS 2 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Geology,Natural Sciences,Geology,"botany, geology, hydrology and meteorology","botany, geology, hydrology and meteorology",geology,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,,1858-1867,4,4,0.25,
MASTER_00024,1860,OS 2 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Hydrology,Natural Sciences,Hydrology,"botany, geology, hydrology and meteorology","botany, geology, hydrology and meteorology",hydrology,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,,1858-1867,4,4,0.25,
MASTER_00024,1860,OS 2 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Meteorology,Natural Sciences,Meteorology,"botany, geology, hydrology and meteorology","botany, geology, hydrology and meteorology",meteorology,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,,1858-1867,4,4,0.25,
MASTER_00025,1860,OS 2 Part 1,"Edkins, J.","Edkins, J.",Confucianism,Religion and Philosophy,Confucianism,Confucianism,confucianism,confucianism,A Sketch of the Life of Confucius,1860,1860,,1858-1867,1,1,1.0,
MASTER_00026,1860,OS 2 Part 1,"John, G.","John, G.",Philosophy,Religion and Philosophy,Philosophy,philosophy,philosophy,philosophy,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,1860,,1858-1867,1,1,1.0,
MASTER_00027,1860,OS 2 Part 1,"Pompe van Meedervoort, J. L. C.","Pompe van Meedervoort, J. L. C.",Language and languages,Literature and Language,Language and languages,literature and language,literature and language,literature and language,Dissection of a Japanese criminal,1860,1860,,1858-1867,1,1,1.0,Protected compound mapped to LCSH language term
MASTER_00028,1860,OS 2 Part 1,"Shock, W. H.","Shock, W. H.",Geology,Natural Sciences,Geology,geology,geology,geology,"Notes on the mineral resources of Japan, etc.",1860,1860,,1858-1867,1,1,1.0,
MASTER_00029,1860,OS 2 Part 1,Editorial Committee,Editorial Committee,"History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",contemporary history,contemporary history,contemporary history,"Record of occurrences, 1860",1860,1860,,1858-1867,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00030,1860,OS 2 Part 1,"Shadwell, C. F. A.","Shadwell, C. F. A.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,1860,,1858-1867,1,1,1.0,
MASTER_00031,1860,OS 2 Part 1,"Courtney, C. F. A.","Courtney, C. F. A.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,Temperature of Hakodadi,1860,1860,,1858-1867,1,1,1.0,
MASTER_00032,1860,OS 2 Part 1,Editorial Committee,Editorial Committee,Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,Winds and weather at Chefoo,1860,1860,,1858-1867,1,1,1.0,
MASTER_00033,1864,NS 1,"Lindau, R.","Lindau, R.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,"Notes on the city of Yedo, the capital of Japan *",1864,1864,,1858-1867,1,1,1.0,
MASTER_00034,1864,NS 1,"Henderson, J.","Henderson, J.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,Notes on some of the physical causes which modify climate,1864,1864,,1858-1867,1,1,1.0,
MASTER_00035,1864,NS 1,"Dickson, W.","Dickson, W.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,"Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,1864,"Hankow, Hankou, <U+6C49><U+53E3>",1858-1867,1,1,1.0,
MASTER_00036,1864,NS 1,"Wylie, A.","Wylie, A.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,"Overland journey from St. Petersburg to Pekin, The",1864,1864,"Pekin, <U+5317><U+4EAC>",1858-1867,1,1,1.0,
MASTER_00037,1864,NS 1,"Henderson, J.","Henderson, J.",Medicine,Natural Sciences,Medicine,medicine,medicine,medicine,"Medicine and medical practice of the Chinese, The",1864,1864,,1858-1867,1,1,1.0,
MASTER_00038,1864,NS 1,"Canny, J. M.","Canny, J. M.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,The Sea-board of Russian Manchuria,1864,1864,,1858-1867,1,1,1.0,
MASTER_00039,1864,NS 1,"Jamieson, R. A.","Jamieson, R. A.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",contemporary history,contemporary history,contemporary history,"Retrospect of events in the north of China, 1861-1864",1864,1864,,1858-1867,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00040,1864,NS 1,"Wylie, A.","Wylie, A.",Inscriptions,Inscriptions and Miscellaneous,Inscriptions,inscriptions,inscriptions,inscriptions,"Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,1864,,1858-1867,1,1,1.0,Reviewed category: inscriptions
MASTER_00041,1864,NS 1,Edwards,Edwards,Hydrology,Natural Sciences,Hydrology,hydrology,hydrology,hydrology,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,1864,,1858-1867,1,1,1.0,
MASTER_00042,1864,NS 1,"Wilds, E.","Wilds, E.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,Report on the appearance of the Rugged Islands,1864,1864,,1858-1867,1,1,1.0,
MASTER_00043,1864,NS 1,Hollingworth and Piry,Hollingworth and Piry,Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,1864,,1858-1867,1,1,1.0,
MASTER_00044,1864,NS 1,"Gamble, W.","Gamble, W.",Language and languages,Literature and Language,Language and languages,literature and language,literature and language,literature and language,Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,1864,,1858-1867,1,1,1.0,Protected compound mapped to LCSH language term
MASTER_00045,1865,NS 2,Lamprey,Lamprey,Geology,Natural Sciences,Geology,geology,geology,geology,Notes on the geology of the Great Plain *,1865,1865,,1858-1867,1,1,1.0,
MASTER_00046,1865,NS 2,"Kingsmill, T. W.","Kingsmill, T. W.",Geology,Natural Sciences,Geology,geology,geology,geology,A Sketch of the Geology of Quang -tung Province,1865,1865,"Quang-Tang Province, Currently Guangdong Province, <U+5E7F><U+4E1C><U+7701>",1858-1867,1,1,1.0,
MASTER_00047,1865,NS 2,"Swinhoe, R.","Swinhoe, R.",Zoology,Natural Sciences,Zoology,zoology,zoology,zoology,Birds and beasts of Formosa,1865,1865,"Formosa, the old name of Taiwan, <U+53F0><U+6E7E>",1858-1867,1,1,1.0,
MASTER_00048,1865,NS 2,"Brown, S. R.","Brown, S. R.",Christianity,Religion and Philosophy,Christianity,Christianity,christianity,christianity,Annals of the Western Ocean,1865,1865,,1858-1867,1,1,1.0,
MASTER_00049,1865,NS 2,"Collins, V. D.","Collins, V. D.",Botany,Natural Sciences,Botany,botany,botany,botany,"Sorgo, or Northern Chinese sugar cane",1865,1865,,1858-1867,1,1,1.0,
MASTER_00050,1865,NS 2,"Edkins, J.","Edkins, J.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,A Visit to the Agricultural Mongols,1865,1865,,1858-1867,1,1,1.0,
MASTER_00051,1865,NS 2,Bastion,Bastion,Archaeology,Arts and Archaeology,Archaeology,archaeology,archaeology,archaeology,The Remains of Ancient Kambodia,1865,1865,"Cambodia, <U+67EC><U+57D4><U+5BE8>",1858-1867,1,1,1.0,
MASTER_00052,1865,NS 2,"Kingsmill, T. W.","Kingsmill, T. W.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",contemporary history,contemporary history,contemporary history,Retrospect of events in China and Japan,1865,1865,,1858-1867,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00053,1864,NS 1,"Jamieson, R. A.","Jamieson, R. A.",Language and languages,Literature and Language,Language and languages,literature and language,literature and language,literature and language,The Hieroglyphic Character of the Chinese written Lan. 113,1864,1864,,1858-1867,1,1,1.0,Protected compound mapped to LCSH language term
MASTER_00054,1864,NS 1,"Jarvie, R.","Jarvie, R.",Agriculture,Natural Sciences,Agriculture,"agriculture, industry, and trade","agriculture, industry, and trade",agriculture,Respecting China grass,1864,1864,,1858-1867,3,3,0.333333333333333,
MASTER_00054,1864,NS 1,"Jarvie, R.","Jarvie, R.",Industries,"Economy, Trade, and Technology",Industries,"agriculture, industry, and trade","agriculture, industry, and trade",industry,Respecting China grass,1864,1864,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00054,1864,NS 1,"Jarvie, R.","Jarvie, R.",Commerce,"Economy, Trade, and Technology",Commerce,"agriculture, industry, and trade","agriculture, industry, and trade",trade,Respecting China grass,1864,1864,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00055,1864,NS 1,"Butcher, C. H.","Butcher, C. H.",Manners and customs,Anthropology and Social Customs,Manners and customs,social customs,social customs,social customs,Notes on the funeral rites performed at the obsequies of Takee,1864,1864,,1858-1867,1,1,1.0,LCSH standard form
MASTER_00056,1864,NS 1,"Stronach, W. T.","Stronach, W. T.",Law,"Politics, Government, and Law",Law,law,law,law,"Traces of the Judicium dei, or ordeal in Chinese law",1864,1864,,1858-1867,1,1,1.0,
MASTER_00057,1864,NS 1,Lamprey,Lamprey,Chemistry,Natural Sciences,Chemistry,chemistry,chemistry,chemistry,"Remarks on the "" water we use "" in Shanghai",1864,1864,,1858-1867,1,1,1.0,
MASTER_00058,1864,NS 1,"Jamieson, R. A.","Jamieson, R. A.",Buddhism,Religion and Philosophy,Buddhism,Buddhism and social customs,buddhism and social customs,buddhism,Remarks upon exhibiting a To - lo Pall to the Society,1864,1864,,1858-1867,2,2,0.5,
MASTER_00058,1864,NS 1,"Jamieson, R. A.","Jamieson, R. A.",Manners and customs,Anthropology and Social Customs,Manners and customs,Buddhism and social customs,buddhism and social customs,social customs,Remarks upon exhibiting a To - lo Pall to the Society,1864,1864,,1858-1867,2,2,0.5,LCSH standard form
MASTER_00059,1864,NS 1,"Martin, W. A. P.","Martin, W. A. P.",Judaism,Religion and Philosophy,Judaism,Judaism,judaism,judaism,"Account of an overland journey from Peking to Shanghai, February and March 1865",1864,1864,,1858-1867,1,1,1.0,
MASTER_00060,1865,NS 2,"Martin, W. A. P.","Martin, W. A. P.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,"Account of an overland journey from Peking to Shanghai, February and March 1866",1865,1865,,1858-1867,1,1,1.0,
MASTER_00061,1866,NS 3,"Williamson, A.","Williamson, A.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,1866,,1858-1867,1,1,1.0,
MASTER_00062,1866,NS 3,,,Travel,Geography and Travel,Travel,travel,travel,travel,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,1866,,1858-1867,1,1,1.0,
MASTER_00063,1866,NS 3,,,Literature,Literature and Language,Literature,Literature; History,literature; history,literature,An account of a translation of a Japanese Manuscript,1866,1866,,1858-1867,2,2,0.5,
MASTER_00063,1866,NS 3,,,History,History and Chronology,History,Literature; History,literature; history,history,An account of a translation of a Japanese Manuscript,1866,1866,,1858-1867,2,2,0.5,
MASTER_00064,1866,NS 3,"Keer, J. G.","Keer, J. G.",Architecture,Arts and Archaeology,Architecture,architecture and education,architecture and education,architecture,Description of the Great Examination Hall at Canton,1866,1866,,1858-1867,2,2,0.5,
MASTER_00064,1866,NS 3,"Keer, J. G.","Keer, J. G.",Education,Education,Education,architecture and education,architecture and education,education,Description of the Great Examination Hall at Canton,1866,1866,,1858-1867,2,2,0.5,
MASTER_00065,1866,NS 3,"Wylie, A.","Wylie, A.",Astronomy,Natural Sciences,Astronomy,astronomy,astronomy,astronomy,Notes on the opinions of the Chinese with regard to eclipses,1866,1866,,1858-1867,1,1,1.0,
MASTER_00066,1866,NS 3,"McCartee, D. B.","McCartee, D. B.",Zoology,Natural Sciences,Zoology,zoology,zoology,zoology,On some Wild Silkworms of China,1866,1866,,1858-1867,1,1,1.0,
MASTER_00067,1866,NS 3,"Williams, S. W.","Williams, S. W.",History,History and Chronology,History,history,history,history,Political intercourse between China and Lewchew,1866,1866,,1858-1867,1,1,1.0,
MASTER_00068,1866,NS 3,"Kingsmill, T. W.","Kingsmill, T. W.",Geology,Natural Sciences,Geology,geology,geology,geology,Notes on some outlying coal-fields in the south-eastern provinces of China,1866,1866,,1858-1867,1,1,1.0,
MASTER_00069,1866,NS 3,"Hollingworth, H. G.","Hollingworth, H. G.",Manners and customs,Anthropology and Social Customs,Manners and customs,social customs,social customs,social customs,"A Short sketch of the Chinese game of chess, Seang - kh'e",1866,1866,,1858-1867,1,1,1.0,LCSH standard form
MASTER_00070,1866,NS 3,"Butcher, C. H.","Butcher, C. H.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",contemporary history,contemporary history,contemporary history,"Retrospect of events in the north of China, 1866",1866,1866,,1858-1867,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00071,1867,NS 4,"Bickmore, A. S.","Bickmore, A. S.",Geology,Natural Sciences,Geology,"geology, travel and general descriptions","geology, travel and general descriptions",geology,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,"Canton, Guangzhou, <U+5E7F><U+5DDE>; Kwang Tung, Guangdong Province, <U+5E7F><U+4E1C><U+7701>; Kwangsi, Guangxi Province, <U+5E7F><U+897F>; Hunan, <U+6E56><U+5357>; Hankow, Hankou, <U+6C49><U+53E3>",1858-1867,2,2,0.5,
MASTER_00071,1867,NS 4,"Bickmore, A. S.","Bickmore, A. S.",Travel,Geography and Travel,Travel,"geology, travel and general descriptions","geology, travel and general descriptions",travel,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,"Canton, Guangzhou, <U+5E7F><U+5DDE>; Kwang Tung, Guangdong Province, <U+5E7F><U+4E1C><U+7701>; Kwangsi, Guangxi Province, <U+5E7F><U+897F>; Hunan, <U+6E56><U+5357>; Hankow, Hankou, <U+6C49><U+53E3>",1858-1867,2,2,0.5,
MASTER_00072,1867,NS 4,"Gardener, C. T.","Gardener, C. T.",Christianity,Religion and Philosophy,Christianity,Christianity,christianity,christianity,Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *,1867,1867,"Hangchow, Hangzhou, <U+676D><U+5DDE>; tienchu tang, tian zhu tang, <U+5929><U+4E3B><U+5802>; tien hao kung, tian hou gong<U+5929><U+540E><U+5BAB>",1858-1867,1,1,1.0,
MASTER_00073,1867,NS 4,"Williamson, A.","Williamson, A.",Agriculture,Natural Sciences,Agriculture,"agriculture, industry, trade and communications","agriculture, industry, trade and communications",agriculture,"Notes on the north of China, its productions and communications",1867,1867,,1858-1867,4,4,0.25,
MASTER_00073,1867,NS 4,"Williamson, A.","Williamson, A.",Industries,"Economy, Trade, and Technology",Industries,"agriculture, industry, trade and communications","agriculture, industry, trade and communications",industry,"Notes on the north of China, its productions and communications",1867,1867,,1858-1867,4,4,0.25,LCSH standard form
MASTER_00073,1867,NS 4,"Williamson, A.","Williamson, A.",Commerce,"Economy, Trade, and Technology",Commerce,"agriculture, industry, trade and communications","agriculture, industry, trade and communications",trade,"Notes on the north of China, its productions and communications",1867,1867,,1858-1867,4,4,0.25,LCSH standard form
MASTER_00073,1867,NS 4,"Williamson, A.","Williamson, A.",Telecommunication,"Economy, Trade, and Technology",Telecommunication,"agriculture, industry, trade and communications","agriculture, industry, trade and communications",communications,"Notes on the north of China, its productions and communications",1867,1867,,1858-1867,4,4,0.25,LCSH standard form
MASTER_00074,1867,NS 4,"Williamson, A.","Williamson, A.",Agriculture,Natural Sciences,Agriculture,"agriculture, industry, trade and geology","agriculture, industry, trade and geology",agriculture,"Notes on the productions, chiefly mineral of Shantung",1867,1867,"Shan Tung, Shandong Province, <U+5C71><U+4E1C><U+7701>",1858-1867,4,4,0.25,
MASTER_00074,1867,NS 4,"Williamson, A.","Williamson, A.",Industries,"Economy, Trade, and Technology",Industries,"agriculture, industry, trade and geology","agriculture, industry, trade and geology",industry,"Notes on the productions, chiefly mineral of Shantung",1867,1867,"Shan Tung, Shandong Province, <U+5C71><U+4E1C><U+7701>",1858-1867,4,4,0.25,LCSH standard form
MASTER_00074,1867,NS 4,"Williamson, A.","Williamson, A.",Commerce,"Economy, Trade, and Technology",Commerce,"agriculture, industry, trade and geology","agriculture, industry, trade and geology",trade,"Notes on the productions, chiefly mineral of Shantung",1867,1867,"Shan Tung, Shandong Province, <U+5C71><U+4E1C><U+7701>",1858-1867,4,4,0.25,LCSH standard form
MASTER_00074,1867,NS 4,"Williamson, A.","Williamson, A.",Geology,Natural Sciences,Geology,"agriculture, industry, trade and geology","agriculture, industry, trade and geology",geology,"Notes on the productions, chiefly mineral of Shantung",1867,1867,"Shan Tung, Shandong Province, <U+5C71><U+4E1C><U+7701>",1858-1867,4,4,0.25,
MASTER_00075,1867,NS 4,"Pryer, W. B.","Pryer, W. B.",Zoology,Natural Sciences,Zoology,zoology,zoology,zoology,Entomology of Shanghai,1867,1867,,1858-1867,1,1,1.0,
MASTER_00076,1867,NS 4,"Ellias, N.","Ellias, N.",Hydrology,Natural Sciences,Hydrology,hydrology,hydrology,hydrology,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal,1867,1867,,1858-1867,1,1,1.0,
MASTER_00077,1867,NS 4,"Wylie, A.","Wylie, A.",Astronomy,Natural Sciences,Astronomy,astronomy,astronomy,astronomy,Eclipses recorded in Chinese works,1867,1867,,1858-1867,1,1,1.0,
MASTER_00078,1867,NS 4,"Mayers, W. F.","Mayers, W. F.","Chronology, Historical",History and Chronology,"Chronology, Historical",chronology,chronology,chronology,Chinese chronological tables,1867,1867,,1858-1867,1,1,1.0,LCSH standard form
MASTER_00079,1867,NS 4,"Forrest, R. J.","Forrest, R. J.",Christianity,Religion and Philosophy,Christianity,"Christianity, literature and language","christianity, literature and language",christianity,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,1867,1867,,1858-1867,3,3,0.333333333333333,
MASTER_00079,1867,NS 4,"Forrest, R. J.","Forrest, R. J.",Literature,Literature and Language,Literature,"Christianity, literature and language","christianity, literature and language",literature,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,1867,1867,,1858-1867,3,3,0.333333333333333,
MASTER_00079,1867,NS 4,"Forrest, R. J.","Forrest, R. J.",Language and languages,Literature and Language,Language and languages,"Christianity, literature and language","christianity, literature and language",language,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,1867,1867,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00080,1867,NS 4,"Simon, G. E.","Simon, G. E.",Agriculture,Natural Sciences,Agriculture,"agriculture, industry and trade","agriculture, industry and trade",agriculture,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,,1858-1867,3,3,0.333333333333333,
MASTER_00080,1867,NS 4,"Simon, G. E.","Simon, G. E.",Industries,"Economy, Trade, and Technology",Industries,"agriculture, industry and trade","agriculture, industry and trade",industry,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00080,1867,NS 4,"Simon, G. E.","Simon, G. E.",Commerce,"Economy, Trade, and Technology",Commerce,"agriculture, industry and trade","agriculture, industry and trade",trade,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,,1858-1867,3,3,0.333333333333333,LCSH standard form
MASTER_00081,1867,NS 4,"Watters, T.","Watters, T.",Mythology,Anthropology and Social Customs,Mythology,mythology and zoology,mythology and zoology,mythology,Chinese notions about pigeons and doves,1867,1867,,1858-1867,2,2,0.5,
MASTER_00081,1867,NS 4,"Watters, T.","Watters, T.",Zoology,Natural Sciences,Zoology,mythology and zoology,mythology and zoology,zoology,Chinese notions about pigeons and doves,1867,1867,,1858-1867,2,2,0.5,
