time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1908-1917,Religion and Philosophy,Christianity,3,3,1,0.047619047619047616
1908-1917,Religion and Philosophy,Confucianism,2,2,2,0.031746031746031744
1908-1917,Religion and Philosophy,Philosophy,1,1,1,0.015873015873015872
1908-1917,Religion and Philosophy,Religion,4,4,4,0.06349206349206349
1908-1917,Religion and Philosophy,Taoism,1,1,1,0.015873015873015872
1918-1927,Anthropology and Social Customs,Ethnology,10,10,9,0.09009009009009009
1918-1927,Anthropology and Social Customs,Folklore,2,2,2,0.018018018018018018
1918-1927,Arts and Archaeology,Antiquities,2,2,2,0.018018018018018018
1918-1927,Arts and Archaeology,Archaeology,2,2,1,0.018018018018018018
1918-1927,Arts and Archaeology,Painting,1,1,1,0.009009009009009009
1918-1927,Geography and Travel,Asia,3,3,3,0.02702702702702703
1918-1927,Geography and Travel,Geography,5,5,5,0.04504504504504504
1918-1927,Geography and Travel,Travel,7,7,5,0.06306306306306306
1918-1927,History and Chronology,Biography,3,3,3,0.02702702702702703
1918-1927,History and Chronology,History,3,3,3,0.02702702702702703
1918-1927,Literature and Language,Literature,19,19,11,0.17117117117117117
1918-1927,Natural Sciences,Agriculture,6,6,3,0.05405405405405406
1918-1927,Natural Sciences,Botany,3,3,3,0.02702702702702703
1918-1927,Natural Sciences,Geology,5,5,5,0.04504504504504504
1918-1927,Natural Sciences,Hydrology,1,1,1,0.009009009009009009
1918-1927,Natural Sciences,Zoology,16,16,10,0.14414414414414414
1918-1927,"Politics, Government, and Law",Political science,1,1,1,0.009009009009009009
1918-1927,Religion and Philosophy,Buddhism,1,1,1,0.009009009009009009
1918-1927,Religion and Philosophy,Christianity,3,3,2,0.02702702702702703
1918-1927,Religion and Philosophy,Islam,3,3,2,0.02702702702702703
1918-1927,Religion and Philosophy,Philosophy,5,5,5,0.04504504504504504
1918-1927,Religion and Philosophy,Religion,7,7,7,0.06306306306306306
1918-1927,Religion and Philosophy,Taoism,3,3,2,0.02702702702702703
1928-1937,Anthropology and Social Customs,Anthropology,2,2,2,0.02197802197802198
1928-1937,Anthropology and Social Customs,Ethnology,3,3,3,0.03296703296703297
1928-1937,Anthropology and Social Customs,Folklore,1,1,1,0.01098901098901099
1928-1937,Arts and Archaeology,Antiquities,2,2,2,0.02197802197802198
1928-1937,Arts and Archaeology,Archaeology,7,7,5,0.07692307692307693
1928-1937,Arts and Archaeology,Architecture,1,1,1,0.01098901098901099
1928-1937,Arts and Archaeology,Painting,3,3,2,0.03296703296703297
1928-1937,Arts and Archaeology,Porcelain,3,3,2,0.03296703296703297
1928-1937,"Economy, Trade, and Technology",Economics,3,3,3,0.03296703296703297
1928-1937,Education,Education,1,1,1,0.01098901098901099
1928-1937,Geography and Travel,Asia,2,2,2,0.02197802197802198
1928-1937,Geography and Travel,Geography,9,9,9,0.0989010989010989
1928-1937,Geography and Travel,Travel,4,4,3,0.04395604395604396
1928-1937,History and Chronology,Biography,1,1,1,0.01098901098901099
1928-1937,History and Chronology,"Chronology, Historical",2,2,1,0.02197802197802198
1928-1937,History and Chronology,History,9,9,9,0.0989010989010989
1928-1937,Literature and Language,Language and languages,2,2,2,0.02197802197802198
1928-1937,Literature and Language,Literature,8,8,8,0.08791208791208792
1928-1937,Natural Sciences,Agriculture,1,1,1,0.01098901098901099
1928-1937,Natural Sciences,Astronomy,2,2,2,0.02197802197802198
1928-1937,Natural Sciences,Botany,3,3,3,0.03296703296703297
1928-1937,Natural Sciences,Geology,2,2,1,0.02197802197802198
1928-1937,Natural Sciences,Medicine,1,1,1,0.01098901098901099
1928-1937,Natural Sciences,Zoology,1,1,1,0.01098901098901099
1928-1937,"Politics, Government, and Law",Political science,1,1,1,0.01098901098901099
1928-1937,Religion and Philosophy,Buddhism,1,1,1,0.01098901098901099
1928-1937,Religion and Philosophy,Christianity,4,4,1,0.04395604395604396
1928-1937,Religion and Philosophy,Confucianism,1,1,1,0.01098901098901099
1928-1937,Religion and Philosophy,Islam,2,2,1,0.02197802197802198
1928-1937,Religion and Philosophy,Philosophy,4,4,4,0.04395604395604396
1928-1937,Religion and Philosophy,Religion,5,5,4,0.054945054945054944
1938-1948,Anthropology and Social Customs,Ethnology,3,3,3,0.10344827586206896
1938-1948,Arts and Archaeology,Archaeology,5,5,5,0.1724137931034483
1938-1948,"Economy, Trade, and Technology",Economics,1,1,1,0.034482758620689655
1938-1948,Geography and Travel,Geography,1,1,1,0.034482758620689655
1938-1948,History and Chronology,History,3,3,3,0.10344827586206896
1938-1948,Literature and Language,Language and languages,4,4,4,0.13793103448275862
1938-1948,Literature and Language,Literature,1,1,1,0.034482758620689655
1938-1948,Natural Sciences,Medicine,1,1,1,0.034482758620689655
1938-1948,Natural Sciences,Zoology,2,2,2,0.06896551724137931
1938-1948,"Politics, Government, and Law",Law,1,1,1,0.034482758620689655
1938-1948,Religion and Philosophy,Christianity,2,2,2,0.06896551724137931
1938-1948,Religion and Philosophy,Religion,5,5,5,0.1724137931034483
