L1,rank,term,tfidf_score,raw_count,document_count,document_frequency
Anthropology and Social Customs,14,children,0.2247048270027981,466,52,0.5909090909090909
Anthropology and Social Customs,15,son_king,0.22394486633716787,98,5,0.056818181818181816
Anthropology and Social Customs,16,buriats,0.22383321351140362,73,3,0.03409090909090909
Anthropology and Social Customs,17,manchuria,0.22352651679729352,456,17,0.19318181818181818
Anthropology and Social Customs,18,father,0.22157059852770272,450,43,0.48863636363636365
Anthropology and Social Customs,19,dragon,0.2109432737876952,253,30,0.3409090909090909
Anthropology and Social Customs,20,tribes,0.2090552853863103,292,39,0.4431818181818182
Anthropology and Social Customs,21,length,0.20721037090532954,516,47,0.5340909090909091
Anthropology and Social Customs,22,worship,0.20524523717997628,179,37,0.42045454545454547
Anthropology and Social Customs,23,women,0.20234117315206582,395,54,0.6136363636363636
Anthropology and Social Customs,24,law,0.20166694202052812,439,47,0.5340909090909091
Anthropology and Social Customs,25,death,0.2015708822781392,436,53,0.6022727272727273
Religion and Philosophy,1,confucius,0.447260655452007,635,49,0.620253164556962
Religion and Philosophy,2,heaven,0.3991020223298514,910,66,0.8354430379746836
Religion and Philosophy,3,mohammed,0.37794159036617764,376,8,0.10126582278481013
Religion and Philosophy,4,buddha,0.3104789892526088,243,27,0.34177215189873417
Religion and Philosophy,5,god,0.30105066661617363,552,57,0.7215189873417721
Religion and Philosophy,6,tzu,0.28894375347078516,536,34,0.43037974683544306
Religion and Philosophy,7,prophet,0.2870230873959544,316,11,0.13924050632911392
Religion and Philosophy,8,worship,0.27992064177064513,396,47,0.5949367088607594
Religion and Philosophy,9,king,0.2606198022200294,657,60,0.759493670886076
Religion and Philosophy,10,shaman,0.2542776276634455,25,1,0.012658227848101266
Religion and Philosophy,11,destiny,0.2466991634343453,242,11,0.13924050632911392
Religion and Philosophy,12,religion,0.2452109885842354,466,59,0.7468354430379747
Religion and Philosophy,13,emperor,0.24306398295538076,564,57,0.7215189873417721
Religion and Philosophy,14,wang,0.23741994686150603,374,44,0.5569620253164557
Religion and Philosophy,15,temple,0.23703474537788385,494,36,0.45569620253164556
Religion and Philosophy,16,love,0.23503115739818836,178,33,0.4177215189873418
Religion and Philosophy,17,moslem,0.22802103223602427,187,9,0.11392405063291139
Religion and Philosophy,18,spirits,0.22455636492651632,345,42,0.5316455696202531
Religion and Philosophy,19,doctrine,0.224555644313647,247,42,0.5316455696202531
Religion and Philosophy,20,tsi,0.22384791085161626,172,13,0.16455696202531644
Religion and Philosophy,21,christ,0.22347622956251428,118,22,0.27848101265822783
Religion and Philosophy,22,yang,0.222307521996264,370,50,0.6329113924050633
Religion and Philosophy,23,buddhist,0.22175237261691066,294,46,0.5822784810126582
Religion and Philosophy,24,tao,0.22019602229322008,369,35,0.4430379746835443
Religion and Philosophy,25,nestorian,0.21704602258935962,93,15,0.189873417721519
Geography and Travel,1,var,0.6624563542719978,65,4,0.04597701149425287
Geography and Travel,2,river,0.49130317599003537,1556,72,0.8275862068965517
Geography and Travel,3,une,0.48695817685407083,859,10,0.11494252873563218
Geography and Travel,4,city,0.38058729131150726,1560,66,0.7586206896551724
Geography and Travel,5,miles,0.29938336548837813,784,63,0.7241379310344828
Geography and Travel,6,feet,0.29128708862336594,760,59,0.6781609195402298
Geography and Travel,7,temple,0.28158425909096774,799,48,0.5517241379310345
Geography and Travel,8,plus,0.2813161302102505,499,14,0.16091954022988506
Geography and Travel,9,road,0.23808225787923773,525,55,0.632183908045977
Geography and Travel,10,yedo,0.23116043477325723,107,4,0.04597701149425287
Geography and Travel,11,lake,0.22711560868945121,261,30,0.3448275862068966
Geography and Travel,12,island,0.22684737115261389,357,40,0.45977011494252873
Geography and Travel,13,tch,0.22515741169555323,370,6,0.06896551724137931
Geography and Travel,14,journey,0.2217252036368618,603,52,0.5977011494252874
Geography and Travel,15,emperor,0.22145813332805775,670,56,0.6436781609195402
Geography and Travel,16,canton,0.2211090542305606,239,29,0.3333333333333333
Geography and Travel,17,shan,0.21411079166870337,584,47,0.5402298850574713
Geography and Travel,18,hills,0.21273951711927727,485,56,0.6436781609195402
Geography and Travel,19,mountain,0.21144630703504164,520,60,0.6896551724137931
Geography and Travel,20,sea,0.20623847207597146,441,60,0.6896551724137931
Geography and Travel,21,trade,0.20308776329157666,363,53,0.6091954022988506
Geography and Travel,22,chow,0.20171028649199987,415,29,0.3333333333333333
Geography and Travel,23,land,0.19643815967135236,415,63,0.7241379310344828
Geography and Travel,24,giles,0.1952019524833807,107,13,0.14942528735632185
Geography and Travel,25,macao,0.1946417195436356,30,8,0.09195402298850575
Literature and Language,1,manchu,0.4262063703450473,392,10,0.17543859649122806
Literature and Language,2,library,0.35664474864255413,197,11,0.19298245614035087
Literature and Language,3,language,0.27609866923533843,400,37,0.6491228070175439
Literature and Language,4,words,0.26962698252155004,397,38,0.6666666666666666
Literature and Language,5,characters,0.2562538291700581,416,36,0.631578947368421
Literature and Language,6,emperor,0.24259027081732995,369,38,0.6666666666666666
Literature and Language,7,han,0.2147423963881203,287,32,0.5614035087719298
Literature and Language,8,tsi,0.19992507526280506,56,8,0.14035087719298245
Literature and Language,9,works,0.19425365872584208,204,29,0.5087719298245614
Literature and Language,10,yuan,0.19401421633818955,237,17,0.2982456140350877
Literature and Language,11,word,0.1854958365180556,255,38,0.6666666666666666
Literature and Language,12,collection,0.17946412700537523,102,28,0.49122807017543857
Literature and Language,13,posterior,0.1762020660041426,73,3,0.05263157894736842
Literature and Language,14,languages,0.17351858386529379,174,24,0.42105263157894735
Literature and Language,15,books,0.1700953299045134,179,32,0.5614035087719298
Literature and Language,16,kite,0.1681276595138108,17,5,0.08771929824561403
Literature and Language,17,vols,0.16797252690018255,132,3,0.05263157894736842
Literature and Language,18,chow,0.1647589025036233,208,15,0.2631578947368421
Literature and Language,19,peking,0.16168012800580392,169,28,0.49122807017543857
Literature and Language,20,hairs,0.15432997976675997,58,2,0.03508771929824561
Literature and Language,21,heaven,0.15236358363636807,247,32,0.5614035087719298
Literature and Language,22,ventral,0.15226176776238096,58,2,0.03508771929824561
Literature and Language,23,hainan,0.15068870632835968,66,2,0.03508771929824561
Literature and Language,24,shall,0.1445051922396105,331,34,0.5964912280701754
Literature and Language,25,anterior,0.14441248877231616,76,7,0.12280701754385964
Education,1,music,0.0684508283156498,97,2,0.4
Education,2,hall,0.05286756039361066,23,1,0.2
Education,3,scholars,0.051490830657082494,51,3,0.6
Education,4,chih,0.0406745344365762,42,1,0.2
Education,5,plato,0.04018991060729936,46,1,0.2
Education,6,college,0.03970609314046724,41,1,0.2
Education,7,rooms,0.034478843734963474,15,1,0.2
Education,8,essays,0.03223117981585081,18,2,0.4
Education,9,japanese,0.03184057752416035,32,3,0.6
Education,10,officers,0.03173263281203077,24,3,0.6
Education,11,japan,0.03066790011614793,31,3,0.6
Education,12,science,0.02939658235147664,31,3,0.6
Education,13,language,0.02898985781942,39,3,0.6
Education,14,art,0.028838627339416143,57,4,0.8
Education,15,study,0.028290551000477133,37,4,0.8
Education,16,beauty,0.027935439175915153,38,2,0.4
Education,17,examination,0.027483474844706708,29,5,1.0
Education,18,sciences,0.02719934513356993,35,4,0.8
Education,19,cells,0.02528448540563988,11,1,0.2
Education,20,prince,0.02490603577678355,32,4,0.8
Education,21,dutch,0.024530201464251954,20,2,0.4
Education,22,physics,0.024530201464251954,20,2,0.4
Education,23,class,0.024530201464251954,20,2,0.4
Education,24,natural,0.02369323258716529,25,3,0.6
Education,25,imperial,0.022614857331442525,29,5,1.0
Unknown,1,styan,0.6134545043643422,250,2,0.05555555555555555
Unknown,2,chinkiang,0.5900412020744439,239,4,0.1111111111111111
Unknown,3,genus,0.5624120974044408,210,3,0.08333333333333333
Unknown,4,winter,0.43116240825548346,199,10,0.2777777777777778
Unknown,5,dip,0.3945166190929018,26,2,0.05555555555555555
Unknown,6,kiangyin,0.3307303582201873,126,2,0.05555555555555555
Unknown,7,resident,0.24818405891374257,107,5,0.1388888888888889
Unknown,8,observations,0.22422725164175342,32,9,0.25
Unknown,9,magnetic,0.2122359863427592,17,3,0.08333333333333333
Unknown,10,rock,0.21012475785426377,34,6,0.16666666666666666
Unknown,11,eagle,0.19437578915016412,10,2,0.05555555555555555
Unknown,12,tombs,0.17540396098846617,32,3,0.08333333333333333
Unknown,13,emperor,0.16465180664812568,240,17,0.4722222222222222
Unknown,14,shanghai,0.15634430657579382,147,17,0.4722222222222222
Unknown,15,white,0.15352397088409056,127,13,0.3611111111111111
Unknown,16,hodgs,0.14989598834318413,11,2,0.05555555555555555
Unknown,17,pao,0.14654775611950943,140,3,0.08333333333333333
Unknown,18,hsien,0.14143028372490668,35,8,0.2222222222222222
Unknown,19,chow,0.13804851318682573,42,8,0.2222222222222222
Unknown,20,hill,0.13590624877382715,47,7,0.19444444444444445
Unknown,21,fut,0.133227656716123,190,2,0.05555555555555555
Unknown,22,edicts,0.13213730187396028,6,2,0.05555555555555555
Unknown,23,wine,0.13145363183528996,51,9,0.25
Unknown,24,home,0.13011826132404733,65,17,0.4722222222222222
Unknown,25,volumes,0.1296313610660988,15,6,0.16666666666666666
"Politics, Government, and Law",1,salt,0.3629615984046523,487,10,0.4166666666666667
