model,K,topic_id,top_words,cross_model_matches,human_readable_interpretation
corex_anchored,20,6,feet; water; boats; near; dry; low; mud; south; miles; river; round; places; rice; salt; cut; reach; bank; tea; sea; iron,121,
corex_anchored,20,7,chu; yu; yen; ti; wu; chen; ts; ien; wang; shu; chang; tien; wen; ku; chung; ho; kung; kao; shun; jen,51,
corex_anchored,20,8,even; words; shall; whether; always; consider; subject; already; know; respect; question; say; able; possess; really; certain; new; believe; better; general,50,
corex_anchored,20,9,death; father; received; died; court; act; military; law; office; friends; committed; official; brother; conduct; personal; peace; receive; desire; refused; duties,56,
corex_anchored,20,10,along; eastern; forming; almost; southern; plain; except; close; east; considerable; across; nearly; area; half; range; extending; throughout; somewhat; larger; features,42,
corex_anchored,20,11,dynasty; title; imperial; word; meaning; according; language; given; states; read; written; late; reign; term; author; post; name; intended; referred; characters,114,
corex_anchored,20,12,get; going; leave; coming; best; every; done; end; instead; getting; making; old; last; giving; ten; together; street; quite; provided; leaving,33,
corex_anchored,20,13,idea; means; cannot; without; case; whole; course; way; fact; become; nature; necessary; less; alone; similar; reason; either; different; right; becomes,54,
corex_anchored,20,14,night; return; set; away; told; wife; hands; heard; young; home; keep; come; women; go; head; never; family; woman; husband; food,75,
corex_anchored,20,15,heaven; emperor; son; prince; king; affairs; book; ancient; world; throne; born; appointed; kingdom; ruler; wrote; authority; order; wisdom; self; virtue,170,
corex_anchored,20,16,empire; government; progress; events; legal; granted; past; interests; political; views; policy; relations; establishment; reasons; nations; administration; treated; responsibility; issued; consequence,35,
corex_anchored,20,17,valley; level; height; smaller; steep; plains; species; hills; sinensis; slopes; grey; valleys; shore; cultivated; forest; bay; islands; rapid; forests; climate,82,
corex_anchored,20,18,origin; sense; understand; ideas; perhaps; earth; goes; real; forms; complete; age; knowledge; true; existence; later; elements; study; influences; sound; gives,43,
corex_anchored,20,19,natives; per; port; greater; england; ports; company; coast; report; canton; cargo; foreign; commercial; foreigners; native; mission; exchange; goods; merchants; villages,63,
corex_unanchored,10,0,death; return; evil; away; home; went; gave; son; took; asked; story; told; man; women; power; tell; come; never; peace; bring,80,
corex_unanchored,10,1,things; thought; world; lived; go; says; rule; understand; idea; life; know; ideas; ancient; find; spirit; daily; saying; really; spirits; thing,86,
corex_unanchored,10,2,passed; died; carried; account; arrived; road; open; received; days; state; official; entered; day; taking; reached; back; chief; imperial; since; whose,78,
corex_unanchored,10,3,words; shall; without; book; men; language; authority; read; means; word; subject; given; meaning; even; desire; might; states; title; regard; others,101,
corex_unanchored,10,4,night; feet; food; water; head; morning; making; ground; reach; behind; together; looking; eye; cut; front; foot; trees; wood; poor; high,67,
corex_unanchored,10,5,trade; greater; southern; east; sea; eastern; coast; extent; south; geographical; considerable; miles; island; along; northern; direction; half; plain; bank; amount,76,
corex_unanchored,10,6,thick; sides; fine; red; flat; smaller; white; brown; low; top; dark; upper; height; yellow; tail; species; grass; blue; black; green,66,
