model,K,topic_id,top_words,representative_documents,dominant_decades,dominant_L1,dominant_L2,suggested_label,researcher_label,interpretation_notes,keep_merge_drop
lda,25,17,ch; ts; black; ao; name; tzu; men; see; king; white; ku; shu; probably; yu; ma; wei; game; given; used; hu,"The Comparative study of Chinese dialects - Parker, E. H. - 1877 - XII_1877_02.txt | The Comparative study of Chinese dialects - Parker, E. H. - 1877 - 1878_02.txt | Chinese chess * - Volpicelli, Z. H. - 1888 - 1888_05.txt | Chinese names of plants ; a preliminary list of the trees and shrubs of North Honan - Hers, J. - 1922 - _1922_08.txt | Short sketch of the Chinese game of chess, Seang - kh'e, A * - Hollingworth, H. G. - 1866 - 1866_08.txt",1870s | 1890s | 1880s,Literature and Language | Anthropology and Social Customs | Military | Natural Sciences,Language and languages | Botany | Manners and customs,,,,
lda,25,18,de; la; le; les; et; king; tong; des; du; mr; en; vol; garnier; que; bishop; gate; december; son; au; ii,"Narrative of recent events in Tong - king - Cordier, H. - 1874 - IX_1875_05.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - 1885_12_list_of_books.txt | Where was Ta - ts ' in ? - Allen, H. J. - 1886 - XXI_1886_03.txt | Retrospect of events in China, 1873 - Editorial Committee - 1873 - 1874_09_retrospects_of_events.txt | Bishop Della Chiesa and the story of his lost grave * - Heeren, J. J. - 1923 - _1923-1924_15.txt",1870s | 1880s | 1890s,History and Chronology | Anthropology and Social Customs | Religion and Philosophy,"History, Modern (20th century) | Buddhism | Mythology",,,,
lda,25,19,temple; used; stone; inches; feet; side; called; city; instruments; emperor; peking; large; dynasty; wall; hall; temples; high; ti; four; bamboo,"Music of China, The * - Kingsmill, T. W. - 1910 - XXXIX_1908_01.txt | Short notes on Chinese instruments of music * - Dennys, N. B. - 1873 - 1874_07.txt | Chinese architecture - Edkins, J. - 1889 - _1930-1931_03.txt | T'ai Shan * - Moule, A. C. - 1912 - XLIII_1912_10.txt | State religion of china during the Manchu Dynasty, The * - Williams, E. T. - 1913 - 1913_02.txt",1910s | 1920s | 1940s,Arts and Archaeology | Geography and Travel | Religion and Philosophy,Architecture | Decorative arts | Bronzes,,,,
lda,25,20,taels; summer; year; salt; cash; silver; spring; drought; autumn; tax; land; tael; chihli; per; hupeh; honan; kiangsu; chehkiang; provinces; tls,"Droughts in China, A. D. 620-1643 - Hosie, A. - 1877 - XII_1877_03.txt | Droughts in China, A. D. 620-1643 - Hosie, A. - 1877 - 1878_03.txt | Coins of the Republic of China * - Ros, G. - 1917 - 1917_15.txt | Chinese revenue - Parker, E. H. - 1894 - _1895-1896_03.txt | The Salt revenue of China - Parker, E. H. - 1887 - XXII_1887_05.txt",1890s | 1870s | 1900s,"Economy, Trade, and Technology | Military | Natural Sciences | Politics, Government, and Law",Economics | Numismatics | Government,,,,
lda,25,21,mm; temperature; mean; july; asia; eastern; june; aug; annual; year; sept; nov; dec; jan; peking; feb; oct; mar; table; observations,"The Climate of Eastern Asia - Fritsche, H. - 1877 - XII_1877_06.txt | The Climate of Eastern Asia - Fritsche, H. - 1877 - 1878_06.txt | Meteorological observations, April - December 1872 - Meteorological Committee - 1871 - VII_1871_16.txt | Meteorological tables, from observations made in Japan - 1859 - 1860_06.txt | Winds and weather at Chefoo - Editorial Committee - 1860 - 1860_11.txt",1870s | 1850s | 1860s,Natural Sciences | Geography and Travel | Anthropology and Social Customs,Meteorology | Astronomy | Asia,,,,
lda,25,22,river; water; feet; miles; south; island; north; city; bank; sea; west; east; high; hills; left; course; stream; point; level; side,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow - Ward, J. - 1859 - I_1859_09.txt | Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow - Ward, J. - 1859 - 1859_09.txt | Notes on some dikes at the mouth of the Nankow pass * - Guppy, H. B. - 1883 - XVIII_1884_07.txt | The Bore of the Tsien - tang Kiang (Hang - chau Bay) - Moore - 1888 - 1888_04.txt | Notes on the geology of the Great Plain * - Lamprey - 1865 - II_1865_01.txt",1860s | 1850s | 1880s,"Natural Sciences | Geography and Travel | Economy, Trade, and Technology",Hydrology | Geology | Agriculture,,,,
lda,25,23,plant; see; name; tree; king; leaves; cm; shi; plants; fruit; var; length; ki; ya; rice; called; small; manchuria; family; rh,"1920 - LI_1920_08.txt | 1920 - _1920_08.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - _1921_04.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - LII_1921_04.txt | Chinese names of plants - Henry, A. - 1887 - 1891_01.txt",1880s | 1900s | 1920s,Anthropology and Social Customs | Natural Sciences | Geography and Travel,Botany | Manners and customs | Astronomy,,,,
lda,25,24,reverse; coins; king; currency; obverse; mint; gold; coin; son; family; annam; cash; copper; law; issued; silver; marriage; coinage; minor; wife,"Annam and its minor currency - Toda, E. - 1882 - XVII_1882_04.txt | The Family law of the Chinese and its comparative relations with that of other nations - Mollendorf, P. G. von - 1878 - XIII_1879_03.txt | Coinage of Corea, The * - Gardener, C. T. - 1892 - XXVII_1892_03.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - XXII_1887_07.txt | Family law of the Chinese, The - Mollendorf, P. G. von - 1892 - XXVII_1892_04.txt",1890s | 1880s | 1870s,"Politics, Government, and Law | Arts and Archaeology | Economy, Trade, and Technology",Numismatics | Law | Economics,,,,
lda,30,0,moon; day; people; called; water; dragon; man; men; body; head; fire; paper; women; white; god; wine; rain; rice; gods; human,"1871 - VII_1871_14.txt | Kite Festival in Foochow, China, The - Hodous, L. - 1918 - XLIX_1918_05.txt | Great Summer Festival of China as observed in Foochow, The - Hodous, L. - 1912 - XLIII_1912_05.txt | Shanghai folk - lore - Box, E. - 1901 - XXXIV_1901_02.txt | Sketches of the Miau - tsze - Bridgman, E. C. - 1859 - 1859_11.txt",1900s | 1870s | 1910s,Anthropology and Social Customs | Natural Sciences | Military | Natural Sciences,Folklore | Mythology | Medicine | Mythology,,,,
lda,30,1,among; northern; however; tungus; even; history; language; form; century; period; early; use; south; origin; north; different; race; word; new; thus,"Northern Tungus migrations in the Far East - Shirokogoroff, S. M. - 1926 - _1926-1927_09.txt | Who are the Northern Chinese ? - Shirokogoroff, S. M. - 1924 - _1923-1924_20.txt | Asiatic origin of South American man, The - Gapanovich, J. J. - 1931 - _1930-1931_28.txt | Sramana - Shaman - Mironov, N. D. and Shirokogoroff, S. M. - 1924 - _1923-1924_28.txt | Limitations of comparative philology, On the - Mollendorf, P. G. von - 1896 - XXXIII_1896_05.txt",1930s | 1920s | 1890s,Anthropology and Social Customs | Military | Natural Sciences | Arts and Archaeology,Language and languages | Folklore | Ethnology,,,,
