"from","to","author","subject_l2","subject_l1","time_window","article_count","weight","first_year","last_year","titles"
"A_6","S_5","Shadwell, C. F. A.","Meteorology","Natural Sciences","1858-1867",2,2,1859,1860,"Memorandum on the present state of some of the magnetic elements in china and palces adjacent | Supplemental memorandum on the present state of the magnetic elements in China and places adjacent"
"A_39","S_12","McCartee, D. B.","Zoology","Natural Sciences","1858-1867",1,1,1866,1866,"On some Wild Silkworms of China"
"A_43","S_12","Pryer, W. B.","Zoology","Natural Sciences","1858-1867",1,1,1867,1867,"Entomology of Shanghai"
"A_12","S_12","Swinhoe, R.","Zoology","Natural Sciences","1858-1867",3,3,1859,1865,"Notes on some new species of birds found on the island of Formosa | The Small Chinese Lark | Birds and beasts of Formosa"
"A_48","S_12","Watters, T.","Zoology","Natural Sciences","1858-1867",1,0.5,1867,1867,"Chinese notions about pigeons and doves"
"A_3","S_13","Macgowan, D. J.","Law","Politics, Government, and Law","1858-1867",1,1,1859,1859,"On the Banishment of Criminals in China"
"A_35","S_13","Stronach, W. T.","Law","Politics, Government, and Law","1858-1867",1,1,1864,1864,"Traces of the Judicium dei, or ordeal in Chinese law"
"A_1","S_1","Edkins, J.","Buddhism","Religion and Philosophy","1858-1867",1,1,1858,1858,"A Buddhist Shastra , Translated from the Chinese"
"A_23","S_1","Jamieson, R. A.","Buddhism","Religion and Philosophy","1858-1867",1,0.5,1864,1864,"Remarks upon exhibiting a To - lo Pall to the Society"
"A_30","S_23","Brown, S. R.","Christianity","Religion and Philosophy","1858-1867",1,1,1865,1865,"Annals of the Western Ocean"
"A_46","S_23","Forrest, R. J.","Christianity","Religion and Philosophy","1858-1867",1,0.333333333333333,1867,1867,"The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books"
"A_42","S_23","Gardener, C. T.","Christianity","Religion and Philosophy","1858-1867",1,1,1867,1867,"Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *"
"A_1","S_21","Edkins, J.","Confucianism","Religion and Philosophy","1858-1867",1,1,1860,1860,"A Sketch of the Life of Confucius"
"A_36","S_27","Martin, W. A. P.","Judaism","Religion and Philosophy","1858-1867",1,1,1864,1864,"Account of an overland journey from Peking to Shanghai, February and March 1865"
"A_1","S_9","Edkins, J.","Philosophy","Religion and Philosophy","1858-1867",1,1,1859,1859,"Notices of the character and writings of Meh tsi"
"A_15","S_9","John, G.","Philosophy","Religion and Philosophy","1858-1867",1,1,1860,1860,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin"
"A_72","S_4","Bretschneider, E.","Anthropology","Anthropology and Social Customs","1868-1877",1,0.25,1876,1876,"Notices of the mediaeval geography and history of Central and Western Asia *"
"A_29","S_4","Kingsmill, T. W.","Anthropology","Anthropology and Social Customs","1868-1877",2,0.75,1876,1877,"Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history | The Borderlands of geology and history"
"A_3","S_4","Macgowan, D. J.","Anthropology","Anthropology and Social Customs","1868-1877",1,0.5,1869,1870,"Notes on the Chihkiang Miautsz"
"A_12","S_4","Swinhoe, R.","Anthropology","Anthropology and Social Customs","1868-1877",1,0.25,1871,1872,"The Aborigines of Hainan"
"A_68","S_4","Taintor, E. C.","Anthropology","Anthropology and Social Customs","1868-1877",1,0.5,1875,1875,"The Aborigines of Northern Formosa"
"A_72","S_3","Bretschneider, E.","Ethnology","Anthropology and Social Customs","1868-1877",1,0.25,1876,1876,"Notices of the mediaeval geography and history of Central and Western Asia *"
"A_29","S_3","Kingsmill, T. W.","Ethnology","Anthropology and Social Customs","1868-1877",2,0.75,1876,1877,"Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history | The Borderlands of geology and history"
"A_3","S_3","Macgowan, D. J.","Ethnology","Anthropology and Social Customs","1868-1877",1,0.5,1869,1870,"Notes on the Chihkiang Miautsz"
"A_12","S_3","Swinhoe, R.","Ethnology","Anthropology and Social Customs","1868-1877",1,0.25,1871,1872,"The Aborigines of Hainan"
"A_68","S_3","Taintor, E. C.","Ethnology","Anthropology and Social Customs","1868-1877",1,0.5,1875,1875,"The Aborigines of Northern Formosa"
"A_54","S_25","Himly, K.","Manners and customs","Anthropology and Social Customs","1868-1877",1,1,1869,1870,"The Chinese game of chess as compared with that practised by Western nations"
"A_57","S_25","North China Daily News","Manners and customs","Anthropology and Social Customs","1868-1877",1,1,1869,1870,"Example of Chinese torture"
"A_58","S_25","Stent, G. C.","Manners and customs","Anthropology and Social Customs","1868-1877",1,1,1877,1877,"Chinese eunuchs"
"A_48","S_17","Watters, T.","Mythology","Anthropology and Social Customs","1868-1877",1,1,1874,1874,"Chinese fox - myths"
"A_66","S_24","Bushell, S. W.","Archaeology","Arts and Archaeology","1868-1877",1,1,1874,1874,"Stone drums of the Chou Dynasty, The *"
"A_59","S_24","Thompson, J.","Archaeology","Arts and Archaeology","1868-1877",1,1,1871,1872,"On the Antiquities of Cambodia"
"A_65","S_8","Dennys, N. B.","Music","Arts and Archaeology","1868-1877",1,1,1874,1874,"Short notes on Chinese instruments of music *"
"A_50","S_8","Jenkins, B.","Music","Arts and Archaeology","1868-1877",1,1,1868,1868,"Notions of the ancient Chinese respecting music"
"A_58","S_8","Stent, G. C.","Music","Arts and Archaeology","1868-1877",1,0.333333333333333,1871,1872,"Chinese lyrics"
"A_56","S_16","Smith, F. P.","Commerce","Economy, Trade, and Technology","1868-1877",1,0.25,1869,1870,"Chinese chemical manufactures"
"A_47","S_34","Simon, G. E.","Economics","Economy, Trade, and Technology","1868-1877",2,2,1868,1870,"Note sur les petites societes d'argent en Chine | Sur les Institutions de Cr<U+00E9>dit en Chine"
"A_56","S_15","Smith, F. P.","Industries","Economy, Trade, and Technology","1868-1877",1,0.25,1869,1870,"Chinese chemical manufactures"
"A_55","S_11","Moule, G. E.","Education","Education","1868-1877",1,1,1869,1870,"Notes on the provincial examination of Chekiang, 1870, with a version of one of the essays"
"A_72","S_37","Bretschneider, E.","Geography","Geography and Travel","1868-1877",1,0.25,1876,1876,"Notices of the mediaeval geography and history of Central and Western Asia *"
"A_53","S_37","Eitel, E. J.","Geography","Geography and Travel","1868-1877",1,0.333333333333333,1869,1870,"The Fabulous source of the Hoang-ho"
"A_70","S_37","Palladius, A.","Geography","Geography and Travel","1868-1877",1,1,1876,1876,"Elucidations of Marco Polo's travels in North China, drawn from Chinese sources"
"A_1","S_39","Edkins, J.","Navigation","Geography and Travel","1868-1877",1,0.5,1877,1877,"On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass"
"A_1","S_6","Edkins, J.","Travel","Geography and Travel","1868-1877",1,0.5,1874,1874,"Visit to the city of Confucius, A"
"A_71","S_6","Holcombe, C.","Travel","Geography and Travel","1868-1877",1,1,1876,1876,"Notes made on a tour through Shan - hsi and Shen - hsi"
"A_52","S_6","Markham, J.","Travel","Geography and Travel","1868-1877",1,1,1869,1870,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius"
"A_12","S_6","Swinhoe, R.","Travel","Geography and Travel","1868-1877",1,1,1871,1872,"Narrative of an exploring visit to Hainan"
"A_11","S_6","Williams, S. W.","Travel","Geography and Travel","1868-1877",1,0.5,1869,1870,"Journal of a mission to Lewchew in 1801"
