author_name,article_count,subject_count,first_year,last_year
"Hall, J. C.",1,1,1910,1910
"Hallifax, T. E.",1,1,1889,1890
"Harding, H. L.",1,1,1918,1918
"Hauer, Erich",1,1,1930,1930
"Haward, E.",1,4,1931,1931
"Headland, I. T.",1,1,1906,1906
Heidenstem,1,2,1922,1922
"Henke, F. G.",1,1,1913,1913
"Henry, A.",1,1,1887,1887
"Hers, J.",1,1,1922,1922
"Himly, K.",1,1,1869,1870
"Holcombe, C.",1,1,1876,1876
Hollingworth and Piry,1,1,1864,1864
"Hollingworth, H. G.",1,1,1866,1866
"House, I. E.",1,1,1948,1948
"Howell, E. B.",1,2,1919,1919
"Hughes, E. R.",1,1,1932,1932
"Jamieson, C. A.",1,1,1923,1923
"Jamieson, G.",1,4,1888,1888
"Jarvie, R.",1,3,1864,1864
"Jenkins, B.",1,1,1868,1868
"John, G.",1,1,1860,1860
"Johnston, R. F.",1,1,1932,1932
"Kann, E.",1,1,1929,1929
"Keer, J. G.",1,2,1866,1866
"Kellogg, C. R.",1,1,1919,1919
"Kemp, E. G.",1,3,1921,1921
"King, G. E.",1,1,1919,1919
"Kleinwachter, G.",1,1,1883,1883
"Kojeuroff, G. P.",1,2,1927,1927
"Kulp, D. H",1,1,1932,1932
"Latourette, K. S.",1,1,1916,1916
"Leavenworth, C. S.",1,1,1905,1905
Lee Shao-chang（李绍昌）,1,1,1934,1934
"Legge, J.",1,1,1886,1886
"Leung, G. K.",1,2,1927,1927
Lin Tung-chi（林同济）,1,1,1935,1935
Lin Yu-tang（林语堂）,1,1,1935,1935
"Lindau, R.",1,1,1864,1864
"Ling, P. C.",1,1,1918,1918
"Liu, J. C.",1,1,1929,1929
Lu Yen-Ying,1,1,1931,1931
"Lyon, D. W.",1,1,1934,1934
"MacGillivray, D.",1,3,1928,1928
"MacNair, H. F.",1,2,1925,1925
"Macintyre, J.",1,1,1886,1886
"Macklin, W. E.",1,4,1900,1901
"Markham, J.",1,1,1869,1870
"McCormick, F.",1,2,1912,1912
"Medhurst, W. H.",1,1,1868,1868
"Meerkerk, M. E. R. F.",1,1,1928,1928
Meteorological Committee,1,1,1871,1872
"Mironov, N. D. and Shirokogoroff, S. M.",1,1,1924,1924
"Moninger, M. M.",1,2,1921,1921
Moore,1,1,1888,1888
"Moore, A.",1,1,1919,1919
"Morrison, G. J.",1,1,1883,1883
"Murphy, D. C.",1,1,1932,1932
"N. G. Moffett, L. I. and Gee,",1,1,1913,1913
NATALIS RONDOT,1,2,1898,1899
"Nicolson, F. W.",1,1,1858,1858
"Norin, E.",1,1,1922,1922
North China Daily News,1,1,1869,1870
"Nystrom, E. T.",1,1,1936,1936
"Ottewill, H. A.",1,1,1918,1918
"Palladius, A.",1,1,1876,1876
"Parker, A. P.",1,2,1916,1916
"Penniston, J. B.",1,1,1933,1933
"Phelps, D. L.",1,2,1928,1928
"Ping, C.",1,1,1931,1931
"Porterfield, W. M.",1,1,1931,1931
"Poston, D. G.",1,1,1940,1940
"Pott, F. L. H.",1,1,1925,1925
"Preston, C. F.",1,1,1868,1868
"Prip-Moller, J.",1,1,1936,1936
"Pryer, W. B.",1,1,1867,1867
"Rhein, J.",1,1,1879,1879
"Richmond, C. W.",1,1,1913,1913
"Rispaud, P. J.",1,1,1933,1933
"Roberts, D.",1,1,1946,1946
"Robertson, D. B.",1,3,1859,1859
"Ros, G.",1,1,1917,1917
"Ruffe, M. D'Auxion de",1,1,1946,1946
"Scherzer, F., trans. Gould, C.",1,1,1883,1883
"Schmidt, C.",1,1,1874,1874
"Schulze, F. W.",1,1,1879,1879
"Scott, J.",1,3,1893,1894
"Segalen, V.",1,1,1917,1917
Shanghai Meteorological Committee,1,1,1873,1873
"Sheppard, G. W. (ed.)",1,1,1925,1925
"Shields, E. T.",1,1,1913,1913
"Shock, W. H.",1,1,1860,1860
"Siren, O.",1,1,1935,1935
"Sjolander, D.",1,1,1922,1922
"Smith, F. P.",1,4,1869,1870
"Soothill, W. E.",1,1,1930,1930
"Stael-Holstein, Baron A. von",1,1,1923,1923
"Stifler, S. R.",1,1,1938,1938
"Stronach, W. T.",1,1,1864,1864
"Syle, E. W.",1,1,1859,1859
T. C. B.,1,1,1885,1885
"Taintor, E. C.",1,2,1875,1875
"Talbot, R. M.",1,1,1929,1929
"Taylor, F. E.",1,2,1896,1897
"Teesdale, J. H.",1,1,1926,1926
Teng Kuei（滕固）,1,1,1934,1934
The Hankow Times,1,1,1867,1867
"Thompson, J.",1,1,1871,1872
"Toda, E.",1,1,1882,1882
"Tomkinson, L.",1,1,1940,1940
"Touche, J. D. D. La",1,1,1909,1909
Tsai Yuen-Pei（蔡元培）,1,1,1931,1931
"Turner, F. B.",1,1,1926,1926
"Tyler, W. F.",1,1,1915,1915
"Vacca, G.",1,1,1930,1930
"Viguier, S. A.",1,1,1874,1874
Wang Kuo Wei（王国维）,1,1,1928,1928
"Ward, F. K.",1,1,1916,1916
"Ward, J.",1,1,1859,1859
"Watson, W. C. H.",1,4,1905,1905
"Wells, H. R.",1,1,1930,1930
Wen Yu,1,1,1938,1938
"White, L. M.",1,2,1928,1928
"Wilds, E.",1,1,1864,1864
"Wilhelm, R.",1,1,1914,1914
"Wilkinson, H. P.",1,3,1921,1921
"Williams, C. A. S.",1,1,1919,1919
"Williams, F. W. (ed.)",1,1,1911,1911
"Wright, H. K.",1,1,1917,1917
Yan Taz Chiu,1,4,1919,1919
Yao Shan-yu,1,1,1948,1948
"Zwemer, S. M.",1,1,1918,1918
