master_id,author_id
MASTER_00283,AUTH_00012
MASTER_00284,AUTH_00199
MASTER_00285,AUTH_00063
MASTER_00286,AUTH_00022
MASTER_00287,AUTH_00295
MASTER_00288,AUTH_00032
MASTER_00289,AUTH_00066
MASTER_00290,AUTH_00018
MASTER_00291,AUTH_00276
MASTER_00292,AUTH_00195
MASTER_00293,AUTH_00184
MASTER_00294,AUTH_00175
MASTER_00295,AUTH_00279
MASTER_00296,AUTH_00079
MASTER_00297,AUTH_00023
MASTER_00298,AUTH_00149
MASTER_00299,AUTH_00066
MASTER_00300,AUTH_00040
MASTER_00301,AUTH_00279
MASTER_00302,AUTH_00075
MASTER_00303,AUTH_00149
MASTER_00304,AUTH_00037
MASTER_00305,AUTH_00276
MASTER_00306,AUTH_00284
MASTER_00307,AUTH_00158
MASTER_00308,AUTH_00184
MASTER_00309,AUTH_00023
MASTER_00310,AUTH_00177
MASTER_00311,AUTH_00149
MASTER_00312,AUTH_00075
MASTER_00313,AUTH_00002
MASTER_00314,AUTH_00113
MASTER_00315,AUTH_00193
MASTER_00316,AUTH_00295
MASTER_00317,AUTH_00072
MASTER_00318,AUTH_00149
MASTER_00319,AUTH_00194
MASTER_00320,AUTH_00003
MASTER_00321,AUTH_00208
MASTER_00322,AUTH_00010
MASTER_00323,AUTH_00271
MASTER_00324,AUTH_00107
MASTER_00325,AUTH_00149
MASTER_00326,AUTH_00194
MASTER_00327,AUTH_00270
MASTER_00328,AUTH_00194
MASTER_00329,AUTH_00296
MASTER_00330,AUTH_00194
MASTER_00331,AUTH_00222
MASTER_00332,AUTH_00283
MASTER_00333,AUTH_00253
MASTER_00334,AUTH_00123
MASTER_00335,AUTH_00181
MASTER_00336,AUTH_00253
MASTER_00339,AUTH_00267
MASTER_00340,AUTH_00267
MASTER_00341,AUTH_00295
MASTER_00342,AUTH_00117
MASTER_00343,AUTH_00253
MASTER_00344,AUTH_00208
MASTER_00345,AUTH_00242
MASTER_00346,AUTH_00198
MASTER_00347,AUTH_00224
MASTER_00348,AUTH_00292
MASTER_00349,AUTH_00075
MASTER_00350,AUTH_00253
MASTER_00351,AUTH_00064
MASTER_00352,AUTH_00064
MASTER_00353,AUTH_00064
MASTER_00354,AUTH_00050
MASTER_00355,AUTH_00253
MASTER_00356,AUTH_00222
MASTER_00357,AUTH_00009
MASTER_00358,AUTH_00168
MASTER_00359,AUTH_00194
MASTER_00360,AUTH_00253
MASTER_00361,AUTH_00194
MASTER_00362,AUTH_00024
MASTER_00363,AUTH_00050
MASTER_00364,AUTH_00123
MASTER_00365,AUTH_00009
MASTER_00366,AUTH_00283
MASTER_00367,AUTH_00274
MASTER_00368,AUTH_00075
MASTER_00369,AUTH_00283
MASTER_00370,AUTH_00281
MASTER_00371,AUTH_00008
MASTER_00372,AUTH_00251
MASTER_00373,AUTH_00253
MASTER_00374,AUTH_00207
MASTER_00375,AUTH_00156
MASTER_00376,AUTH_00135
MASTER_00377,AUTH_00135
MASTER_00378,AUTH_00043
MASTER_00379,AUTH_00123
MASTER_00380,AUTH_00064
MASTER_00381,AUTH_00011
MASTER_00382,AUTH_00157
MASTER_00383,AUTH_00253
MASTER_00384,AUTH_00064
MASTER_00385,AUTH_00050
MASTER_00386,AUTH_00155
MASTER_00388,AUTH_00229
MASTER_00389,AUTH_00238
MASTER_00390,AUTH_00075
MASTER_00391,AUTH_00299
MASTER_00392,AUTH_00075
MASTER_00393,AUTH_00043
MASTER_00394,AUTH_00157
MASTER_00395,AUTH_00304
MASTER_00396,AUTH_00165
MASTER_00397,AUTH_00123
MASTER_00398,AUTH_00109
MASTER_00399,AUTH_00205
MASTER_00400,AUTH_00133
MASTER_00401,AUTH_00075
MASTER_00402,AUTH_00029
MASTER_00403,AUTH_00191
MASTER_00404,AUTH_00151
MASTER_00405,AUTH_00067
MASTER_00406,AUTH_00294
MASTER_00407,AUTH_00168
MASTER_00408,AUTH_00248
MASTER_00409,AUTH_00151
MASTER_00410,AUTH_00075
MASTER_00411,AUTH_00302
MASTER_00412,AUTH_00146
MASTER_00414,AUTH_00190
MASTER_00415,AUTH_00096
MASTER_00416,AUTH_00148
MASTER_00417,AUTH_00129
MASTER_00418,AUTH_00058
MASTER_00419,AUTH_00253
MASTER_00420,AUTH_00191
MASTER_00421,AUTH_00043
MASTER_00422,AUTH_00133
MASTER_00423,AUTH_00155
MASTER_00424,AUTH_00011
MASTER_00425,AUTH_00248
MASTER_00426,AUTH_00178
MASTER_00427,AUTH_00191
MASTER_00428,AUTH_00188
MASTER_00429,AUTH_00011
MASTER_00430,AUTH_00248
MASTER_00431,AUTH_00293
MASTER_00432,AUTH_00193
MASTER_00433,AUTH_00151
MASTER_00434,AUTH_00147
MASTER_00435,AUTH_00288
MASTER_00436,AUTH_00077
MASTER_00437,AUTH_00077
MASTER_00438,AUTH_00251
MASTER_00439,AUTH_00115
MASTER_00440,AUTH_00133
MASTER_00441,AUTH_00064
MASTER_00442,AUTH_00064
MASTER_00443,AUTH_00075
MASTER_00444,AUTH_00131
MASTER_00445,AUTH_00095
MASTER_00446,AUTH_00202
MASTER_00447,AUTH_00119
MASTER_00448,AUTH_00136
MASTER_00449,AUTH_00247
MASTER_00450,AUTH_00052
MASTER_00451,AUTH_00248
MASTER_00452,AUTH_00225
MASTER_00453,AUTH_00288
MASTER_00454,AUTH_00031
MASTER_00455,AUTH_00137
MASTER_00456,AUTH_00131
MASTER_00457,AUTH_00131
MASTER_00458,AUTH_00131
MASTER_00459,AUTH_00252
MASTER_00460,AUTH_00133
MASTER_00461,AUTH_00075
MASTER_00462,AUTH_00043
MASTER_00463,AUTH_00076
MASTER_00464,AUTH_00053
MASTER_00465,AUTH_00011
MASTER_00466,AUTH_00270
MASTER_00467,AUTH_00136
MASTER_00468,AUTH_00114
MASTER_00469,AUTH_00151
MASTER_00470,AUTH_00225
MASTER_00471,AUTH_00191
MASTER_00472,AUTH_00191
MASTER_00473,AUTH_00243
MASTER_00474,AUTH_00288
MASTER_00475,AUTH_00243
MASTER_00476,AUTH_00075
MASTER_00477,AUTH_00283
MASTER_00478,AUTH_00043
MASTER_00479,AUTH_00270
MASTER_00480,AUTH_00270
