from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_116,S_32,"Rosthorn, A. von",Telecommunication,"Economy, Trade, and Technology",MASTER_00256,River stages and branch routes from Ssuch ' uan to Yunnan and Kuichou,NS 27,1892,1893,1888-1897,1.0,communications
A_109,S_31,"Volpicelli, Z. H.",History,History and Chronology,MASTER_00257,Early Portuguese commerce and settlements in China *,NS 27,1892,1893,1888-1897,1.0,history
A_42,S_2,"Gardener, C. T.",Numismatics,Arts and Archaeology,MASTER_00258,"Coinage of Corea, The *",NS 27,1892,1893,1888-1897,1.0,coinage
A_76,S_13,"Mollendorf, P. G. von",Law,"Politics, Government, and Law",MASTER_00259,"Family law of the Chinese, The",NS 27,1892,1893,1888-1897,0.5,law and social customs
A_76,S_26,"Mollendorf, P. G. von",Manners and customs,Anthropology and Social Customs,MASTER_00259,"Family law of the Chinese, The",NS 27,1892,1893,1888-1897,0.5,law and social customs
A_29,S_32,"Kingsmill, T. W.",Telecommunication,"Economy, Trade, and Technology",MASTER_00260,Inland communications in China *,NS 28,1893,1894,1888-1897,1.0,communications
A_117,S_31,"Scott, J.",History,History and Chronology,MASTER_00261,Stray notes on Corean history and literature,NS 28,1893,1894,1888-1897,0.333333333333333,"history, literature and language"
A_117,S_34,"Scott, J.",Literature,Literature and Language,MASTER_00261,Stray notes on Corean history and literature,NS 28,1893,1894,1888-1897,0.333333333333333,"history, literature and language"
A_117,S_7,"Scott, J.",Language and languages,Literature and Language,MASTER_00261,Stray notes on Corean history and literature,NS 28,1893,1894,1888-1897,0.333333333333333,"history, literature and language"
A_118,S_7,"Clarke, G. W.",Language and languages,Literature and Language,MASTER_00262,"Yu - li or Precious Records, The *",NS 28,1893,1894,1888-1897,1.0,literature and language
A_73,S_19,"Bretschneider, E.",Botany,Natural Sciences,MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,0.333333333333333,"botany, literature and language"
A_73,S_34,"Bretschneider, E.",Literature,Literature and Language,MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,0.333333333333333,"botany, literature and language"
A_73,S_7,"Bretschneider, E.",Language and languages,Literature and Language,MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,0.333333333333333,"botany, literature and language"
A_73,S_38,"Bretschneider, E.",Geography,Geography and Travel,MASTER_00264,"Chinese geographical names mentioned in the "" Pen Ts ' ao Kang Mu """,NS 29,1894,1895,1888-1897,1.0,geography
A_93,S_6,"Imbault-Huart, C.",Travel,Geography and Travel,MASTER_00265,"Voyage de l'Ambassade Hollandaise de 1656 a travers la Province de Canton, Le",NS 29,1894,1895,1888-1897,1.0,travel and general descriptions
A_77,S_42,"Parker, E. H.",Government,"Politics, Government, and Law",MASTER_00266,"Financial capacity of China, The",NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_77,S_35,"Parker, E. H.",Economics,"Economy, Trade, and Technology",MASTER_00266,"Financial capacity of China, The",NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_77,S_43,"Parker, E. H.",Political science--Philosophy,"Politics, Government, and Law",MASTER_00266,"Financial capacity of China, The",NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_77,S_42,"Parker, E. H.",Government,"Politics, Government, and Law",MASTER_00267,Chinese revenue,NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_77,S_35,"Parker, E. H.",Economics,"Economy, Trade, and Technology",MASTER_00267,Chinese revenue,NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_77,S_43,"Parker, E. H.",Political science--Philosophy,"Politics, Government, and Law",MASTER_00267,Chinese revenue,NS 29,1894,1895,1888-1897,0.333333333333333,"government, political economy and political theory"
A_67,S_2,"Bushell, S. W.",Numismatics,Arts and Archaeology,MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,0.25,"coinage, history, literature and language"
A_67,S_31,"Bushell, S. W.",History,History and Chronology,MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,0.25,"coinage, history, literature and language"
A_67,S_34,"Bushell, S. W.",Literature,Literature and Language,MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,0.25,"coinage, history, literature and language"
A_67,S_7,"Bushell, S. W.",Language and languages,Literature and Language,MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,0.25,"coinage, history, literature and language"
A_119,S_7,"Fraser, M. F. A.",Language and languages,Literature and Language,MASTER_00269,"Manchu ukase, A",NS 29,1894,1895,1888-1897,1.0,literature and language
A_93,S_46,"Imbault-Huart, C.",Political science,"Politics, Government, and Law",MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,0.333333333333333,Political science; Travel; History
A_93,S_6,"Imbault-Huart, C.",Travel,Geography and Travel,MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,0.333333333333333,Political science; Travel; History
A_93,S_31,"Imbault-Huart, C.",History,History and Chronology,MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,0.333333333333333,Political science; Travel; History
A_77,S_35,"Parker, E. H.",Economics,"Economy, Trade, and Technology",MASTER_00271,THE FINANCIAL CAPACITY OF CHINA.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_77,S_31,"Parker, E. H.",History,History and Chronology,MASTER_00271,THE FINANCIAL CAPACITY OF CHINA.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_77,S_42,"Parker, E. H.",Government,"Politics, Government, and Law",MASTER_00271,THE FINANCIAL CAPACITY OF CHINA.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_77,S_35,"Parker, E. H.",Economics,"Economy, Trade, and Technology",MASTER_00272,CHINESE REVENUE.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_77,S_31,"Parker, E. H.",History,History and Chronology,MASTER_00272,CHINESE REVENUE.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_77,S_42,"Parker, E. H.",Government,"Politics, Government, and Law",MASTER_00272,CHINESE REVENUE.,NS 30,1895,1896,1888-1897,0.333333333333333,Economics; History; Government
A_67,S_31,"Bushell, S. W.",History,History and Chronology,MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,0.333333333333333,History; Language and languages; Numismatics
A_67,S_7,"Bushell, S. W.",Language and languages,Literature and Language,MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,0.333333333333333,History; Language and languages; Numismatics
A_67,S_2,"Bushell, S. W.",Numismatics,Arts and Archaeology,MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,0.333333333333333,History; Language and languages; Numismatics
A_119,S_31,"Fraser, M. F. A.",History,History and Chronology,MASTER_00274,A MANCHU UKASE.,NS 30,1895,1896,1888-1897,0.5,History; Language and languages
A_119,S_7,"Fraser, M. F. A.",Language and languages,Literature and Language,MASTER_00274,A MANCHU UKASE.,NS 30,1895,1896,1888-1897,0.5,History; Language and languages
A_77,S_3,"Parker, E. H.",Ethnology,Anthropology and Social Customs,MASTER_00275,Inscriptions de l'Orkho,NS 31,1896,1897,1888-1897,0.5,ethnology and anthropology
A_77,S_4,"Parker, E. H.",Anthropology,Anthropology and Social Customs,MASTER_00275,Inscriptions de l'Orkho,NS 31,1896,1897,1888-1897,0.5,ethnology and anthropology
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,MASTER_00276,"Huns of Europe, The (Notes on E. H. Parker's paper "" Inscriptions de l'Orkhon "")",NS 31,1896,1897,1888-1897,0.5,ethnology and anthropology
