time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Natural Sciences,Botany,sorgo,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,sugar,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,cane,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Archaeology,kambodia,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,hieroglyphic,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,written,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,grass,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,grass,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,grass,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,performed,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,obsequies,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,takee,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,traces,1,1,0.1428571428571428,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,judicium,1,1,0.1428571428571428,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,dei,1,1,0.1428571428571428,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,ordeal,1,1,0.1428571428571428,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Buddhism,exhibiting,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,exhibiting,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Buddhism,pall,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,pall,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Judaism,march,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,foo,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,japanese,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,History,japanese,1,1,0.2,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,manuscript,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,History,manuscript,1,1,0.2,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Astronomy,opinions,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Astronomy,regard,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,wild,1,1,0.0588235294117647,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,silkworms,1,1,0.0588235294117647,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,outlying,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,coal-fields,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,south-eastern,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,seang,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,kh'e,1,1,0.0769230769230769,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,kwangsi,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,kwangsi,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,geological,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,geological,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,inscription,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,hangkow,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,recording,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,changing,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,roman,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,church,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,hao,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Telecommunication,productions,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,productions,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,chiefly,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,chiefly,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,chiefly,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,chiefly,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,portion,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,bed,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,supply,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"Chronology, Historical",chronological,1,1,0.5,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"Chronology, Historical",tables,1,1,0.5,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,tsiu,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,tsiu,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,tsiu,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,tsuen,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,tsuen,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,tsuen,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,taeping,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,taeping,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,taeping,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,carte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,carte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
