author_name,master_id,title,volume,year_start,year_end,time_window,subject_l1,subject_l2
"Edgar, J. H.",MASTER_00501,"Tibetan and his environment : an interpretation, The",NS 57,1926,1926,1918-1927,Geography and Travel,Travel
"Edgar, J. H.",MASTER_00543,Did Manicheism influence Lamaism ?,NS 60,1929,1929,1928-1937,Religion and Philosophy,China--Religion
Editorial Committee,MASTER_00029,"Record of occurrences, 1860",OS 2 Part 1,1860,1860,1858-1867,History and Chronology,"History, Modern (20th century)"
Editorial Committee,MASTER_00032,Winds and weather at Chefoo,OS 2 Part 1,1860,1860,1858-1867,Natural Sciences,Meteorology
Editorial Committee,MASTER_00094,"Retrospect of events in China and Japan, 1868",NS 5,1868,1868,1868-1877,History and Chronology,"History, Modern (20th century)"
Editorial Committee,MASTER_00120,"Retrospect of events in China, etc., 1871, 1872",NS 7,1871,1872,1868-1877,History and Chronology,"History, Modern (20th century)"
Editorial Committee,MASTER_00131,"Retrospect of events in China, 1873",NS 8,1874,1874,1868-1877,History and Chronology,"History, Modern (20th century)"
"Edkins, J.",MASTER_00001,"A Buddhist Shastra , Translated from the Chinese",OS 1 Part 1,1858,1858,1858-1867,Religion and Philosophy,Buddhism
"Edkins, J.",MASTER_00020,A Sketch of the Tauist Mythology in its modern form,OS 1 Part 3,1859,1859,1858-1867,Anthropology and Social Customs,Mythology
"Edkins, J.",MASTER_00009,Notices of the character and writings of Meh tsi,OS 1 Part 2,1859,1859,1858-1867,Religion and Philosophy,Philosophy
"Edkins, J.",MASTER_00025,A Sketch of the Life of Confucius,OS 2 Part 1,1860,1860,1858-1867,Religion and Philosophy,Confucianism
"Edkins, J.",MASTER_00023,On the ancient mouths of Yangts<U+00EF> kiang,OS 2 Part 1,1860,1860,1858-1867,Natural Sciences,Hydrology
"Edkins, J.",MASTER_00050,A Visit to the Agricultural Mongols,NS 2,1865,1865,1858-1867,Geography and Travel,Travel
"Edkins, J.",MASTER_00082,The Bituminous coal mines west of Peking,NS 4,1867,1867,1858-1867,Natural Sciences,Geology
"Edkins, J.",MASTER_00128,"Visit to the city of Confucius, A",NS 8,1874,1874,1868-1877,Religion and Philosophy,Confucianism
"Edkins, J.",MASTER_00128,"Visit to the city of Confucius, A",NS 8,1874,1874,1868-1877,Geography and Travel,Travel
"Edkins, J.",MASTER_00149,On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass,NS 11,1877,1877,1868-1877,Natural Sciences,Meteorology
"Edkins, J.",MASTER_00149,On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass,NS 11,1877,1877,1868-1877,Geography and Travel,Navigation
"Edkins, J.",MASTER_00176,What did the ancient Chinese know of the Greeks and Romans,NS 18,1883,1883,1878-1887,History and Chronology,History
"Edkins, J.",MASTER_00213,"Philological importance of geographical terms in the "" Shi - ki """,NS 21,1886,1886,1878-1887,Literature and Language,Language and languages
"Edkins, J.",MASTER_00244,Chinese architecture,NS 24,1889,1890,1888-1897,Arts and Archaeology,Architecture
"Edkins, J.",MASTER_00289,"Siun King, the philosopher, and his relations with contemporary schools of thought",NS 33,1900,1901,1898-1907,Religion and Philosophy,Philosophy
"Edkins, J.",MASTER_00299,"Kwo Tsi, an eminent military commander of the Tang Dynasty",NS 35,1903,1904,1898-1907,History and Chronology,Biography
"Edmunds, C. K.",MASTER_00405,Thirty thousand miles in China *,NS 50,1919,1919,1918-1927,Geography and Travel,Travel
Edwards,MASTER_00041,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,NS 1,1864,1864,1858-1867,Natural Sciences,Hydrology
"Eitel, E. J.",MASTER_00097,The Fabulous source of the Hoang-ho,NS 6,1869,1870,1868-1877,Religion and Philosophy,Buddhism
"Eitel, E. J.",MASTER_00097,The Fabulous source of the Hoang-ho,NS 6,1869,1870,1868-1877,Geography and Travel,Geography
"Eitel, E. J.",MASTER_00097,The Fabulous source of the Hoang-ho,NS 6,1869,1870,1868-1877,Natural Sciences,Hydrology
