time_window,author_name,article_count,subject_count,first_year,last_year
1908-1917,"Ros, G.",1,1,1917,1917
1908-1917,"Segalen, V.",1,1,1917,1917
1908-1917,"Shields, E. T.",1,1,1913,1913
1908-1917,"Sowerby, A. de C.",1,1,1916,1916
1908-1917,"Torrance, T.",1,1,1910,1910
1908-1917,"Touche, J. D. D. La",1,1,1909,1909
1908-1917,"Tyler, W. F.",1,1,1915,1915
1908-1917,"Ward, F. K.",1,1,1916,1916
1908-1917,"Wilhelm, R.",1,1,1914,1914
1908-1917,"Williams, E. T.",1,1,1913,1913
1908-1917,"Williams, F. W. (ed.)",1,1,1911,1911
1908-1917,"Wright, H. K.",1,1,1917,1917
1918-1927,"Ferguson, J. C.",8,6,1918,1927
1918-1927,"Morgan, E.",7,7,1918,1927
1918-1927,"Werner, E. T. C.",6,5,1921,1926
1918-1927,"Hudson, E.",5,1,1922,1927
1918-1927,"Jacot, A. P.",5,1,1922,1927
1918-1927,"Ayscough, F. W.",4,3,1920,1924
1918-1927,"Chatley, H.",4,4,1918,1924
1918-1927,Hutson J.,4,3,1918,1923
1918-1927,"Kliene, C.",4,3,1918,1923
1918-1927,"Shirokogoroff, S. M.",4,3,1923,1926
1918-1927,"Skvortzow, B. W.",4,1,1919,1922
1918-1927,"Torrance, T.",4,4,1923,1926
1918-1927,"Edgar, J. H.",3,3,1922,1926
1918-1927,"Fletcher, W. J. B.",2,1,1921,1921
1918-1927,"Gee, N. G.",2,2,1919,1926
1918-1927,"Heeren, J. J.",2,2,1923,1925
1918-1927,"Mason, I.",2,1,1920,1925
1918-1927,"Riley, J. H. and Richmond, C. W.",2,1,1922,1922
1918-1927,"Wilder, G. D. and Hubbard, H. W.",2,1,1924,1926
1918-1927,"Abraham, R. D.",1,1,1927,1927
1918-1927,"Barbour, G. B.",1,1,1925,1925
1918-1927,"Bruce, J. P.",1,1,1918,1918
1918-1927,"Budd, C.",1,1,1923,1923
1918-1927,"Couling, C. E.",1,1,1927,1927
1918-1927,"Cowdry, N. H.",1,1,1922,1922
1918-1927,"Darroch, J.",1,1,1923,1923
1918-1927,"Dodd, W. C.",1,1,1920,1920
1918-1927,"Dovey, J. W.",1,1,1925,1925
1918-1927,"Edmunds, C. K.",1,1,1919,1919
1918-1927,"Fischer, E. S.",1,1,1923,1923
1918-1927,"Freeman, M.",1,1,1926,1926
1918-1927,G. S. S. G.,1,1,1926,1926
1918-1927,"Gaunt, T.",1,1,1922,1922
1918-1927,"Gillis, I. V.",1,1,1925,1925
1918-1927,"Harding, H. L.",1,1,1918,1918
1918-1927,"Hayes, L. N.",1,1,1924,1924
1918-1927,Heidenstem,1,1,1922,1922
1918-1927,"Hers, J.",1,1,1922,1922
1918-1927,"Hodous, L.",1,1,1918,1918
1918-1927,Hosie,1,1,1926,1926
1918-1927,"Howell, E. B.",1,1,1919,1919
1918-1927,"Jamieson, C. A.",1,1,1923,1923
1918-1927,"Kellogg, C. R.",1,1,1919,1919
1918-1927,"Kemp, E. G.",1,1,1921,1921
1918-1927,"King, G. E.",1,1,1919,1919
1918-1927,"Kojeuroff, G. P.",1,1,1927,1927
1918-1927,"Lanning, G.",1,1,1920,1920
1918-1927,"Laver, H. E.",1,1,1918,1918
1918-1927,"Leung, G. K.",1,1,1927,1927
1918-1927,"Ling, P. C.",1,1,1918,1918
1918-1927,"Lobingier, C. S.",1,1,1919,1919
1918-1927,"MacNair, H. F.",1,1,1925,1925
1918-1927,"Mironov, N. D. and Shirokogoroff, S. M.",1,1,1924,1924
1918-1927,"Moninger, M. M.",1,1,1921,1921
1918-1927,"Moore, A.",1,1,1919,1919
