time_window,author_name,article_count,subject_count,first_year,last_year
1928-1937,"Sowerby, A. de C.",1,1,1937,1937
1928-1937,"Talbot, R. M.",1,1,1929,1929
1928-1937,Teng Kuei（滕固）,1,1,1934,1934
1928-1937,Tsai Yuen-Pei（蔡元培）,1,1,1931,1931
1928-1937,"Vacca, G.",1,1,1930,1930
1928-1937,Wang Kuo Wei（王国维）,1,1,1928,1928
1928-1937,"Wells, H. R.",1,1,1930,1930
1928-1937,"Werner, E. T. C.",1,1,1928,1928
1928-1937,"White, L. M.",1,1,1928,1928
1938-1948,"Sowerby, A. de C.",4,4,1938,1946
1938-1948,"Gibson, H. E.",3,3,1938,1940
1938-1948,"Fischer, E. S.",2,2,1940,1946
1938-1948,"Morgan, E.",2,2,1938,1939
1938-1948,"Read, B. E.",2,2,1939,1940
1938-1948,"Ankerson, W. A.",1,1,1946,1946
1938-1948,"Beath, S. S.",1,1,1946,1946
1938-1948,Chang Hsing Lang（张星烺）,1,1,1948,1948
1938-1948,"Drake, F. S.",1,1,1940,1940
1938-1948,"Dunlap, E. W.",1,1,1940,1940
1938-1948,"Ferguson, J. C.",1,1,1946,1946
1938-1948,"Francis, J. de",1,1,1948,1948
1938-1948,"Gillett, M. C.",1,1,1948,1948
1938-1948,"House, I. E.",1,1,1948,1948
1938-1948,"Poston, D. G.",1,1,1940,1940
1938-1948,"Roberts, D.",1,1,1946,1946
1938-1948,"Ruffe, M. D'Auxion de",1,1,1946,1946
1938-1948,"Schwarz, K. L.",1,1,1946,1946
1938-1948,"Stifler, S. R.",1,1,1938,1938
1938-1948,"Tomkinson, L.",1,1,1940,1940
1938-1948,Wen Yu,1,1,1938,1938
1938-1948,"Williams, E. T.",1,1,1939,1939
1938-1948,Yao Shan-yu,1,1,1948,1948
