time_window,subject_l1,subject_l2,place_label,modern_name,historical_name,lat,lon,place_count,article_count,share,idf,tfidf
1908-1917,Geography and Travel,Travel,Batang,Batang,batang,30.0,99.1,1,1,0.3333333333333333,2.386294361119891,2.386294361119891
1908-1917,Geography and Travel,Travel,Mangkang（menkong）,Mangkang,menkong,29.7,98.6,1,1,0.3333333333333333,2.386294361119891,2.386294361119891
1908-1917,Geography and Travel,Travel,Tai Shan（t'ai shan）,Tai Shan,t'ai shan; tai shan,36.3,117.1,1,1,0.3333333333333333,2.386294361119891,2.386294361119891
1908-1917,Natural Sciences,Geology,Batang,Batang,batang,30.0,99.1,1,1,0.5,2.386294361119891,2.386294361119891
1908-1917,Natural Sciences,Geology,Mangkang（menkong）,Mangkang,menkong,29.7,98.6,1,1,0.5,2.386294361119891,2.386294361119891
1908-1917,Religion and Philosophy,Religion,Tai Shan（t'ai shan）,Tai Shan,t'ai shan; tai shan,36.3,117.1,1,1,1.0,2.386294361119891,2.386294361119891
1918-1927,Anthropology and Social Customs,Anthropology,Guizhou（kweichow）,Guizhou,kweichow,26.6,106.7,1,1,1.0,2.386294361119891,2.386294361119891
1918-1927,Anthropology and Social Customs,Ethnology,Guizhou（kweichow）,Guizhou,kweichow,26.6,106.7,1,1,1.0,2.386294361119891,2.386294361119891
1918-1927,Anthropology and Social Customs,Manners and customs,Fuzhou（foochow）,Fuzhou,foochow,26.1,119.3,1,1,0.5,1.9808292530117264,1.9808292530117264
1918-1927,Anthropology and Social Customs,Manners and customs,Zhenjiang（chinkiang）,Zhenjiang,chinkiang,32.2,119.5,1,1,0.5,2.386294361119891,2.386294361119891
1918-1927,"Economy, Trade, and Technology",Commerce,Guangdong（kwang-tung; kwang tung; kwangtung）,Guangdong,kwang-tung; kwang tung; kwangtung,23.1,113.3,1,1,1.0,1.9808292530117264,1.9808292530117264
1918-1927,"Economy, Trade, and Technology",Industries,Guangdong（kwang-tung; kwang tung; kwangtung）,Guangdong,kwang-tung; kwang tung; kwangtung,23.1,113.3,1,1,1.0,1.9808292530117264,1.9808292530117264
1918-1927,Geography and Travel,Geography,Lampacau（lampacao）,Lampacau,lampacao,22.2,113.5,1,1,1.0,2.386294361119891,2.386294361119891
1918-1927,Geography and Travel,Travel,Gansu Province（kansu）,Gansu Province,kansu,36.1,103.8,1,1,0.5,2.386294361119891,2.386294361119891
1918-1927,Geography and Travel,Travel,Guizhou（kweichow）,Guizhou,kweichow,26.6,106.7,1,1,0.5,2.386294361119891,2.386294361119891
1918-1927,Natural Sciences,Agriculture,Guangdong（kwang-tung; kwang tung; kwangtung）,Guangdong,kwang-tung; kwang tung; kwangtung,23.1,113.3,1,1,1.0,1.9808292530117264,1.9808292530117264
1918-1927,Natural Sciences,Chemistry,Guangdong（kwang-tung; kwang tung; kwangtung）,Guangdong,kwang-tung; kwang tung; kwangtung,23.1,113.3,1,1,1.0,1.9808292530117264,1.9808292530117264
1918-1927,Religion and Philosophy,Christianity,Shaanxi Province（shen-hsi）,Shaanxi Province,shen-hsi,34.3,108.9,1,1,1.0,1.9808292530117264,1.9808292530117264
